ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
5.359e+09,1.227,13400000,1.99,154100,1.2,19580,1.062,2391,0.9799,66140,0.5579,906.8,0.8347
3.132e+09,0.926,5278000,1.921,3903000,0.8745,20150,1.185,2759,0.8848,31150,0.6844,675.2,1.085
735200000,0.5074,24740,1.036,1714000,1.213,18100,1.655,2506,0.9626,27160,0.6379,727.4,1.085
267100,0.5224,10080000,1.445,3013000,1.595,13680,1.88,2201,0.9305,42780,0.5792,926.4,0.9579
32560,1.494,377100,1.314,6348000,1.228,14880,1.526,2598,0.8945,33190,0.5789,956.8,0.965
90670,1.057,8103000,1.408,1288000,0.8753,21900,1.076,2087,0.9681,27210,0.6887,962.6,0.8263
89160,1.672,11490000,1.736,108400000,1.504,19710,1.033,2560,0.8544,28530,0.7103,956.6,1.092
19100000,1.311,5831000,1.951,50500,1.929,13750,1.758,2480,0.832,23840,0.9464,829.2,1.262
2.885e+09,1.511,234200000,1.282,7.775e+09,1.221,25770,0.8268,2951,0.9169,24730,0.8481,931.5,1.129
47890,1.814,1486000,1.023,926600,0.6995,18450,1.286,1796,1.168,45950,0.5521,800.5,1.04
535900000,1.512,219400000,0.5273,172300000,1.382,14300,1.608,1863,0.8669,53270,0.513,848.4,1.138
426800000,1.561,2006000,0.6398,41230000,0.5699,17320,1.253,2361,0.8091,31030,0.8318,678.4,0.9238
788600000,1.779,53480000,0.8474,2137000,1.035,21460,1.096,2863,0.7589,28670,0.7315,848.2,1.145
5.689e+09,1.679,67780000,0.8508,67450,1.341,18790,1.041,2404,0.8147,29880,0.7213,833.5,1.076
527300,1.18,425400,1.128,36070,0.8305,15810,1.239,2336,0.9352,38740,0.6661,1041,1.024
386400,1.491,29160000,1.43,428500,0.9715,17760,1.324,2740,0.8994,51300,0.5973,869.1,1.099
48320,1.265,5908000,1.28,27980,1.704,14950,1.275,2453,0.8971,42950,0.5866,666.7,1.05
251000,0.7262,16900000,1.117,15100000,0.9231,17040,1.331,2284,0.9673,33230,0.6576,815.1,1.04
16060000,1.374,71560000,1.708,362200000,0.6863,18710,1.029,2593,0.9088,35970,0.5773,609.8,1.17
5.06e+09,0.8762,759800000,0.5796,75120,1.665,15470,1.174,2307,0.9562,33320,0.5498,671.2,1.101
1.67e+08,1.19,28960,1.954,1169000,1.661,19160,0.9847,2094,0.9527,34160,0.6676,691.6,1.036
14480000,1.85,4012000,1.839,3.343e+09,0.7201,18290,1.149,2401,0.9186,29830,0.7325,760.1,1.022
246300,1.204,31610,1.886,19780000,0.632,22200,1.03,1791,0.9633,39170,0.6491,841.5,0.9332
110900,1.823,383300,1.884,19170000,0.6457,14790,1.33,2841,0.6869,32440,0.643,863,0.9968
2537000,1.635,248800000,1.158,1.448e+09,0.522,16490,1.164,2384,0.7729,33580,0.7086,760,1.044
97150,1.78,2117000,1.19,1284000,1.574,16410,1.29,2773,0.8003,40930,0.5758,849.2,1.01
57970,1.887,3206000,0.714,3.081e+09,1.513,20200,1.248,2680,1.051,29790,0.6044,1011,1.018
7368000,1.469,1410000,1.215,52870,1.787,15780,1.297,2021,1.302,26980,0.6979,604.6,1.131
338600000,1.844,25010000,1.349,5.072e+09,1.034,16370,1.303,2405,0.998,32730,0.6559,574.8,1.299
98740,1.076,5410000,0.9552,497600,1.991,16770,1.241,2650,0.8467,20620,0.9724,832.3,1.343
