Kmax,Ku,n,halfmax,Vhalf,slope
53.62,0.009998,0.8472,9987,-71.68,0.005369
105.1,0.005987,0.9269,33490,-66.86,0.003138
142100,0.008393,0.8626,26280000,-69.49,0.005407
753.9,0.006856,0.8938,201200,-70.39,0.003747
270200,0.007216,0.8369,48650000,-65.87,0.005554
186300,0.005064,0.9086,51260000,-68.74,0.003634
32.58,0.01572,0.9133,11240,-8.386,0.002899
1342000,0.006097,0.8949,355100000,-64.43,0.003779
92.29,0.008086,0.8351,14600,-66.11,0.006321
31760,0.004079,0.8763,7354000,-63.66,0.004319
1157000,0.01835,0.7448,145800000,-5.378,0.007936
714700,0.01547,0.8372,164200000,-6.614,0.004353
1066000,0.006477,0.9111,300400000,-68.31,0.003549
52.14,0.006013,0.9332,15680,-67.16,0.003325
173200,0.007797,0.8158,27610000,-67.12,0.006273
709.6,0.0103,0.7966,100700,-61.87,0.007047
23760,0.005684,0.8898,6268000,-60.65,0.003791
55.04,0.009468,0.8279,8509,-72.04,0.006468
390.2,0.005488,0.8574,82010,-63.4,0.004758
77.22,0.008412,0.8286,12920,-62.75,0.005977
117.5,0.003163,0.8907,27430,-55,0.004284
99,0.00865,0.865,22250,-67.23,0.004449
40.51,0.009737,0.9546,13700,-69.93,0.002957
19.47,0.008391,0.9865,7848,-66.4,0.002481
132.5,0.00696,0.8619,27260,-62.38,0.004861
35.31,0.009744,0.9026,9122,-69.99,0.003871
2279000,0.00986,0.8563,431300000,-71.3,0.005284
102.5,0.01328,0.848,21100,-65.79,0.004858
370600,0.01054,0.7971,54930000,-65.67,0.006747
2094000,0.007189,0.8726,488300000,-67.65,0.004288
