Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,25.5000,22.4253,-21.5548,9.2313,0.4353,-17.1568,3.5305
751,0.0000,-0.9359,-22.7141,-22.7141,-22.7141,-22.7141,-22.7141
752,22.5000,19.9589,-20.2544,7.8949,-0.1477,-16.2330,3.5494
753,26.0000,31.6088,-21.5459,15.6624,5.0315,-16.2304,3.3321
754,0.0000,-22.3305,-22.4578,-22.4578,-22.4578,-22.4578,-22.4578
755,20.5000,18.0917,-10.3761,9.5513,3.8578,-7.5293,3.5423
756,20.5000,47.2107,25.7541,40.7737,36.4824,27.8997,25.7541
757,39.5000,16.3136,-21.8471,4.8654,-2.7667,-18.0310,2.9631
758,0.0000,-21.6266,-21.6266,-21.6266,-21.6266,-21.6266,-21.6266
759,20.5000,19.3386,-8.2966,11.0480,5.5210,-5.5330,3.6214
760,20.5000,47.2536,25.4623,40.7162,36.3580,27.6415,25.4623
761,26.5000,31.4407,-21.8841,15.4433,4.7783,-16.5516,3.3067
762,27.0000,25.6993,-22.7995,11.1497,1.4499,-17.9497,3.5334
763,0.0000,-15.7840,-23.3754,-23.3754,-23.3754,-23.3754,-23.3754
764,20.5000,17.6956,-18.0908,6.9596,-0.1976,-14.5122,3.4864
765,20.5000,34.1575,-14.9052,19.4387,9.6261,-9.9989,3.0829
766,27.5000,28.3161,-23.4245,12.7940,2.4458,-18.2504,3.5637
767,0.0000,-21.2607,-23.0904,-23.0904,-23.0904,-23.0904,-23.0904
768,20.5000,17.2165,-12.2277,8.3832,2.4944,-9.2833,3.4965
769,20.5000,47.3388,24.9834,40.6321,36.1611,27.2189,24.9834
770,26.5000,31.3752,-22.3177,15.2673,4.5288,-16.9484,3.3510
771,27.0000,25.2619,-22.6663,10.8835,1.2978,-17.8734,3.5421
772,27.0000,29.9383,-23.3604,13.9487,3.2890,-18.0305,3.4607
773,27.0000,26.7537,-23.0795,11.8037,1.8371,-18.0962,3.5049
774,27.5000,29.4416,-23.3790,13.5954,3.0313,-18.0969,3.4372
775,27.5000,27.7079,-23.2578,12.4182,2.2250,-18.1613,3.4686
776,27.5000,29.1224,-23.3702,13.3746,2.8761,-18.1209,3.4293
777,0.0000,-19.1160,-23.3184,-23.3184,-23.3184,-23.3184,-23.3184
778,20.5000,17.1084,-17.0783,6.8524,0.0150,-13.6596,3.4297
779,20.5000,44.4418,-0.9274,30.8311,21.7572,3.6096,3.2772
780,0.0000,-12.1368,-23.1939,-23.1939,-23.1939,-23.1939,-23.1939
781,20.5000,18.1207,-18.6325,7.0948,-0.2559,-14.9572,3.5351
782,39.5000,26.3405,-18.5421,12.8757,3.8992,-14.0538,3.0201
783,0.0000,-22.1406,-22.6521,-22.6521,-22.6521,-22.6521,-22.6521
784,0.0000,-9.9091,-9.9091,-9.9091,-9.9091,-9.9091,-9.9091
785,20.5000,31.0499,6.9316,23.8144,18.9908,9.3434,6.9316
786,20.5000,44.2853,-1.4599,30.5618,21.4127,3.1146,3.2584
787,27.0000,30.7906,-22.9656,14.6638,3.9125,-17.5900,3.3853
788,27.0000,26.1728,-22.9316,11.4415,1.6206,-18.0212,3.5089
789,27.0000,29.6718,-23.3722,13.7586,3.1498,-18.0678,3.4454
790,27.0000,27.3335,-23.1974,12.1742,2.0680,-18.1443,3.4833
791,0.0000,-17.1341,-23.3753,-23.3753,-23.3753,-23.3753,-23.3753
792,20.5000,17.7341,-18.1373,6.9727,-0.2016,-14.5501,3.4608
793,20.5000,36.0303,-13.6952,21.1127,11.1675,-8.7227,3.0797
794,27.5000,29.0691,-23.4663,13.3085,2.8014,-18.2128,3.5328
795,27.0000,26.2347,-22.9768,11.4712,1.6289,-18.0557,3.5685
796,27.5000,29.0231,-23.4392,13.2844,2.7920,-18.1930,3.4950
797,27.5000,27.3127,-23.2087,12.1563,2.0520,-18.1565,3.5076
798,0.0000,-17.8717,-23.3948,-23.3948,-23.3948,-23.3948,-23.3948
799,20.5000,17.2772,-17.4211,6.8677,-0.0719,-13.9512,3.4554
800,20.5000,41.5928,-8.9128,26.4411,16.3400,-3.8623,3.1928
801,27.0000,29.9126,-23.3962,13.9200,3.2582,-18.0653,3.4873
802,27.0000,25.7581,-22.8316,11.1812,1.4632,-17.9726,3.5585
803,27.5000,29.4632,-23.4254,13.5967,3.0189,-18.1365,3.4830
804,27.0000,27.0280,-23.1453,11.9760,1.9413,-18.1279,3.4973
805,0.0000,-17.3236,-23.3914,-23.3914,-23.3914,-23.3914,-23.3914
806,0.0000,-17.7731,-17.7731,-17.7731,-17.7731,-17.7731,-17.7731
807,0.0000,-2.9741,-2.9741,-2.9741,-2.9741,-2.9741,-2.9741
808,20.5000,34.4838,11.3601,27.5467,22.9219,13.6725,11.3601
809,20.5000,44.0918,-2.0109,30.2610,21.0405,2.5994,3.2183
810,27.0000,30.9566,-22.7796,14.8357,4.0885,-17.4060,3.3546
811,27.0000,26.3233,-22.9672,11.5361,1.6780,-18.0382,3.5032
812,0.0000,-16.0406,-23.3651,-23.3651,-23.3651,-23.3651,-23.3651
813,20.5000,17.8734,-18.3236,7.0143,-0.2251,-14.7039,3.4794
814,20.5000,33.4249,-15.4036,18.7763,9.0106,-10.5208,3.0710
815,27.5000,28.2300,-23.4084,12.7385,2.4108,-18.2446,3.5650
816,27.0000,26.8142,-23.1329,11.8301,1.8407,-18.1382,3.5668
817,0.0000,-19.0330,-23.4120,-23.4120,-23.4120,-23.4120,-23.4120
818,20.5000,16.6844,-15.6435,6.9860,0.5204,-12.4107,3.4452
819,20.5000,46.5021,14.0898,36.7784,30.2959,17.3310,14.0898
820,27.0000,30.7440,-23.0940,14.5926,3.8250,-17.7102,3.4272
821,27.0000,25.3642,-22.7026,10.9442,1.3308,-17.8959,3.5502
822,27.0000,29.8237,-23.3814,13.8621,3.2211,-18.0609,3.4656
823,0.0000,-20.8884,-23.0941,-23.0941,-23.0941,-23.0941,-23.0941
824,0.0000,-14.4046,-14.4046,-14.4046,-14.4046,-14.4046,-14.4046
825,0.0000,0.9960,0.9960,0.9960,0.9960,0.9960,0.9960
826,20.5000,36.9883,14.6693,30.2926,25.8288,16.9012,14.6693
827,20.5000,42.4646,-7.0136,27.6212,17.7255,-2.0658,3.1631
828,0.0000,-8.5750,-22.9649,-22.9649,-22.9649,-22.9649,-22.9649
829,21.5000,19.5749,-19.9863,7.7065,-0.2057,-16.0302,3.5413
830,39.5000,22.7796,-20.9906,9.6485,0.8945,-16.6136,2.9933
831,0.0000,-21.8644,-21.8644,-21.8644,-21.8644,-21.8644,-21.8644
832,20.5000,19.4008,-8.1988,11.1209,5.6010,-5.4388,3.6351
833,20.5000,47.3095,25.1143,40.6509,36.2119,27.3338,25.1143
834,39.5000,12.7880,-22.1034,2.3206,-4.6577,-18.6143,2.8852
835,25.0000,21.9617,-21.3469,8.9691,0.3074,-17.0160,3.5629
836,0.0000,-1.2535,-22.7470,-22.7470,-22.7470,-22.7470,-22.7470
837,21.5000,19.4981,-19.9365,7.6677,-0.2192,-15.9931,3.5632
838,39.5000,21.7901,-21.2560,8.8763,0.2670,-16.9514,3.0064
839,0.0000,-21.5574,-21.5574,-21.5574,-21.5574,-21.5574,-21.5574
840,0.0000,-7.2475,-7.2475,-7.2475,-7.2475,-7.2475,-7.2475
841,20.5000,32.6004,8.9230,25.4972,20.7617,11.2908,8.9230
842,20.5000,43.7452,-3.6378,29.5303,20.0537,1.1005,3.2289
843,0.0000,-8.7036,-22.9773,-22.9773,-22.9773,-22.9773,-22.9773
844,21.5000,19.5169,-19.9456,7.6781,-0.2143,-15.9993,3.5430
845,26.0000,31.5523,-20.9194,15.8108,5.3165,-15.6722,3.2882
