Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
0.50,24.8654,0.4090,0.5000,413.7857,0.0000,-0.0051,-1201.9692,2.9221,51.7496,363.2689,0.5028
2.50,25.5200,0.2822,0.5000,419.2400,-0.0000,-0.0050,-1119.3206,2.7148,52.8557,368.0329,0.4752
4.50,25.9560,0.1824,0.5000,423.8707,-0.0000,-0.0049,-1040.6875,2.4715,54.0243,372.8947,0.4546
6.50,26.2187,0.1030,0.5000,427.6915,0.0000,-0.0048,-986.1291,2.2752,54.8948,376.4732,0.4446
8.50,26.3428,0.0392,0.5000,430.7419,-0.0000,-0.0048,-940.2256,2.0930,55.6550,379.6156,0.4399
10.50,65.7307,78.7390,0.5000,433.2145,-0.0000,-0.0007,-55.6070,3.2796,65.7501,529.6055,0.0093
12.50,61.3268,-2.1225,0.5000,435.9469,-0.0000,-0.0012,-94.5132,3.8219,43.7258,530.4661,0.0148
14.50,57.3136,-1.9398,0.5000,437.7817,-0.0000,-0.0015,-129.5404,3.4812,47.5040,528.3874,0.0216
16.50,53.6433,-1.7741,0.5000,438.7705,-0.0000,-0.0019,-169.3719,2.9796,53.0188,524.0045,0.0321
18.50,50.2872,-1.6221,0.5000,438.9896,-0.0000,-0.0023,-204.1553,2.5721,56.8563,519.0377,0.0444
20.50,47.2189,-1.4830,0.5000,438.5271,-0.0000,-0.0026,-237.2141,2.2255,59.6751,513.6213,0.0598
22.50,44.4128,-1.3566,0.5000,437.4757,-0.0000,-0.0028,-267.3684,1.9402,61.6584,508.1967,0.0779
24.50,41.8444,-1.2422,0.5000,435.9272,-0.0000,-0.0030,-295.2307,1.6979,63.0632,502.7936,0.0994
26.50,39.4905,-1.1392,0.5000,433.9703,-0.0000,-0.0033,-323.6681,1.4669,64.1170,496.8512,0.1279
28.50,37.3293,-1.0467,0.5000,431.6884,-0.0000,-0.0035,-348.9820,1.2711,64.7465,491.1027,0.1614
30.50,35.3410,-0.9638,0.5000,429.1590,-0.0000,-0.0036,-363.8424,1.1588,64.9778,487.4557,0.1862
32.50,33.5073,-0.8897,0.5000,426.4532,-0.0000,-0.0038,-386.2279,0.9896,65.1123,481.3951,0.2349
34.50,31.8116,-0.8236,0.5000,423.6350,-0.0000,-0.0040,-401.8282,0.8681,65.0212,476.5255,0.2820
36.50,30.2390,-0.7647,0.5000,420.7619,-0.0000,-0.0040,-408.3718,0.8147,64.9227,474.2197,0.3072
38.50,28.7761,-0.7123,0.5000,417.8841,-0.0000,-0.0042,-419.0989,0.7205,64.6488,469.8511,0.3607
40.50,27.4108,-0.6656,0.5000,415.0448,-0.0000,-0.0042,-424.3973,0.6680,64.4325,467.2225,0.3971
42.50,26.1324,-0.6240,0.5000,412.2799,-0.0000,-0.0044,-430.2176,0.5994,64.0711,463.5288,0.4541
44.50,24.9312,-0.5871,0.5000,409.6184,-0.0000,-0.0044,-433.7146,0.5423,63.6920,460.1776,0.5126
46.50,23.7986,-0.5543,0.5000,407.0825,-0.0000,-0.0045,-435.4655,0.4825,63.2051,456.3261,0.5889
48.50,22.7270,-0.5251,0.5000,404.6875,-0.0000,-0.0046,-435.1274,0.4430,62.8220,453.5223,0.6512
50.50,21.7096,-0.4993,0.5000,402.4431,-0.0000,-0.0047,-433.4965,0.4083,62.4387,450.8484,0.7165
52.50,20.7402,-0.4763,0.5000,400.3531,-0.0000,-0.0047,-430.7248,0.3779,62.0588,448.2883,0.7848
54.50,19.8134,-0.4560,0.5000,398.4166,-0.0000,-0.0048,-427.8407,0.3566,61.7648,446.3485,0.8407
56.50,18.9243,-0.4379,0.5000,396.6285,-0.0000,-0.0048,-424.4008,0.3373,61.4753,444.4625,0.8985
58.50,18.0687,-0.4220,0.5000,394.9808,-0.0000,-0.0049,-416.0724,0.3042,60.9117,440.8263,1.0204
60.50,17.2426,-0.4079,0.5000,393.4625,-0.0000,-0.0049,-411.2806,0.2900,60.6381,439.0642,1.0847
62.50,16.4426,-0.3955,0.5000,392.0612,-0.0000,-0.0050,-406.1269,0.2772,60.3699,437.3321,1.1512
64.50,15.6655,-0.3845,0.5000,390.7634,-0.0000,-0.0050,-394.8777,0.2552,59.8496,433.9379,1.2917
66.50,14.9087,-0.3749,0.5000,389.5551,-0.0000,-0.0050,-388.8440,0.2458,59.5970,432.2666,1.3659
68.50,14.1694,-0.3665,0.5000,388.4223,-0.0000,-0.0051,-382.5729,0.2371,59.3491,430.6069,1.4429
70.50,13.4457,-0.3592,0.5000,387.3513,-0.0000,-0.0051,-376.0871,0.2287,59.1057,428.9547,1.5228
72.50,12.7353,-0.3529,0.5000,386.3293,-0.0000,-0.0051,-365.2237,0.2171,58.7212,426.2970,1.6585
74.50,12.0365,-0.3474,0.5000,385.3442,-0.0000,-0.0052,-357.4254,0.2104,58.4598,424.4515,1.7578
76.50,11.3477,-0.3427,0.5000,384.3848,-0.0000,-0.0052,-349.4353,0.2048,58.2021,422.5997,1.8616
78.50,10.6673,-0.3387,0.5000,383.4414,-0.0000,-0.0052,-336.6333,0.1983,57.8068,419.6905,2.0333
80.50,9.9941,-0.3354,0.5000,382.5048,-0.0000,-0.0053,-327.2167,0.1952,57.5272,417.5807,2.1644
82.50,9.3268,-0.3327,0.5000,381.5672,-0.0000,-0.0053,-317.6175,0.1933,57.2501,415.4455,2.3026
84.50,8.6642,-0.3305,0.5000,380.6218,-0.0000,-0.0053,-304.8216,0.1926,56.8910,412.6107,2.4950
86.50,8.0054,-0.3288,0.5000,379.6624,-0.0000,-0.0053,-296.7853,0.1931,56.6704,410.8311,2.6209
88.50,7.3493,-0.3276,0.5000,378.6839,-0.0000,-0.0054,-288.6449,0.1943,56.4502,409.0259,2.7527
90.50,6.6952,-0.3268,0.5000,377.6817,-0.0000,-0.0054,-280.4027,0.1963,56.2302,407.1930,2.8907
92.50,6.0420,-0.3265,0.5000,376.6521,-0.0000,-0.0054,-269.8240,0.1998,55.9515,404.8290,3.0751
94.50,5.3892,-0.3265,0.5000,375.5915,-0.0000,-0.0054,-259.0876,0.2045,55.6721,402.4127,3.2709
96.50,4.7358,-0.3268,0.5000,374.4971,-0.0000,-0.0054,-248.1958,0.2103,55.3916,399.9399,3.4793
98.50,4.0813,-0.3276,0.5000,373.3662,-0.0000,-0.0055,-237.1527,0.2172,55.1094,397.4065,3.7012
100.50,3.4248,-0.3286,0.5000,372.1964,-0.0000,-0.0055,-225.9667,0.2252,54.8251,394.8083,3.9377
102.50,2.7659,-0.3300,0.5000,370.9855,-0.0000,-0.0055,-214.6446,0.2344,54.5384,392.1413,4.1901
104.50,2.1040,-0.3316,0.5000,369.7314,-0.0000,-0.0055,-203.2052,0.2449,54.2488,389.4017,4.4598
106.50,1.4384,-0.3335,0.5000,368.4320,-0.0000,-0.0056,-191.6733,0.2566,53.9558,386.5857,4.7482
108.50,0.7688,-0.3356,0.5000,367.0853,-0.0000,-0.0056,-176.3540,0.2741,53.5630,382.7418,5.1606
110.50,0.0947,-0.3379,0.5000,365.6891,-0.0000,-0.0056,-168.6838,0.2837,53.3639,380.7653,5.3814
112.50,-0.5840,-0.3403,0.5000,364.2413,-0.0000,-0.0057,-153.4137,0.3049,52.9598,376.6995,5.8546
114.50,-1.2676,-0.3427,0.5000,362.7399,-0.0000,-0.0057,-145.8528,0.3165,52.7545,374.6090,6.1081
116.50,-1.9560,-0.3451,0.5000,361.1826,-0.0000,-0.0057,-130.9977,0.3420,52.3373,370.3111,6.6519
118.50,-2.6491,-0.3474,0.5000,359.5673,-0.0000,-0.0058,-116.6766,0.3704,51.9105,365.8568,7.2488
120.50,-3.3465,-0.3495,0.5000,357.8919,-0.0000,-0.0058,-109.7870,0.3859,51.6934,363.5714,7.5685
122.50,-4.0477,-0.3512,0.5000,356.1546,-0.0000,-0.0058,-96.6924,0.4195,51.2513,358.8872,8.2537
