Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
1,-87.7266,0.0000,0.5000,80.3197,-2.3454,-0.1263,-0.0004,-0.0045,-0.0111,-0.0054,-28.4934
3,-87.7266,0.0000,0.5000,80.3229,-2.3454,-0.1263,-0.0004,-0.0045,-0.0110,-0.0054,-28.4903
5,-87.7266,0.0000,0.5000,80.3260,-2.3454,-0.1263,-0.0004,-0.0045,-0.0110,-0.0054,-28.4887
7,-87.7266,0.0000,0.5000,80.3293,-2.3455,-0.1263,-0.0004,-0.0045,-0.0110,-0.0054,-28.4855
9,-87.7266,0.0000,0.5000,80.3325,-2.3455,-0.1263,-0.0004,-0.0045,-0.0109,-0.0053,-28.4823
11,-48.2376,78.9781,0.5000,80.3351,-1417.6349,-19.2805,-0.1974,5.4118,5.4059,0.0167,388.5675
13,34.1103,7.4201,0.5000,81.3073,-3781.0980,-150.1406,-4500.7870,1839.2320,19.8067,1.6575,0.2062
15,36.8190,-1.5800,0.5000,119.3671,-848.8228,-135.4778,-147.3782,2800.8872,58.3624,5.3454,0.1604
17,31.4729,-1.9153,0.5000,280.9168,-316.4285,-152.4736,-695.4680,2281.0937,89.1101,8.4971,0.2695
19,30.5980,0.1919,0.5000,483.1106,-129.3398,-154.0533,-2153.9234,1781.1630,111.8297,11.3195,0.2921
21,32.7189,1.3006,0.5000,624.7821,-49.7246,-145.8366,-3090.6524,1469.7432,128.4095,14.6261,0.2365
23,35.0054,1.0242,0.5000,705.4847,-18.6522,-137.0308,-2804.5092,1264.4173,138.5187,18.4281,0.1883
25,36.6871,0.7417,0.5000,762.6741,-7.5990,-130.9119,-2535.5162,1114.9263,144.2680,22.1766,0.1615
27,37.9096,0.5421,0.5000,805.7462,-2.8981,-125.9164,-2303.1266,980.4007,148.3622,26.4039,0.1432
29,38.8115,0.4022,0.5000,838.9449,-1.0946,-122.0205,-2116.8430,866.7258,151.1735,30.8277,0.1310
31,39.4845,0.3009,0.5000,864.7093,-0.4377,-119.0983,-1973.8243,776.7375,153.0393,35.0938,0.1231
33,39.9877,0.2246,0.5000,884.6369,-0.1577,-116.4634,-1841.3640,692.3355,154.5243,39.9250,0.1169
35,40.3610,0.1656,0.5000,899.8620,-0.0628,-114.5109,-1740.0518,627.7177,155.4942,44.3270,0.1130
37,40.6322,0.1189,0.5000,911.2335,-0.0212,-112.6013,-1637.1619,562.5046,156.3296,49.5509,0.1097
39,40.8218,0.0813,0.5000,919.4116,-0.0094,-111.3943,-1569.4745,520.0102,156.7988,53.4632,0.1081
41,40.9448,0.0504,0.5000,924.9208,-0.0028,-109.8555,-1479.1336,463.9944,157.3320,59.3503,0.1066
43,41.0130,0.0249,0.5000,928.1870,-0.0012,-108.9748,-1424.7924,430.7779,157.6064,63.2931,0.1061
45,41.0354,0.0034,0.5000,929.5604,-0.0005,-108.1959,-1374.7208,400.5423,157.8328,67.2143,0.1059
47,41.0190,-0.0148,0.5000,929.3324,-0.0002,-107.1866,-1306.3523,359.9304,158.1084,73.0435,0.1062
49,40.9696,-0.0304,0.5000,927.7472,-0.0001,-106.5847,-1263.2961,334.8086,158.2671,77.0117,0.1067
51,40.8916,-0.0440,0.5000,925.0107,-0.0000,-106.0466,-1223.0439,311.6834,158.4091,80.9392,0.1075
53,40.7885,-0.0559,0.5000,921.2979,-0.0000,-105.4142,-1173.1974,283.5870,158.5811,86.1068,0.1088
55,40.6634,-0.0664,0.5000,916.7574,-0.0000,-105.0236,-1140.7760,265.6690,158.6938,89.6553,0.1099
57,40.5187,-0.0758,0.5000,911.5165,-0.0000,-104.6039,-1104.2661,245.8633,158.8243,93.8345,0.1115
59,40.3563,-0.0843,0.5000,905.6841,-0.0000,-104.2229,-1069.3511,227.3245,158.9556,98.0187,0.1133
61,40.1779,-0.0920,0.5000,899.3540,-0.0000,-103.8305,-1031.2549,207.5867,159.1094,102.8008,0.1156
63,39.9848,-0.0991,0.5000,892.6068,-0.0000,-103.4783,-994.7599,189.2023,159.2707,107.6019,0.1183
65,39.7784,-0.1056,0.5000,885.5121,-0.0000,-103.1546,-958.8100,171.6384,159.4466,112.5499,0.1214
67,39.5595,-0.1117,0.5000,878.1300,-0.0000,-102.9694,-936.9287,161.2328,159.5635,115.6713,0.1236
69,39.3292,-0.1173,0.5000,870.5129,-0.0000,-102.8003,-915.9540,151.4711,159.6837,118.7434,0.1259
71,39.0881,-0.1225,0.5000,862.7060,-0.0000,-102.6461,-895.8360,142.3171,159.8072,121.7660,0.1283
73,38.8369,-0.1274,0.5000,854.7481,-0.0000,-102.3779,-857.9701,125.6652,160.0641,127.6614,0.1335
75,38.5764,-0.1320,0.5000,846.6731,-0.0000,-102.2617,-840.1369,118.0987,160.1974,130.5341,0.1364
77,38.3070,-0.1363,0.5000,838.5102,-0.0000,-102.1562,-822.9853,110.9967,160.3338,133.3567,0.1393
79,38.0293,-0.1404,0.5000,830.2851,-0.0000,-102.0605,-806.4800,104.3303,160.4732,136.1294,0.1424
81,37.7437,-0.1442,0.5000,822.0199,-0.0000,-101.9543,-786.8785,96.6345,160.6498,139.4955,0.1464
83,37.4507,-0.1478,0.5000,813.7338,-0.0000,-101.8605,-768.1612,89.5177,160.8303,142.7855,0.1507
85,37.1508,-0.1512,0.5000,805.4434,-0.0000,-101.7777,-750.2755,82.9356,161.0143,145.9999,0.1551
87,36.8443,-0.1544,0.5000,797.1633,-0.0000,-101.7047,-733.1726,76.8481,161.2013,149.1395,0.1599
