Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0,-87.6599,0.0000,0.5000,79.2556,-2.2216,-0.1017,-0.0005,-0.0069,-0.0340,-0.0070,-50.8798,-0.0510,-0.0510
2,-87.6599,0.0000,0.5000,79.2625,-2.2216,-0.1018,-0.0005,-0.0069,-0.0339,-0.0070,-50.8738,-0.0510,-0.0510
4,-87.6599,0.0000,0.5000,79.2696,-2.2217,-0.1018,-0.0005,-0.0069,-0.0338,-0.0070,-50.8676,-0.0510,-0.0510
6,-87.6599,0.0000,0.5000,79.2768,-2.2217,-0.1019,-0.0005,-0.0069,-0.0337,-0.0070,-50.8613,-0.0510,-0.0510
8,-87.6599,0.0000,0.5000,79.2842,-2.2217,-0.1019,-0.0005,-0.0069,-0.0336,-0.0069,-50.8548,-0.0510,-0.0510
10,-48.1818,78.9560,0.5000,79.2909,-1334.5605,-15.4739,-0.2129,4.6167,9.2221,0.0215,385.6421,0.3838,0.3838
12,32.7472,8.2283,0.5000,80.8369,-3865.9407,-121.7845,-4904.2531,1618.4569,22.3188,1.9754,0.2340,-3.3831,-3.3831
14,27.0472,-7.3660,0.5000,321.3754,-1347.6560,-135.9168,5011.7832,2294.2876,50.3765,5.7549,0.4113,7.2267,7.2267
16,27.6352,3.5686,0.5000,784.0638,-520.7278,-132.9028,-4757.3644,1903.6883,80.5386,8.9043,0.3825,-2.8968,-2.8968
18,32.7686,1.9890,0.5000,932.1920,-186.6829,-117.4589,-3841.0033,1749.1892,101.8266,13.1168,0.2327,-2.0941,-2.0941
20,35.5548,1.1216,0.5000,1023.4924,-74.0873,-109.2651,-3279.4684,1574.7866,115.3103,17.5912,0.1802,-1.6809,-1.6809
22,37.2517,0.7201,0.5000,1087.0670,-26.9968,-103.4690,-2881.7101,1365.1075,125.7546,22.9579,0.1515,-1.4712,-1.4712
24,38.4097,0.5089,0.5000,1132.7418,-10.3756,-99.5586,-2609.2555,1181.9357,132.7729,28.3329,0.1356,-1.3656,-1.3656
26,39.2567,0.3789,0.5000,1165.5510,-4.3097,-96.7622,-2411.0190,1037.5519,137.5286,33.4363,0.1257,-1.2991,-1.2991
28,39.8960,0.2875,0.5000,1188.6031,-1.4548,-94.0085,-2211.9429,890.5179,141.8667,39.8917,0.1173,-1.2336,-1.2336
30,40.3812,0.2178,0.5000,1204.0295,-0.6166,-92.2386,-2080.9304,795.3078,144.4400,45.0687,0.1125,-1.1882,-1.1882
32,40.7450,0.1619,0.5000,1213.3854,-0.2342,-90.5755,-1954.2694,705.7392,146.6930,50.9544,0.1086,-1.1413,-1.1413
34,41.0100,0.1159,0.5000,1217.8547,-0.0919,-89.2404,-1848.6735,633.4943,148.3818,56.6604,0.1060,-1.0993,-1.0993
36,41.1930,0.0777,0.5000,1218.3632,-0.0326,-88.0145,-1746.8734,566.2526,149.8370,62.9790,0.1040,-1.0557,-1.0557
