Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
751,20.5000,40.9769,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
752,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
753,20.5000,40.9768,-88.0324,2.2741,-23.5278,-75.1314,-0.1428
754,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
755,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
756,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
757,20.5000,40.9771,-88.0324,2.2743,-23.5276,-75.1314,-0.1428
758,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
759,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
760,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
761,20.5000,40.9771,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
762,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
763,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
764,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
765,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
766,20.5000,40.9771,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
767,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
768,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
769,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
770,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
771,20.5000,40.9769,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
772,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
773,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
774,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
775,20.5000,40.9768,-88.0324,2.2741,-23.5278,-75.1314,-0.1428
776,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
777,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
778,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
779,20.5000,40.9765,-88.0324,2.2739,-23.5279,-75.1315,-0.1428
780,20.5000,40.9769,-88.0324,2.2741,-23.5277,-75.1314,-0.1428
781,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
782,20.5000,40.9770,-88.0324,2.2742,-23.5277,-75.1314,-0.1428
