Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-87.9525,-0.0000,0.5000,75.5761,-1.6824,-0.3246,-0.0002,  -0,-0.0003,-0.0025,-10.4771,-0.0108,0.0000
2.50,-87.9525,-0.0000,0.5000,75.5766,-1.6824,-0.3246,-0.0002,  -0,-0.0003,-0.0025,-10.4763,-0.0108,0.0000
4.50,-87.9525,-0.0000,0.5000,75.5770,-1.6824,-0.3246,-0.0002,  -0,-0.0003,-0.0025,-10.4756,-0.0108,0.0000
6.50,-87.9525,-0.0000,0.5000,75.5775,-1.6824,-0.3246,-0.0002,  -0,-0.0003,-0.0025,-10.4748,-0.0108,0.0000
8.50,-87.9525,-0.0000,0.5000,75.5780,-1.6824,-0.3246,-0.0002,  -0,-0.0003,-0.0025,-10.4741,-0.0108,0.0000
10.50,-48.3473,79.2103,0.5000,75.5779,-1065.0910,-51.3072,-0.0853,   2,0.2906,0.0079,303.5143,0.2542,0.2542
12.50,27.9884,7.4658,0.5000,75.6597,-3929.8714,-527.6821,-2630.0971, 452,16.9573,0.5909,0.2878,-2.6882,-2.6882
14.50,35.0193,2.0764,0.5000,78.2103,-749.8042,-434.2439,-1984.0927, 806,99.7790,2.0393,0.1460,-1.5104,-1.5104
16.50,37.2547,0.7485,0.5000,86.5971,-207.6895,-404.1914,-1501.5163, 785,175.7526,3.8217,0.1177,-0.9408,-0.9408
18.50,38.1687,0.3356,0.5000,100.7902,-71.3791,-390.6022,-1226.2400, 670,227.9874,5.8121,0.1078,-0.7127,-0.7127
20.50,38.6316,0.1871,0.5000,118.7550,-25.8676,-382.2321,-1068.5327, 552,264.7004,8.0180,0.1029,-0.6256,-0.6256
22.50,38.9271,0.1304,0.5000,138.0931,-9.9193,-376.2325,-982.3665, 460,290.5233,10.2464,0.1000,-0.5975,-0.5975
24.50,39.1516,0.1030,0.5000,157.0773,-4.2224,-371.6764,-931.5902, 396,308.8541,12.2944,0.0981,-0.5863,-0.5863
26.50,39.3310,0.0819,0.5000,174.7869,-1.6097,-367.1228,-887.8354, 339,326.1185,14.6523,0.0964,-0.5751,-0.5751
28.50,39.4685,0.0607,0.5000,190.8495,-0.6079,-363.0594,-850.7884, 295,341.0373,17.0708,0.0951,-0.5611,-0.5611
30.50,39.5620,0.0383,0.5000,205.1913,-0.2314,-359.5231,-818.0619, 259,354.0614,19.4989,0.0942,-0.5445,-0.5445
32.50,39.6101,0.0155,0.5000,217.8817,-0.0935,-356.6291,-789.9523, 232,365.0705,21.7967,0.0938,-0.5271,-0.5271
34.50,39.6130,-0.0069,0.5000,229.0510,-0.0297,-353.5074,-757.2840, 204,377.7223,24.7265,0.0938,-0.5040,-0.5040
36.50,39.5724,-0.0282,0.5000,238.8479,-0.0105,-351.1486,-730.1147, 183,388.2202,27.3966,0.0944,-0.4826,-0.4826
38.50,39.4909,-0.0481,0.5000,247.4204,-0.0053,-349.8001,-713.1859, 170,394.7936,29.1787,0.0950,-0.4685,-0.4685
40.50,39.3715,-0.0664,0.5000,254.9068,-0.0012,-347.4282,-679.6856, 147,407.9834,33.0044,0.0969,-0.4389,-0.4389
42.50,39.2174,-0.0832,0.5000,261.4321,-0.0007,-346.6748,-667.6097, 139,412.8279,34.4902,0.0979,-0.4278,-0.4278
44.50,39.0318,-0.0984,0.5000,267.1075,-0.0002,-345.4128,-644.9579, 125,422.0974,37.4464,0.1002,-0.4062,-0.4062
46.50,38.8176,-0.1122,0.5000,272.0314,-0.0001,-344.8902,-634.3324, 118,426.5458,38.9149,0.1016,-0.3957,-0.3957
48.50,38.5775,-0.1246,0.5000,276.2899,-0.0000,-344.0304,-614.3699, 106,435.1205,41.8289,0.1046,-0.3755,-0.3755
50.50,38.3141,-0.1359,0.5000,279.9587,-0.0000,-343.3811,-596.0021,  95,443.3194,44.7073,0.1081,-0.3562,-0.3562
52.50,38.0294,-0.1461,0.5000,283.1039,-0.0000,-343.1230,-587.3747,  90,447.2958,46.1318,0.1100,-0.3469,-0.3469
54.50,37.7257,-0.1553,0.5000,285.7835,-0.0000,-342.7191,-571.1654,  81,455.0315,48.9485,0.1141,-0.3288,-0.3288
56.50,37.4046,-0.1636,0.5000,288.0484,-0.0000,-342.5657,-563.5609,  77,458.8011,50.3399,0.1163,-0.3201,-0.3201
58.50,37.0678,-0.1711,0.5000,289.9435,-0.0000,-342.3389,-549.3016,  69,466.1663,53.0871,0.1211,-0.3033,-0.3033
60.50,36.7170,-0.1779,0.5000,291.5082,-0.0000,-342.1993,-536.2572,  62,473.3241,55.7846,0.1264,-0.2872,-0.2872
62.50,36.3533,-0.1841,0.5000,292.7774,-0.0000,-342.1499,-529.2442,  58,477.3803,57.3216,0.1296,-0.2783,-0.2783
64.50,35.9782,-0.1896,0.5000,293.7819,-0.0000,-342.1147,-521.3175,  54,482.1812,59.1457,0.1337,-0.2679,-0.2679
66.50,35.5928,-0.1945,0.5000,294.5491,-0.0000,-342.0990,-510.5178,  48,489.1826,61.8104,0.1402,-0.2531,-0.2531
68.50,35.1982,-0.1989,0.5000,295.1032,-0.0000,-342.1042,-504.6103,  45,493.2970,63.3762,0.1444,-0.2446,-0.2446
70.50,34.7956,-0.2027,0.5000,295.4661,-0.0000,-342.1283,-495.0489,  40,500.5285,66.1230,0.1523,-0.2301,-0.2301
72.50,34.3860,-0.2060,0.5000,295.6570,-0.0000,-342.1533,-487.6564,  36,506.7795,68.4881,0.1597,-0.2181,-0.2181
74.50,33.9703,-0.2089,0.5000,295.6934,-0.0000,-342.1635,-484.3122,  34,509.8657,69.6516,0.1637,-0.2123,-0.2123
76.50,33.5495,-0.2113,0.5000,295.5907,-0.0000,-342.1728,-478.3089,  31,515.9641,71.9407,0.1719,-0.2014,-0.2014
78.50,33.1245,-0.2132,0.5000,295.3629,-0.0000,-342.1597,-473.1905,  28,521.9674,74.1802,0.1806,-0.1910,-0.1910
80.50,32.6960,-0.2147,0.5000,295.0225,-0.0000,-342.1421,-470.9514,  27,524.9346,75.2815,0.1851,-0.1861,-0.1861
82.50,32.2651,-0.2159,0.5000,294.5809,-0.0000,-342.0799,-467.0877,  24,530.8016,77.4482,0.1946,-0.1768,-0.1768
84.50,31.8323,-0.2166,0.5000,294.0483,-0.0000,-341.9761,-464.0045,  22,536.5802,79.5678,0.2046,-0.1680,-0.1680
86.50,31.3985,-0.2170,0.5000,293.4340,-0.0000,-341.9067,-462.7398,  21,539.4367,80.6104,0.2098,-0.1639,-0.1639
88.50,30.9642,-0.2171,0.5000,292.7463,-0.0000,-341.7401,-460.8186,  19,544.7918,82.5559,0.2200,-0.1564,-0.1564
90.50,30.5302,-0.2169,0.5000,291.9929,-0.0000,-341.6020,-459.8637,  17,548.3186,83.8310,0.2271,-0.1516,-0.1516
92.50,30.0969,-0.2164,0.5000,291.1807,-0.0000,-341.3521,-458.8812,  16,553.5441,85.7119,0.2381,-0.1449,-0.1449
94.50,29.6649,-0.2157,0.5000,290.3158,-0.0000,-341.0485,-458.3893,  14,558.6922,87.5557,0.2497,-0.1386,-0.1386
96.50,29.2345,-0.2148,0.5000,289.4042,-0.0000,-340.8156,-458.3056,  13,562.0815,88.7649,0.2576,-0.1345,-0.1345
98.50,28.8062,-0.2138,0.5000,288.4509,-0.0000,-340.4635,-458.4657,  12,566.5801,90.3644,0.2687,-0.1293,-0.1293
100.50,28.3801,-0.2126,0.5000,287.4608,-0.0000,-340.0857,-458.8739,  11,570.8135,91.8644,0.2796,-0.1246,-0.1246
102.50,27.9565,-0.2113,0.5000,286.4382,-0.0000,-339.5932,-459.6158,  10,575.6836,93.5838,0.2928,-0.1193,-0.1193
104.50,27.5356,-0.2099,0.5000,285.3870,-0.0000,-339.1809,-460.3399,  10,579.3476,94.8731,0.3032,-0.1153,-0.1153
106.50,27.1174,-0.2086,0.5000,284.3108,-0.0000,-338.6635,-461.3161,   9,583.5469,96.3462,0.3156,-0.1109,-0.1109
108.50,26.7020,-0.2072,0.5000,283.2130,-0.0000,-338.0753,-462.4621,   8,587.9064,97.8700,0.3292,-0.1063,-0.1063
110.50,26.2893,-0.2059,0.5000,282.0967,-0.0000,-337.4862,-463.6085,   8,591.9311,99.2713,0.3423,-0.1020,-0.1020
112.50,25.8792,-0.2046,0.5000,280.9644,-0.0000,-336.6539,-465.1788,   7,597.1718,101.0870,0.3602,-0.0964,-0.0964
114.50,25.4715,-0.2034,0.5000,279.8188,-0.0000,-336.1749,-466.0410,   6,599.9994,102.0619,0.3704,-0.0934,-0.0934
116.50,25.0661,-0.2023,0.5000,278.6623,-0.0000,-335.1688,-467.7326,   6,605.5909,103.9778,0.3914,-0.0872,-0.0872
118.50,24.6627,-0.2013,0.5000,277.4968,-0.0000,-334.6434,-468.5441,   5,608.3572,104.9190,0.4023,-0.0841,-0.0841
120.50,24.2610,-0.2005,0.5000,276.3243,-0.0000,-333.5525,-470.0604,   5,613.8373,106.7679,0.4248,-0.0777,-0.0777
122.50,23.8608,-0.1999,0.5000,275.1466,-0.0000,-332.9890,-470.7521,   5,616.5538,107.6756,0.4366,-0.0745,-0.0745
124.50,23.4617,-0.1994,0.5000,273.9652,-0.0000,-331.8305,-471.9751,   4,621.9467,109.4575,0.4609,-0.0678,-0.0678
126.50,23.0634,-0.1990,0.5000,272.7817,-0.0000,-331.2375,-472.4975,   4,624.6261,110.3315,0.4735,-0.0644,-0.0644
128.50,22.6656,-0.1989,0.5000,271.5974,-0.0000,-330.6366,-472.9553,   4,627.2959,111.1942,0.4865,-0.0609,-0.0609
130.50,22.2677,-0.1989,0.5000,270.4134,-0.0000,-329.4149,-473.6658,   3,632.6131,112.8851,0.5135,-0.0537,-0.0537
132.50,21.8696,-0.1992,0.5000,269.2309,-0.0000,-328.7958,-473.9139,   3,635.2633,113.7132,0.5276,-0.0500,-0.0500
134.50,21.4707,-0.1996,0.5000,268.0508,-0.0000,-327.5458,-474.1881,   3,640.5544,115.3339,0.5570,-0.0424,-0.0424
136.50,21.0708,-0.2002,0.5000,266.8742,-0.0000,-326.9165,-474.2122,   3,643.1981,116.1263,0.5724,-0.0385,-0.0385
138.50,20.6694,-0.2010,0.5000,265.7017,-0.0000,-326.2854,-474.1602,   3,645.8424,116.9066,0.5882,-0.0345,-0.0345
