Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
0,22.0000,41.6288,-87.8420,2.7876,-23.1066,-74.8949,-0.4113
1,20.5000,41.8468,-87.9518,2.9072,-23.0525,-74.9720,-0.3773
2,20.5000,41.8665,-87.9499,2.9216,-23.0417,-74.9683,-0.3792
3,20.5000,41.8602,-87.9496,2.9173,-23.0447,-74.9686,-0.3803
4,20.5000,41.8510,-87.9489,2.9110,-23.0489,-74.9689,-0.3810
5,20.5000,41.8399,-87.9480,2.9035,-23.0540,-74.9692,-0.3813
6,20.5000,41.8275,-87.9470,2.8951,-23.0597,-74.9695,-0.3814
7,20.5000,41.8138,-87.9459,2.8859,-23.0660,-74.9699,-0.3815
8,20.5000,41.7998,-87.9448,2.8764,-23.0725,-74.9703,-0.3814
9,20.5000,41.7851,-87.9437,2.8665,-23.0793,-74.9708,-0.3813
10,20.5000,41.7701,-87.9425,2.8563,-23.0862,-74.9713,-0.3812
11,20.5000,41.7546,-87.9414,2.8458,-23.0934,-74.9718,-0.3810
12,20.5000,41.7391,-87.9403,2.8353,-23.1006,-74.9724,-0.3808
13,20.5000,41.7232,-87.9392,2.8245,-23.1080,-74.9730,-0.3832
14,20.5000,41.7074,-87.9381,2.8137,-23.1154,-74.9736,-0.3830
15,20.5000,41.6915,-87.9371,2.8029,-23.1228,-74.9742,-0.3827
16,20.5000,41.6755,-87.9360,2.7921,-23.1302,-74.9749,-0.3825
17,20.5000,41.6595,-87.9350,2.7812,-23.1377,-74.9756,-0.3822
18,20.5000,41.6435,-87.9340,2.7702,-23.1453,-74.9763,-0.3819
19,20.5000,41.6274,-87.9330,2.7593,-23.1528,-74.9770,-0.3816
20,20.5000,41.6115,-87.9321,2.7484,-23.1603,-74.9777,-0.3814
21,20.5000,41.5955,-87.9311,2.7375,-23.1678,-74.9785,-0.3811
22,20.5000,41.5798,-87.9302,2.7268,-23.1752,-74.9792,-0.3808
23,20.5000,41.5639,-87.9293,2.7159,-23.1827,-74.9800,-0.3805
24,20.5000,41.5482,-87.9284,2.7052,-23.1901,-74.9807,-0.3803
25,20.5000,41.5325,-87.9275,2.6945,-23.1975,-74.9815,-0.3828
26,20.5000,41.5170,-87.9267,2.6839,-23.2048,-74.9823,-0.3826
27,20.5000,41.5017,-87.9258,2.6734,-23.2121,-74.9831,-0.3824
28,20.5000,41.4864,-87.9250,2.6630,-23.2193,-74.9838,-0.3822
29,20.5000,41.4713,-87.9242,2.6527,-23.2264,-74.9846,-0.3819
30,20.5000,41.4562,-87.9234,2.6423,-23.2336,-74.9854,-0.3818
31,20.5000,41.4412,-87.9226,2.6321,-23.2407,-74.9862,-0.3816
32,20.5000,41.4265,-87.9218,2.6220,-23.2477,-74.9870,-0.3814
33,20.5000,41.4119,-87.9211,2.6120,-23.2546,-74.9878,-0.3812
34,20.5000,41.3973,-87.9203,2.6020,-23.2615,-74.9885,-0.3811
35,20.5000,41.3829,-87.9196,2.5921,-23.2684,-74.9893,-0.3810
36,20.5000,41.3688,-87.9189,2.5825,-23.2750,-74.9901,-0.3808
37,20.5000,41.3546,-87.9182,2.5727,-23.2818,-74.9909,-0.3807
38,20.5000,41.3406,-87.9175,2.5632,-23.2884,-74.9917,-0.3806
39,20.5000,41.3268,-87.9168,2.5537,-23.2950,-74.9924,-0.3805
40,20.5000,41.3130,-87.9161,2.5443,-23.3015,-74.9932,-0.3805
41,20.5000,41.2995,-87.9154,2.5350,-23.3079,-74.9939,-0.3804
42,20.5000,41.2861,-87.9148,2.5258,-23.3143,-74.9947,-0.3804
43,20.5000,41.2728,-87.9142,2.5167,-23.3207,-74.9955,-0.3803
44,20.5000,41.2598,-87.9135,2.5078,-23.3269,-74.9962,-0.3803
45,20.5000,41.2468,-87.9129,2.4989,-23.3330,-74.9969,-0.3803
46,20.5000,41.2339,-87.9123,2.4901,-23.3392,-74.9977,-0.3773
47,20.5000,41.2213,-87.9117,2.4814,-23.3452,-74.9984,-0.3773
48,20.5000,41.2087,-87.9111,2.4728,-23.3512,-74.9991,-0.3773
49,20.5000,41.1962,-87.9105,2.4642,-23.3571,-74.9998,-0.3773
50,20.5000,41.1837,-87.9099,2.4556,-23.3631,-75.0006,-0.3773
51,20.5000,41.1717,-87.9094,2.4474,-23.3688,-75.0013,-0.3774
52,20.5000,41.1597,-87.9088,2.4391,-23.3746,-75.0020,-0.3774
53,20.5000,41.1476,-87.9083,2.4309,-23.3803,-75.0027,-0.3775
54,20.5000,41.1357,-87.9077,2.4227,-23.3860,-75.0034,-0.3775
55,20.5000,41.1242,-87.9072,2.4148,-23.3915,-75.0041,-0.3776
56,20.5000,41.1126,-87.9067,2.4068,-23.3970,-75.0048,-0.3777
57,20.5000,41.1011,-87.9062,2.3989,-23.4025,-75.0054,-0.3778
58,20.5000,41.0899,-87.9057,2.3912,-23.4079,-75.0061,-0.3778
59,20.5000,41.0785,-87.9051,2.3834,-23.4133,-75.0068,-0.3779
60,20.5000,41.0675,-87.9047,2.3759,-23.4186,-75.0074,-0.3780
61,20.5000,41.0565,-87.9042,2.3683,-23.4238,-75.0081,-0.3781
62,20.5000,41.0456,-87.9037,2.3608,-23.4291,-75.0088,-0.3783
63,20.5000,41.0348,-87.9032,2.3534,-23.4342,-75.0094,-0.3784
64,20.5000,41.0240,-87.9027,2.3460,-23.4393,-75.0101,-0.3755
65,20.5000,41.0137,-87.9023,2.3389,-23.4443,-75.0107,-0.3756
66,20.5000,41.0032,-87.9018,2.3317,-23.4493,-75.0113,-0.3757
67,20.5000,40.9927,-87.9014,2.3245,-23.4543,-75.0120,-0.3759
68,20.5000,40.9826,-87.9009,2.3175,-23.4592,-75.0126,-0.3760
69,20.5000,40.9723,-87.9005,2.3105,-23.4641,-75.0132,-0.3761
70,20.5000,40.9622,-87.9000,2.3035,-23.4689,-75.0138,-0.3763
71,20.5000,40.9524,-87.8996,2.2968,-23.4736,-75.0144,-0.3764
72,20.5000,40.9423,-87.8992,2.2898,-23.4785,-75.0150,-0.3766
73,20.5000,40.9328,-87.8988,2.2833,-23.4830,-75.0156,-0.3768
74,20.5000,40.9230,-87.8984,2.2766,-23.4877,-75.0162,-0.3769
