Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-87.8717,-0.0001,0.5000,85.9328,-2.2410,-0.3055,-0.0002,  -0,-0.0009,-0.0053,-34.3384,-0.0347,0.0000
2.50,-87.8718,-0.0001,0.5000,85.8805,-2.2409,-0.3056,-0.0002,  -0,-0.0009,-0.0053,-34.3726,-0.0347,0.0000
4.50,-87.8719,-0.0001,0.5000,85.8287,-2.2409,-0.3056,-0.0002,  -0,-0.0009,-0.0053,-34.4066,-0.0347,0.0000
6.50,-87.8721,-0.0001,0.5000,85.7773,-2.2409,-0.3057,-0.0002,  -0,-0.0009,-0.0053,-34.4403,-0.0348,0.0000
8.50,-87.8722,-0.0001,0.5000,85.7263,-2.2408,-0.3058,-0.0002,  -0,-0.0009,-0.0053,-34.4736,-0.0348,0.0000
10.50,-48.2530,79.2385,0.5000,85.6752,-1406.8944,-48.0240,-0.0850,   2,0.2947,0.0165,300.0511,0.2539,0.2539
12.50,33.5426,6.4585,0.5000,85.7939,-3847.6664,-414.4856,-2025.5252, 543,27.2852,1.6525,0.1674,-1.8683,-1.8683
14.50,38.6859,1.2918,0.5000,89.7852,-769.1176,-347.2593,-1545.6648, 818,117.0256,5.2512,0.1023,-0.9528,-0.9528
16.50,39.6866,0.2057,0.5000,102.8817,-228.9629,-331.5555,-1161.4985, 739,187.8454,9.3228,0.0930,-0.5573,-0.5573
18.50,39.6841,-0.0768,0.5000,125.3434,-80.6330,-327.3966,-954.2237, 595,235.5981,13.6619,0.0931,-0.4369,-0.4369
20.50,39.4615,-0.1158,0.5000,153.4467,-29.3238,-326.0269,-880.5207, 467,269.5721,18.2010,0.0952,-0.4518,-0.4518
22.50,39.2653,-0.0846,0.5000,182.8261,-11.7385,-324.8726,-866.1609, 377,293.2547,22.3607,0.0970,-0.4980,-0.4980
24.50,39.1397,-0.0512,0.5000,210.7766,-4.5990,-323.2986,-861.5063, 309,313.1227,26.6002,0.0982,-0.5358,-0.5358
26.50,39.0625,-0.0331,0.5000,236.1487,-1.3938,-320.9401,-850.5117, 247,334.2828,31.9605,0.0990,-0.5581,-0.5581
28.50,39.0024,-0.0298,0.5000,258.6398,-0.7185,-319.6116,-841.0050, 221,344.6018,34.9149,0.0995,-0.5601,-0.5601
30.50,38.9354,-0.0367,0.5000,278.3257,-0.2386,-317.5530,-821.5014, 187,360.1172,39.7938,0.1003,-0.5525,-0.5525
32.50,38.8464,-0.0497,0.5000,295.4316,-0.1045,-316.2087,-805.1903, 166,370.6829,43.4171,0.1011,-0.5409,-0.5409
34.50,38.7272,-0.0657,0.5000,310.2261,-0.0342,-314.7136,-782.3137, 144,383.8636,48.2664,0.1026,-0.5208,-0.5208
36.50,38.5744,-0.0829,0.5000,322.9767,-0.0147,-313.8422,-765.1621, 130,393.0996,51.8679,0.1041,-0.5038,-0.5038
38.50,38.3872,-0.1000,0.5000,333.9312,-0.0064,-313.1814,-748.4378, 118,401.8401,55.4154,0.1059,-0.4860,-0.4860
40.50,38.1667,-0.1163,0.5000,343.3121,-0.0028,-312.7156,-732.3093, 108,410.1606,58.9038,0.1080,-0.4680,-0.4680
42.50,37.9147,-0.1317,0.5000,351.3154,-0.0008,-312.3423,-709.4207,  94,421.9828,64.0160,0.1118,-0.4412,-0.4412
44.50,37.6335,-0.1458,0.5000,358.1122,-0.0003,-312.2820,-695.0714,  87,429.4933,67.3388,0.1147,-0.4237,-0.4237
46.50,37.3256,-0.1587,0.5000,363.8515,-0.0002,-312.3339,-683.3022,  81,435.7540,70.1419,0.1175,-0.4090,-0.4090
48.50,36.9934,-0.1704,0.5000,368.6626,-0.0001,-312.4938,-670.6089,  74,442.6426,73.2510,0.1209,-0.3927,-0.3927
50.50,36.6392,-0.1810,0.5000,372.6577,-0.0000,-312.7897,-656.8906,  68,450.2878,76.7201,0.1252,-0.3747,-0.3747
52.50,36.2650,-0.1906,0.5000,375.9344,-0.0000,-313.1794,-644.1963,  62,457.5910,80.0400,0.1298,-0.3575,-0.3575
54.50,35.8730,-0.1992,0.5000,378.5777,-0.0000,-313.6913,-631.3040,  56,465.2828,83.5299,0.1353,-0.3396,-0.3396
56.50,35.4648,-0.2069,0.5000,380.6618,-0.0000,-314.3586,-617.7473,  51,473.7355,87.3421,0.1420,-0.3202,-0.3202
58.50,35.0421,-0.2139,0.5000,382.2513,-0.0000,-315.0181,-606.4524,  46,481.1260,90.6436,0.1486,-0.3035,-0.3035
60.50,34.6063,-0.2202,0.5000,383.4032,-0.0000,-315.4549,-599.7540,  43,485.6870,92.6619,0.1530,-0.2933,-0.2933
62.50,34.1589,-0.2258,0.5000,384.1671,-0.0000,-316.3655,-587.2355,  39,494.6389,96.5718,0.1624,-0.2737,-0.2737
64.50,33.7010,-0.2308,0.5000,384.5870,-0.0000,-316.8334,-581.3998,  36,499.0368,98.4641,0.1675,-0.2643,-0.2643
66.50,33.2337,-0.2352,0.5000,384.7015,-0.0000,-317.7814,-570.5396,  32,507.6915,102.1264,0.1783,-0.2461,-0.2461
68.50,32.7582,-0.2392,0.5000,384.5449,-0.0000,-318.2570,-565.5018,  30,511.9532,103.8974,0.1840,-0.2374,-0.2374
70.50,32.2754,-0.2427,0.5000,384.1474,-0.0000,-318.8774,-559.2802,  28,517.4786,106.1596,0.1920,-0.2262,-0.2262
72.50,31.7862,-0.2457,0.5000,383.5360,-0.0000,-319.5143,-553.2621,  26,523.1493,108.4399,0.2007,-0.2151,-0.2151
74.50,31.2914,-0.2484,0.5000,382.7345,-0.0000,-320.3175,-546.1461,  23,530.3653,111.2786,0.2126,-0.2012,-0.2012
76.50,30.7918,-0.2506,0.5000,381.7643,-0.0000,-321.0646,-539.9530,  21,537.2157,113.9062,0.2249,-0.1885,-0.1885
78.50,30.2882,-0.2525,0.5000,380.6443,-0.0000,-321.5453,-536.1677,  20,541.7324,115.6021,0.2335,-0.1803,-0.1803
80.50,29.7811,-0.2541,0.5000,379.3916,-0.0000,-322.2640,-530.7790,  18,548.7116,118.1648,0.2478,-0.1681,-0.1681
82.50,29.2713,-0.2554,0.5000,378.0214,-0.0000,-322.9387,-525.9972,  16,555.6014,120.6255,0.2630,-0.1563,-0.1563
84.50,28.7592,-0.2564,0.5000,376.5473,-0.0000,-323.2582,-523.8217,  15,559.0140,121.8188,0.2710,-0.1507,-0.1507
86.50,28.2455,-0.2571,0.5000,374.9816,-0.0000,-323.7382,-520.6541,  14,564.3767,123.6601,0.2842,-0.1419,-0.1419
88.50,27.7306,-0.2576,0.5000,373.3353,-0.0000,-324.1849,-517.8097,  13,569.6883,125.4431,0.2980,-0.1335,-0.1335
90.50,27.2149,-0.2580,0.5000,371.6182,-0.0000,-324.5970,-515.2668,  12,574.9501,127.1696,0.3126,-0.1254,-0.1254
92.50,26.6988,-0.2581,0.5000,369.8393,-0.0000,-325.3135,-511.0017,  10,585.3295,130.4605,0.3438,-0.1099,-0.1099
94.50,26.1826,-0.2581,0.5000,368.0066,-0.0000,-325.6165,-509.2350,   9,590.4494,132.0283,0.3605,-0.1025,-0.1025
96.50,25.6667,-0.2579,0.5000,366.1273,-0.0000,-325.8824,-507.6826,   9,595.5240,133.5465,0.3781,-0.0954,-0.0954
98.50,25.1512,-0.2576,0.5000,364.2081,-0.0000,-326.1111,-506.3226,   8,600.5547,135.0167,0.3965,-0.0884,-0.0884
100.50,24.6363,-0.2573,0.5000,362.2548,-0.0000,-326.2403,-505.5290,   8,603.8119,135.9502,0.4089,-0.0839,-0.0839
102.50,24.1223,-0.2569,0.5000,360.2728,-0.0000,-326.3538,-504.8020,   7,607.0514,136.8642,0.4217,-0.0795,-0.0795
104.50,23.6091,-0.2564,0.5000,358.2669,-0.0000,-326.5347,-503.5244,   7,613.4787,138.6354,0.4485,-0.0709,-0.0709
106.50,23.0970,-0.2559,0.5000,356.2415,-0.0000,-326.6553,-502.4442,   6,619.8397,140.3330,0.4769,-0.0624,-0.0624
108.50,22.5858,-0.2554,0.5000,354.2006,-0.0000,-326.6936,-501.9645,   6,622.9964,141.1549,0.4917,-0.0583,-0.0583
110.50,22.0755,-0.2549,0.5000,352.1478,-0.0000,-326.7277,-501.0997,   5,629.2647,142.7466,0.5227,-0.0501,-0.0501
112.50,21.5662,-0.2545,0.5000,350.0862,-0.0000,-326.7241,-500.7046,   5,632.3773,143.5168,0.5389,-0.0461,-0.0461
114.50,21.0577,-0.2541,0.5000,348.0188,-0.0000,-326.6881,-500.0750,   5,637.6190,144.7834,0.5674,-0.0392,-0.0392
116.50,20.5500,-0.2538,0.5000,345.9484,-0.0000,-326.6176,-499.4875,   4,642.7273,145.9805,0.5968,-0.0326,-0.0326
118.50,20.0428,-0.2535,0.5000,343.8772,-0.0000,-326.5291,-498.9833,   4,647.1638,146.9899,0.6237,-0.0268,-0.0268
120.50,19.5360,-0.2533,0.5000,341.8075,-0.0000,-326.3980,-498.3977,   4,652.2340,148.1085,0.6561,-0.0202,-0.0202
122.50,19.0294,-0.2533,0.5000,339.7412,-0.0000,-326.2376,-497.7889,   3,657.2767,149.1833,0.6901,-0.0135,-0.0135
124.50,18.5228,-0.2533,0.5000,337.6802,-0.0000,-326.0500,-497.1405,   3,662.2948,150.2148,0.7259,-0.0068,-0.0068
