Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,20.0008,40.3848,-87.9759,1.8766,-23.7955,-75.1398,-0.4090
751,20.0008,40.3847,-87.9759,1.8766,-23.7956,-75.1398,-0.4090
752,20.0007,40.3848,-87.9759,1.8766,-23.7955,-75.1398,-0.4090
753,20.0007,40.3846,-87.9759,1.8764,-23.7956,-75.1398,-0.4090
754,20.0006,40.3847,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
755,20.0006,40.3849,-87.9759,1.8767,-23.7955,-75.1398,-0.4090
756,20.0005,40.3848,-87.9759,1.8766,-23.7955,-75.1398,-0.4090
757,20.0005,40.3849,-87.9759,1.8767,-23.7955,-75.1398,-0.4090
758,20.0005,40.3848,-87.9759,1.8766,-23.7955,-75.1398,-0.4090
759,20.0004,40.3852,-87.9759,1.8769,-23.7954,-75.1398,-0.4089
760,20.0004,40.3849,-87.9759,1.8767,-23.7955,-75.1398,-0.4090
761,20.0003,40.3848,-87.9759,1.8766,-23.7955,-75.1398,-0.4090
762,20.0003,40.3849,-87.9759,1.8767,-23.7955,-75.1398,-0.4090
763,20.0002,40.3848,-87.9759,1.8766,-23.7955,-75.1398,-0.4090
764,20.0002,40.3849,-87.9759,1.8767,-23.7955,-75.1398,-0.4090
765,20.0001,40.3851,-87.9759,1.8768,-23.7954,-75.1398,-0.4090
766,20.0001,40.3849,-87.9759,1.8767,-23.7955,-75.1398,-0.4090
767,20.0001,40.3848,-87.9759,1.8766,-23.7955,-75.1398,-0.4090
768,20.0000,40.3850,-87.9759,1.8768,-23.7954,-75.1398,-0.4090
769,20.0050,40.3845,-87.9759,1.8764,-23.7957,-75.1398,-0.4090
770,20.0049,40.3846,-87.9759,1.8764,-23.7956,-75.1398,-0.4090
771,20.0049,40.3846,-87.9759,1.8764,-23.7956,-75.1398,-0.4090
772,20.0048,40.3845,-87.9759,1.8764,-23.7957,-75.1398,-0.4090
773,20.0048,40.3843,-87.9759,1.8763,-23.7958,-75.1398,-0.4090
774,20.0047,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
775,20.0047,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
776,20.0046,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
777,20.0046,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
778,20.0046,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
779,20.0045,40.3847,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
780,20.0045,40.3845,-87.9759,1.8764,-23.7957,-75.1398,-0.4090
781,20.0044,40.3846,-87.9759,1.8764,-23.7956,-75.1398,-0.4090
782,20.0044,40.3845,-87.9759,1.8764,-23.7957,-75.1398,-0.4090
783,20.0043,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
784,20.0043,40.3847,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
785,20.0042,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
786,20.0042,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
787,20.0042,40.3845,-87.9759,1.8764,-23.7957,-75.1398,-0.4090
788,20.0041,40.3846,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
789,20.0041,40.3847,-87.9759,1.8765,-23.7956,-75.1398,-0.4090
