Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.01,-87.9822,-0.0000,0.0050,73.2607,-1.9543,-0.0937,-0.0002,  -0,-0.0001,-0.0019,-2.9041,-0.0030,0.0000
2.00,-87.9822,-0.0000,0.0050,73.2609,-1.9543,-0.0937,-0.0002,  -0,-0.0001,-0.0019,-2.9036,-0.0030,0.0000
4.00,-87.9822,-0.0000,0.0050,73.2612,-1.9544,-0.0937,-0.0002,  -0,-0.0001,-0.0019,-2.9031,-0.0030,0.0000
6.00,-87.9822,-0.0000,0.0050,73.2614,-1.9544,-0.0937,-0.0002,  -0,-0.0001,-0.0019,-2.9026,-0.0030,0.0000
8.00,-87.9822,-0.0000,0.0050,73.2617,-1.9544,-0.0937,-0.0002,  -0,-0.0001,-0.0019,-2.9021,-0.0030,0.0000
10.01,-87.5824,79.9467,0.0050,73.2620,-1.9794,-0.0944,-0.0002,   0,0.0031,-0.0018,111.0425,0.1110,0.1110
12.01,28.3030,8.1269,0.0050,73.2724,-6562.2642,-156.8162,-1983.7170, 251,8.1973,0.3038,0.2512,-1.8807,-1.8807
14.01,36.4354,1.7441,0.0050,74.3782,-1061.2764,-126.9069,-1820.7693, 634,88.7058,1.4715,0.1145,-1.2236,-1.2236
16.01,38.3897,0.5028,0.0050,79.0429,-271.9639,-118.0223,-1452.9231, 633,168.1128,2.9149,0.0947,-0.7673,-0.7673
18.01,38.9920,0.1629,0.0050,87.7193,-92.0686,-114.5375,-1231.7444, 538,222.2505,4.4938,0.0893,-0.5812,-0.5812
20.01,39.1794,0.0438,0.0050,99.3681,-34.8719,-112.7167,-1095.7624, 443,258.8162,6.1636,0.0877,-0.5002,-0.5002
22.00,39.2127,-0.0037,0.0050,112.5482,-13.6452,-111.5364,-1010.9243, 366,285.4097,7.8967,0.0875,-0.4629,-0.4629
24.00,39.1799,-0.0270,0.0050,126.0466,-5.3741,-110.6470,-954.6223, 307,306.3973,9.6736,0.0877,-0.4422,-0.4422
26.00,39.1091,-0.0434,0.0050,139.0790,-1.7662,-109.7963,-906.4622, 254,327.1804,11.8346,0.0885,-0.4233,-0.4233
28.00,39.0067,-0.0590,0.0050,151.2301,-0.7559,-109.2605,-877.0628, 223,341.0048,13.5013,0.0893,-0.4089,-0.4089
30.00,38.8727,-0.0751,0.0050,162.3269,-0.3235,-108.8086,-851.3182, 198,353.5992,15.1798,0.0904,-0.3936,-0.3936
