Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0,-88.0503,-0.0000,0.5000,72.9202,-1.9531,-0.1031,-0.0002,0.0000,0.0003,-0.0038,0.5792,0.0005,0.0000
2,-88.0503,-0.0000,0.5000,72.9197,-1.9531,-0.1031,-0.0002,0.0000,0.0003,-0.0038,0.5791,0.0005,0.0000
4,-88.0503,-0.0000,0.5000,72.9193,-1.9531,-0.1031,-0.0002,0.0000,0.0003,-0.0038,0.5791,0.0005,0.0000
6,-88.0503,-0.0000,0.5000,72.9189,-1.9531,-0.1031,-0.0002,0.0000,0.0003,-0.0038,0.5792,0.0005,0.0000
8,-88.0503,-0.0000,0.5000,72.9185,-1.9531,-0.1031,-0.0002,0.0000,0.0003,-0.0038,0.5792,0.0005,0.0000
10,-48.4376,79.2254,0.5000,72.9176,-1245.9993,-16.3915,-0.0826,1.2830,7.4604,0.0120,306.7239,0.2990,0.2990
12,32.0846,6.8635,0.5000,73.0316,-3994.3560,-160.2698,-2167.1715,407.3235,7.8097,1.1287,0.1920,-1.9110,-1.9110
14,37.9143,1.6155,0.5000,75.8800,-743.2685,-134.5783,-1651.4124,647.2021,9.7527,3.7234,0.1099,-1.1252,-1.1252
16,39.5772,0.5414,0.5000,84.4991,-207.2452,-126.8864,-1270.7518,602.1902,12.6348,6.7708,0.0939,-0.7759,-0.7759
18,40.2305,0.2400,0.5000,98.4958,-72.5177,-123.4104,-1051.8048,503.9570,15.3135,10.0219,0.0883,-0.6458,-0.6458
20,40.5744,0.1447,0.5000,115.7830,-26.7439,-121.1646,-927.3197,412.5383,17.6359,13.5000,0.0854,-0.6047,-0.6047
22,40.8227,0.1161,0.5000,134.1295,-9.9924,-119.3725,-856.2719,340.4385,19.5307,17.1001,0.0833,-0.5985,-0.5985
24,41.0409,0.1057,0.5000,152.0026,-3.3499,-117.6030,-805.2318,280.6923,21.1764,21.1778,0.0813,-0.5997,-0.5997
26,41.2411,0.0965,0.5000,168.6089,-1.1976,-116.0761,-767.9374,238.9657,22.3612,25.0575,0.0797,-0.5975,-0.5975
28,41.4192,0.0842,0.5000,183.6398,-0.5699,-115.0505,-743.8992,215.1026,23.0423,27.8769,0.0787,-0.5928,-0.5928
30,41.5689,0.0689,0.5000,197.0467,-0.1859,-113.6318,-710.3819,186.2691,23.8531,32.1383,0.0774,-0.5817,-0.5817
32,41.6857,0.0519,0.5000,208.9045,-0.0613,-112.3581,-679.1560,163.4612,24.4701,36.4255,0.0765,-0.5671,-0.5671
34,41.7673,0.0341,0.5000,219.3401,-0.0299,-111.5878,-659.4828,150.6917,24.8007,39.2909,0.0760,-0.5562,-0.5562
36,41.8136,0.0166,0.5000,228.4945,-0.0115,-110.7174,-636.3447,136.9296,25.1428,42.8393,0.0757,-0.5421,-0.5421
38,41.8253,-0.0003,0.5000,236.5070,-0.0027,-109.7916,-610.4620,122.8248,25.4786,47.0618,0.0757,-0.5248,-0.5248
40,41.8046,-0.0162,0.5000,243.5067,-0.0005,-109.1411,-591.3687,113.1334,25.7028,50.3630,0.0758,-0.5112,-0.5112
42,41.7534,-0.0311,0.5000,249.6103,-0.0004,-108.4429,-569.8874,102.8141,25.9398,54.2881,0.0763,-0.4952,-0.4952
44,41.6740,-0.0447,0.5000,254.9214,-0.0002,-107.8872,-551.9557,94.6019,26.1314,57.7510,0.0768,-0.4813,-0.4813
46,41.5686,-0.0573,0.5000,259.5312,-0.0001,-107.2669,-530.9683,85.3938,26.3557,62.0382,0.0778,-0.4644,-0.4644
48,41.4395,-0.0688,0.5000,263.5199,-0.0000,-106.8798,-517.2920,79.5999,26.5059,64.9808,0.0786,-0.4530,-0.4530
50,41.2888,-0.0792,0.5000,266.9577,-0.0000,-106.3559,-498.0364,71.6945,26.7283,69.3417,0.0801,-0.4365,-0.4365
52,41.1184,-0.0887,0.5000,269.9062,-0.0000,-105.8671,-479.2865,64.2592,26.9636,73.8594,0.0819,-0.4200,-0.4200
54,40.9300,-0.0974,0.5000,272.4192,-0.0000,-105.6434,-470.4659,60.8461,27.0829,76.0877,0.0829,-0.4120,-0.4120
56,40.7254,-0.1052,0.5000,274.5440,-0.0000,-105.2311,-453.8742,54.5632,27.3266,80.4804,0.0852,-0.3966,-0.3966
58,40.5060,-0.1123,0.5000,276.3224,-0.0000,-105.0402,-446.0830,51.6725,27.4515,82.6437,0.0864,-0.3893,-0.3893
60,40.2732,-0.1187,0.5000,277.7912,-0.0000,-104.5929,-427.7393,45.0053,27.7782,88.0355,0.0897,-0.3714,-0.3714
62,40.0284,-0.1245,0.5000,278.9827,-0.0000,-104.3430,-417.5876,41.3905,27.9833,91.2316,0.0920,-0.3612,-0.3612
64,39.7729,-0.1297,0.5000,279.9257,-0.0000,-104.1054,-408.1394,38.0664,28.1936,94.3727,0.0943,-0.3515,-0.3515
