Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
751,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
752,39.0000,41.6351,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
753,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
754,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
755,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
756,39.0000,41.6351,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
757,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
758,39.0000,41.6351,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
759,39.0000,41.6351,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
760,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
761,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
762,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
763,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
764,39.0000,41.6353,-88.0484,2.7302,-23.2065,-75.0800,-0.1243
765,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
766,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
767,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
768,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
769,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
770,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
771,39.0000,41.6351,-88.0484,2.7300,-23.2067,-75.0801,-0.1243
772,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
773,39.0000,41.6350,-88.0484,2.7300,-23.2067,-75.0801,-0.1243
774,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
775,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
776,39.0000,41.6352,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
777,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
778,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
779,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
780,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
781,39.0000,41.6351,-88.0484,2.7300,-23.2067,-75.0801,-0.1243
782,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
783,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
784,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
785,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
786,39.0000,41.6353,-88.0484,2.7302,-23.2065,-75.0800,-0.1243
787,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
788,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
789,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
790,39.0000,41.6355,-88.0484,2.7303,-23.2065,-75.0800,-0.1242
791,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
792,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
793,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
794,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
795,39.0000,41.6351,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
796,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
797,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1242
798,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
799,39.0000,41.6351,-88.0484,2.7300,-23.2067,-75.0801,-0.1243
800,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
801,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
802,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
803,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
804,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
805,39.0000,41.6351,-88.0484,2.7300,-23.2067,-75.0801,-0.1243
806,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
807,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
808,39.0000,41.6353,-88.0484,2.7302,-23.2065,-75.0800,-0.1243
809,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
810,39.0000,41.6353,-88.0484,2.7302,-23.2065,-75.0800,-0.1243
811,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
812,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0800,-0.1243
813,39.0000,41.6354,-88.0484,2.7302,-23.2065,-75.0800,-0.1243
814,39.0000,41.6353,-88.0484,2.7302,-23.2065,-75.0800,-0.1243
815,39.0000,41.6351,-88.0484,2.7300,-23.2067,-75.0801,-0.1243
816,39.0000,41.6354,-88.0484,2.7302,-23.2065,-75.0800,-0.1243
817,39.0000,41.6353,-88.0484,2.7302,-23.2066,-75.0800,-0.1243
818,39.0000,41.6352,-88.0484,2.7301,-23.2066,-75.0801,-0.1243
