Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-87.6886,-0.0002,0.5000,88.4830,-1.9611,-0.0696,-0.0004,  -0,-0.0378,-0.0089,-25.7204,-0.0258,0.0000
2.50,-87.6889,-0.0002,0.5000,88.3453,-1.9609,-0.0698,-0.0004,  -0,-0.0379,-0.0089,-25.8486,-0.0260,0.0000
4.50,-87.6893,-0.0002,0.5000,88.2092,-1.9608,-0.0699,-0.0004,  -0,-0.0380,-0.0089,-25.9753,-0.0261,0.0000
6.50,-87.6896,-0.0002,0.5000,88.0746,-1.9607,-0.0700,-0.0004,  -0,-0.0381,-0.0089,-26.1003,-0.0262,0.0000
8.50,-87.6899,-0.0002,0.5000,87.9414,-1.9606,-0.0702,-0.0004,  -0,-0.0382,-0.0089,-26.2238,-0.0263,0.0000
10.50,-48.2157,78.9489,0.5000,87.8089,-1182.0393,-10.7029,-0.1924,   4,28.6244,0.0278,385.7483,0.4076,0.4076
12.50,30.3023,8.8652,0.5000,89.1167,-3763.8684,-88.3024,-5176.0600,1200,28.2442,2.2874,0.2902,-4.0331,-4.0331
14.50,31.4023,-4.6351,0.5000,212.3570,-1055.6696,-84.2209,3525.1462,1922,29.8425,7.3829,0.2712,5.4009,5.4009
16.50,28.3564,1.6269,0.5000,561.4769,-421.7337,-89.2152,-3437.7054,1569,33.0420,11.4743,0.3609,-1.9130,-1.9130
18.50,32.9305,2.0125,0.5000,702.8787,-149.3989,-79.9984,-3482.6578,1341,31.0889,16.8043,0.2299,-2.1735,-2.1735
20.50,35.9785,1.2790,0.5000,785.3933,-54.4055,-73.7292,-2940.7321,1145,30.4744,23.0124,0.1703,-1.8159,-1.8159
22.50,37.9829,0.8658,0.5000,843.3812,-21.6930,-69.7819,-2586.7440, 977,30.6301,29.2843,0.1418,-1.6198,-1.6198
24.50,39.3929,0.6230,0.5000,886.2295,-7.1975,-66.3535,-2280.7020, 803,31.1895,37.3154,0.1216,-1.4758,-1.4758
26.50,40.4313,0.4644,0.5000,918.3788,-2.9807,-64.2613,-2094.4915, 689,31.7163,44.0135,0.1112,-1.3942,-1.3942
28.50,41.2131,0.3510,0.5000,942.4475,-1.1509,-62.4506,-1932.7315, 589,32.2612,51.4171,0.1033,-1.3228,-1.3228
30.50,41.8036,0.2645,0.5000,960.1800,-0.4009,-60.8376,-1786.6263, 500,32.7937,59.8018,0.0972,-1.2548,-1.2548
32.50,42.2446,0.1959,0.5000,972.8291,-0.1667,-59.7137,-1682.2734, 439,33.1801,67.0668,0.0935,-1.2026,-1.2026
34.50,42.5651,0.1402,0.5000,981.3394,-0.0559,-58.6416,-1578.9711, 381,33.5573,75.5734,0.0904,-1.1470,-1.1470
36.50,42.7870,0.0945,0.5000,986.4470,-0.0237,-57.8890,-1502.7787, 341,33.8299,82.8505,0.0887,-1.1030,-1.1030
38.50,42.9270,0.0563,0.5000,988.7390,-0.0035,-57.2627,-1435.6533, 307,34.0685,90.0830,0.0876,-1.0618,-1.0618
40.50,42.9986,0.0242,0.5000,988.6915,-0.0048,-56.6637,-1366.5454, 273,34.3183,98.4327,0.0870,-1.0169,-1.0169
42.50,43.0123,-0.0029,0.5000,986.6953,-0.0010,-56.2444,-1313.7682, 249,34.5185,105.4913,0.0869,-0.9808,-0.9808
44.50,42.9771,-0.0260,0.5000,983.0747,-0.0006,-55.8457,-1258.3301, 225,34.7453,113.5903,0.0872,-0.9412,-0.9412
46.50,42.9000,-0.0457,0.5000,978.0998,-0.0002,-55.5691,-1215.2108, 206,34.9400,120.4014,0.0879,-0.9091,-0.9091
48.50,42.7870,-0.0627,0.5000,971.9978,-0.0001,-55.2821,-1163.8738, 185,35.2014,129.1173,0.0891,-0.8694,-0.8694
50.50,42.6429,-0.0774,0.5000,964.9598,-0.0000,-55.1224,-1130.5138, 172,35.3934,135.1424,0.0903,-0.8428,-0.8428
52.50,42.4718,-0.0902,0.5000,957.1478,-0.0000,-54.9746,-1094.3846, 158,35.6259,141.9920,0.0918,-0.8132,-0.8132
54.50,42.2770,-0.1015,0.5000,948.6993,-0.0000,-54.8618,-1060.7586, 146,35.8693,148.6695,0.0936,-0.7850,-0.7850
56.50,42.0614,-0.1114,0.5000,939.7310,-0.0000,-54.7787,-1029.3310, 135,36.1241,155.1722,0.0956,-0.7580,-0.7580
58.50,41.8273,-0.1203,0.5000,930.3422,-0.0000,-54.7211,-999.8495, 125,36.3905,161.4983,0.0979,-0.7321,-0.7321
60.50,41.5768,-0.1282,0.5000,920.6179,-0.0000,-54.6748,-959.3154, 111,36.8064,170.5446,0.1016,-0.6956,-0.6956
62.50,41.3114,-0.1353,0.5000,910.6305,-0.0000,-54.6657,-934.2922, 103,37.0955,176.3243,0.1043,-0.6725,-0.6725
64.50,41.0327,-0.1417,0.5000,900.4418,-0.0000,-54.6711,-910.5759,  95,37.3951,181.9352,0.1072,-0.6503,-0.6503
66.50,40.7419,-0.1475,0.5000,890.1046,-0.0000,-54.6889,-888.0480,  89,37.7049,187.3788,0.1103,-0.6289,-0.6289
68.50,40.4401,-0.1529,0.5000,879.6640,-0.0000,-54.7175,-866.6158,  82,38.0246,192.6573,0.1136,-0.6082,-0.6082
70.50,40.1282,-0.1577,0.5000,869.1589,-0.0000,-54.7554,-846.1963,  76,38.3536,197.7731,0.1171,-0.5883,-0.5883
72.50,39.8072,-0.1622,0.5000,858.6224,-0.0000,-54.8013,-826.7147,  71,38.6917,202.7289,0.1208,-0.5689,-0.5689
74.50,39.4776,-0.1663,0.5000,848.0827,-0.0000,-54.8540,-808.1044,  66,39.0385,207.5273,0.1248,-0.5502,-0.5502
76.50,39.1402,-0.1701,0.5000,837.5636,-0.0000,-54.9125,-790.3073,  61,39.3937,212.1716,0.1289,-0.5321,-0.5321
78.50,38.7956,-0.1736,0.5000,827.0856,0.0000,-54.9769,-773.0127,  57,39.7626,216.7333,0.1334,-0.5143,-0.5143
80.50,38.4444,-0.1768,0.5000,816.6662,-0.0000,-55.0454,-756.4526,  53,40.1395,221.1426,0.1380,-0.4971,-0.4971
