Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
1,-88.0608,-0.0000,0.5000,72.5910,-1.6146,-0.0649,-0.0002,0.0001,0.0014,-0.0037,2.5855
3,-88.0608,-0.0000,0.5000,72.5908,-1.6146,-0.0649,-0.0002,0.0001,0.0014,-0.0037,2.5856
5,-88.0608,-0.0000,0.5000,72.5906,-1.6146,-0.0649,-0.0002,0.0001,0.0014,-0.0037,2.5857
7,-88.0608,-0.0000,0.5000,72.5904,-1.6146,-0.0649,-0.0002,0.0001,0.0014,-0.0036,2.5858
9,-88.0608,-0.0000,0.5000,72.5903,-1.6146,-0.0649,-0.0002,0.0001,0.0014,-0.0036,2.5860
11,-48.4628,79.1958,0.5000,72.5896,-1030.1479,-10.3204,-0.0706,1.2116,8.4732,0.0116,307.4537
13,27.2478,7.0825,0.5000,72.6675,-4050.2815,-111.5726,-2317.0691,307.1612,9.3515,0.8623,0.3062
15,34.0357,2.0690,0.5000,75.2408,-782.2120,-92.6736,-1828.8094,544.2135,10.6830,2.9524,0.1592
17,36.4100,0.8460,0.5000,83.5611,-213.6744,-86.2551,-1389.7333,526.3277,13.4904,5.5306,0.1269
19,37.5496,0.4517,0.5000,97.3991,-79.4487,-83.3017,-1149.0461,454.7072,16.2294,8.1349,0.1147
21,38.2371,0.2951,0.5000,114.6955,-28.8842,-81.1492,-990.5781,375.8703,19.0731,11.2265,0.1070
23,38.7303,0.2237,0.5000,133.1657,-10.6614,-79.4984,-895.5586,311.4067,21.5874,14.4910,0.1018
25,39.1246,0.1833,0.5000,151.2128,-3.9452,-78.1154,-832.0890,261.9568,23.7134,17.8535,0.0979
27,39.4522,0.1528,0.5000,168.0015,-1.7702,-77.1342,-792.3274,230.8373,25.1563,20.6060,0.0953
29,39.7232,0.1253,0.5000,183.2026,-0.6657,-76.0364,-750.1237,199.8846,26.6692,24.1017,0.0927
31,39.9410,0.0991,0.5000,196.7596,-0.2380,-75.0649,-713.1699,175.4083,27.9061,27.6447,0.0907
33,40.1077,0.0740,0.5000,208.7461,-0.0950,-74.2064,-679.9476,155.5873,28.9156,31.2214,0.0893
35,40.2254,0.0502,0.5000,219.2893,-0.0415,-73.5939,-655.5660,142.2192,29.5897,34.0982,0.0884
37,40.2977,0.0278,0.5000,228.5325,-0.0147,-72.9523,-629.1753,128.7367,30.2552,37.4682,0.0878
39,40.3279,0.0076,0.5000,236.6171,-0.0056,-72.3495,-603.3568,116.3781,30.8478,41.0485,0.0876
41,40.3196,-0.0110,0.5000,243.6744,-0.0019,-71.7959,-578.5530,105.1551,31.3701,44.7775,0.0877
43,40.2761,-0.0279,0.5000,249.8230,-0.0009,-71.4196,-560.9830,97.5335,31.7176,47.6063,0.0880
45,40.2009,-0.0432,0.5000,255.1685,-0.0003,-70.9102,-536.1282,87.1541,32.1867,51.8981,0.0889
