Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
0.50,9.1095,-0.2548,0.5000,274.5861,0.0000,-1.2072,-293.4439,0.1891,65.9303,361.1734,2.3800
2.50,8.5980,-0.2563,0.5000,273.7355,-0.0000,-1.2117,-286.7582,0.1943,66.3716,360.1394,2.4846
4.50,8.0836,-0.2578,0.5000,272.8823,-0.0000,-1.2162,-280.0532,0.2000,66.8123,359.0645,2.5943
6.50,7.5661,-0.2593,0.5000,272.0259,-0.0000,-1.2207,-273.3249,0.2064,67.2523,357.9481,2.7095
8.50,7.0455,-0.2610,0.5000,271.1658,0.0000,-1.2251,-266.5696,0.2135,67.6916,356.7896,2.8303
10.50,46.2796,79.2537,0.5000,270.3507,-0.0000,-0.5264,-66.6398,0.3629,28.3268,524.8634,0.0634
12.50,43.7371,-1.2454,0.5000,269.9113,-0.0000,-0.5698,-76.5829,0.5040,30.5862,518.5616,0.0816
14.50,41.3281,-1.1806,0.5000,269.3922,-0.0000,-0.6104,-84.1645,0.4355,32.8005,512.1444,0.1038
16.50,39.0430,-1.1202,0.5000,268.7833,-0.0000,-0.6499,-91.8367,0.3461,35.0633,505.4297,0.1315
18.50,36.8739,-1.0637,0.5000,268.0834,-0.0000,-0.6869,-99.3024,0.2739,37.2779,498.7581,0.1647
20.50,34.8130,-1.0109,0.5000,267.2975,-0.0000,-0.7195,-106.0862,0.2229,39.3129,492.5683,0.2014
22.50,32.8533,-0.9616,0.5000,266.4335,-0.0000,-0.7445,-111.3662,0.1911,40.9206,487.6476,0.2354
24.50,30.9881,-0.9156,0.5000,265.5014,0.0000,-0.7730,-117.4136,0.1614,42.7997,481.8665,0.2814
26.50,29.2111,-0.8726,0.5000,264.5120,-0.0000,-0.8018,-123.5212,0.1372,44.7580,475.8091,0.3380
28.50,27.5164,-0.8325,0.5000,263.4761,-0.0000,-0.8288,-129.1385,0.1190,46.6411,469.9514,0.4021
30.50,25.8986,-0.7951,0.5000,262.4044,0.0000,-0.8526,-133.8938,0.1061,48.3298,464.6668,0.4691
32.50,24.3525,-0.7602,0.5000,261.3070,0.0000,-0.8842,-139.7563,0.0931,50.6100,457.4738,0.5765
34.50,22.8730,-0.7278,0.5000,260.1933,0.0000,-0.8956,-141.7136,0.0895,51.4486,454.8091,0.6216
36.50,21.4555,-0.6976,0.5000,259.0716,-0.0000,-0.9176,-145.1367,0.0840,53.0723,449.6135,0.7190
38.50,20.0956,-0.6696,0.5000,257.9497,0.0000,-0.9385,-147.8883,0.0807,54.6268,444.5882,0.8264
40.50,18.7891,-0.6437,0.5000,256.8341,-0.0000,-0.9583,-149.9596,0.0794,56.1145,439.7226,0.9440
42.50,17.5320,-0.6197,0.5000,255.7305,0.0000,-0.9772,-151.3536,0.0799,57.5381,435.0050,1.0725
44.50,16.3207,-0.5975,0.5000,254.6436,-0.0000,-0.9952,-152.0837,0.0820,58.9006,430.4234,1.2124
46.50,15.1516,-0.5770,0.5000,253.5770,0.0000,-1.0123,-152.1717,0.0857,60.2049,425.9655,1.3641
48.50,14.0215,-0.5581,0.5000,252.5337,0.0000,-1.0206,-151.9833,0.0885,60.8362,423.7790,1.4447
50.50,12.9274,-0.5407,0.5000,251.5156,0.0000,-1.0372,-151.1186,0.0964,62.1037,419.3242,1.6220
52.50,11.8663,-0.5246,0.5000,250.5240,0.0000,-1.0497,-150.0129,0.1037,63.0586,415.9041,1.7711
54.50,10.8356,-0.5099,0.5000,249.5592,-0.0000,-1.0647,-148.1208,0.1144,64.2120,411.6881,1.9715
56.50,9.8328,-0.4964,0.5000,248.6211,-0.0000,-1.0790,-145.7114,0.1266,65.3120,407.5685,2.1860
58.50,8.8556,-0.4841,0.5000,247.7090,-0.0000,-1.0970,-141.7775,0.1452,66.6951,402.2285,2.4939
60.50,7.9017,-0.4728,0.5000,246.8215,-0.0000,-1.1052,-139.6053,0.1553,67.3314,399.7034,2.6519
62.50,6.9691,-0.4625,0.5000,245.9571,-0.0000,-1.1210,-134.7240,0.1775,68.5575,394.6961,2.9899
64.50,6.0558,-0.4532,0.5000,245.1137,-0.0000,-1.1286,-132.0236,0.1898,69.1485,392.2085,3.1706
66.50,5.1599,-0.4449,0.5000,244.2888,-0.0000,-1.1361,-129.1560,0.2029,69.7255,389.7278,3.3596
68.50,4.2797,-0.4373,0.5000,243.4800,-0.0000,-1.1503,-122.9364,0.2317,70.8395,384.7765,3.7639
70.50,3.4135,-0.4306,0.5000,242.6844,-0.0000,-1.1572,-119.5945,0.2474,71.3775,382.3007,3.9801
72.50,2.5597,-0.4247,0.5000,241.8991,-0.0000,-1.1705,-112.4791,0.2815,72.4175,377.3359,4.4428
74.50,1.7169,-0.4195,0.5000,241.1210,-0.0000,-1.1769,-108.7228,0.3001,72.9202,374.8421,4.6904
76.50,0.8836,-0.4150,0.5000,240.3471,0.0000,-1.1893,-100.8705,0.3403,73.8928,369.8201,5.2207
78.50,0.0586,-0.4111,0.5000,239.5740,0.0000,-1.1953,-96.8042,0.3621,74.3633,367.2877,5.5047
80.50,-0.7591,-0.4077,0.5000,238.7987,-0.0000,-1.2069,-88.4847,0.4093,75.2735,362.1701,6.1137
82.50,-1.5707,-0.4047,0.5000,238.0179,-0.0000,-1.2125,-84.2760,0.4348,75.7136,359.5816,6.4401
84.50,-2.3768,-0.4021,0.5000,237.2286,-0.0000,-1.2196,-78.7756,0.4702,76.2743,356.1626,6.8907
86.50,-3.1781,-0.3998,0.5000,236.4279,-0.0000,-1.2273,-72.7426,0.5124,76.8774,352.3190,7.4244
88.50,-3.9749,-0.3976,0.5000,235.6128,-0.0000,-1.2356,-66.1413,0.5639,77.5323,347.9238,8.0711
90.50,-4.7675,-0.3955,0.5000,234.7808,-0.0000,-1.2419,-61.2262,0.6070,78.0235,344.4568,8.6094
92.50,-5.5559,-0.3934,0.5000,233.9296,-0.0000,-1.2480,-56.5650,0.6529,78.4982,340.9488,9.1802
94.50,-6.3398,-0.3911,0.5000,233.0571,-0.0000,-1.2567,-50.1522,0.7275,79.1789,335.6112,10.1008
96.50,-7.1190,-0.3886,0.5000,232.1616,-0.0000,-1.2623,-46.3194,0.7813,79.6112,332.0040,10.7597
98.50,-7.8929,-0.3859,0.5000,231.2420,-0.0001,-1.2677,-42.8749,0.8385,80.0260,328.3598,11.4563
100.50,-8.6611,-0.3830,0.5000,230.2975,-0.0001,-1.2740,-39.2043,0.9136,80.5109,323.8355,12.3660
102.50,-9.4229,-0.3796,0.5000,229.3277,-0.0001,-1.2790,-36.6958,0.9787,80.8841,320.1288,13.1493
104.50,-10.1777,-0.3760,0.5000,228.3329,-0.0001,-1.2853,-33.9975,1.0724,81.3573,315.0942,14.2697
106.50,-10.9246,-0.3719,0.5000,227.3137,-0.0001,-1.2894,-32.6094,1.1405,81.6603,311.6377,15.0778
108.50,-11.6630,-0.3675,0.5000,226.2715,-0.0002,-1.2943,-31.3904,1.2306,82.0168,307.2894,16.1406
110.50,-12.3920,-0.3627,0.5000,225.2078,-0.0002,-1.2992,-30.7314,1.3317,82.3652,302.6843,17.3237
112.50,-13.1108,-0.3574,0.5000,224.1252,-0.0003,-1.3042,-30.7402,1.4463,82.7051,297.7676,18.6543
114.50,-13.8185,-0.3517,0.5000,223.0263,-0.0004,-1.3088,-31.4844,1.5684,83.0130,292.8435,20.0585
116.50,-14.5142,-0.3455,0.5000,221.9145,-0.0004,-1.3117,-32.3888,1.6539,83.2007,289.5619,21.0349
118.50,-15.1968,-0.3388,0.5000,220.7938,-0.0006,-1.3159,-34.3490,1.7885,83.4560,284.6494,22.5586
120.50,-15.8654,-0.3315,0.5000,219.6686,-0.0007,-1.3199,-37.0053,1.9305,83.6802,279.7593,24.1503
122.50,-16.5189,-0.3238,0.5000,218.5440,-0.0009,-1.3224,-39.1353,2.0292,83.8128,276.5174,25.2472
124.50,-17.1563,-0.3156,0.5000,217.4257,-0.0010,-1.3260,-42.8024,2.1833,83.9869,271.6905,26.9422
126.50,-17.7767,-0.3069,0.5000,216.3197,-0.0013,-1.3295,-46.9260,2.3442,84.1322,266.9164,28.6916
128.50,-18.3794,-0.2979,0.5000,215.2326,-0.0015,-1.3317,-49.8520,2.4550,84.2137,263.7680,29.8848
130.50,-18.9636,-0.2886,0.5000,214.1714,-0.0018,-1.3349,-54.3752,2.6263,84.3139,259.1033,31.7100
132.50,-19.5292,-0.2792,0.5000,213.1429,-0.0022,-1.3380,-58.8960,2.8031,84.3891,254.5143,33.5714
134.50,-20.0758,-0.2698,0.5000,212.1542,-0.0025,-1.3400,-61.8225,2.9237,84.4261,251.4997,34.8293
