Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,0.0000,8.0616,8.0616,8.0616,8.0616,8.0616,8.0616
751,39.5000,42.1007,-87.7275,3.1522,-22.8134,-74.7447,4.5903
752,20.5000,34.5399,8.8791,26.8417,21.7095,11.4452,8.8791
753,39.5000,42.0948,-87.7271,3.1482,-22.8162,-74.7449,4.9408
754,0.0000,9.8294,9.8294,9.8294,9.8294,9.8294,9.8294
755,39.5000,42.1011,-87.7277,3.1525,-22.8133,-74.7448,4.6583
756,0.0000,10.3060,10.3060,10.3060,10.3060,10.3060,10.3060
757,39.5000,42.0986,-87.7280,3.1507,-22.8147,-74.7453,5.0324
758,0.0000,12.5351,12.5351,12.5351,12.5351,12.5351,12.5351
759,39.5000,42.0992,-87.7281,3.1510,-22.8145,-74.7454,4.8496
760,0.0000,14.2820,14.2820,14.2820,14.2820,14.2820,14.2820
761,39.5000,42.1001,-87.7282,3.1516,-22.8140,-74.7454,5.2726
762,0.0000,14.9512,14.9512,14.9512,14.9512,14.9512,14.9512
763,39.5000,42.1003,-87.7282,3.1517,-22.8139,-74.7453,4.9716
764,0.0000,14.5960,14.5960,14.5960,14.5960,14.5960,14.5960
765,39.5000,42.0993,-87.7280,3.1511,-22.8144,-74.7453,4.9445
766,20.5000,38.4182,13.7077,31.0050,26.0629,16.1788,13.7077
767,39.5000,42.0938,-87.7268,3.1476,-22.8165,-74.7447,4.6248
768,20.5000,34.6569,9.0482,26.9743,21.8526,11.6091,9.0482
769,39.5000,42.0932,-87.7262,3.1474,-22.8165,-74.7443,4.5911
770,20.5000,32.3954,6.2788,24.5604,19.3371,8.8904,6.2788
771,39.5000,42.0927,-87.7261,3.1470,-22.8167,-74.7442,4.4445
772,0.0000,5.8152,5.8152,5.8152,5.8152,5.8152,5.8152
773,39.5000,42.0954,-87.7267,3.1488,-22.8156,-74.7445,4.6736
774,0.0000,7.0767,7.0767,7.0767,7.0767,7.0767,7.0767
775,39.5000,42.0924,-87.7272,3.1465,-22.8174,-74.7452,5.0095
776,0.0000,10.9817,10.9817,10.9817,10.9817,10.9817,10.9817
