Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,33.5000,39.6172,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
751,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
752,33.5000,39.6171,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
753,33.5000,39.6171,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
754,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
755,33.5000,39.6172,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
756,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
757,33.5000,39.6171,-87.9525,1.3462,-24.1677,-75.1955,-0.3670
758,33.5000,39.6171,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
759,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
760,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
761,33.5000,39.6171,-87.9525,1.3462,-24.1677,-75.1955,-0.3670
762,33.5000,39.6172,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
763,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
764,33.5000,39.6172,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
765,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
766,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
767,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
768,33.5000,39.6172,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
769,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
770,33.5000,39.6171,-87.9525,1.3462,-24.1677,-75.1955,-0.3670
771,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
772,33.5000,39.6172,-87.9525,1.3463,-24.1676,-75.1955,-0.3670
773,33.5000,39.6171,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
774,33.5000,39.6172,-87.9525,1.3463,-24.1677,-75.1955,-0.3670
