Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-87.9628,-0.0000,0.5000,74.5185,-2.4846,-0.3250,-0.0002,  -0,-0.0346,-0.0025,-7.7964,-0.0082,0.0000
2.50,-87.9628,-0.0000,0.5000,74.5188,-2.4846,-0.3250,-0.0002,  -0,-0.0345,-0.0025,-7.7958,-0.0082,0.0000
4.50,-87.9628,-0.0000,0.5000,74.5191,-2.4846,-0.3250,-0.0002,  -0,-0.0345,-0.0025,-7.7953,-0.0082,0.0000
6.50,-87.9628,-0.0000,0.5000,74.5194,-2.4846,-0.3250,-0.0002,  -0,-0.0344,-0.0025,-7.7948,-0.0082,0.0000
8.50,-87.9628,-0.0000,0.5000,74.5197,-2.4846,-0.3250,-0.0002,  -0,-0.0343,-0.0025,-7.7942,-0.0082,0.0000
10.50,-48.3413,79.2431,0.5000,74.5195,-1575.4221,-51.4506,-0.0850,   2,68.5704,0.0080,303.5211,0.3223,0.3223
12.50,37.0138,6.1486,0.5000,74.6153,-3729.7555,-441.5312,-1725.8523, 692,76.2920,0.9945,0.1181,-1.3985,-1.3985
14.50,41.1276,0.8609,0.5000,76.4371,-649.9908,-384.3480,-1396.0050, 971,120.0926,3.0479,0.0806,-0.6858,-0.6858
16.50,41.6774,0.0834,0.5000,81.9066,-177.1056,-369.9325,-1168.0954, 861,167.6068,5.4093,0.0766,-0.5038,-0.5038
18.50,41.6314,-0.0575,0.5000,90.9649,-65.5006,-365.2098,-1032.8298, 710,203.8089,7.6794,0.0771,-0.4760,-0.4760
20.50,41.4900,-0.0719,0.5000,102.4872,-23.8251,-362.2983,-939.1287, 573,234.7173,10.2061,0.0782,-0.4839,-0.4839
22.50,41.3610,-0.0590,0.5000,115.1614,-8.4871,-359.8249,-877.2365, 465,259.2968,12.8739,0.0792,-0.4994,-0.4994
24.50,41.2612,-0.0450,0.5000,127.9541,-3.1876,-357.5462,-835.8438, 390,277.2494,15.4395,0.0800,-0.5105,-0.5105
26.50,41.1823,-0.0370,0.5000,140.2198,-1.3328,-355.5388,-806.1384, 339,289.8611,17.7401,0.0805,-0.5151,-0.5151
28.50,41.1110,-0.0355,0.5000,151.6241,-0.5101,-353.3922,-777.4796, 295,300.9723,20.2873,0.0811,-0.5149,-0.5149
30.50,41.0362,-0.0390,0.5000,162.0329,-0.1949,-351.3573,-751.2737, 260,309.8996,22.8493,0.0817,-0.5103,-0.5103
32.50,40.9501,-0.0458,0.5000,171.4269,-0.0645,-349.1997,-723.1964, 227,318.1749,25.8070,0.0825,-0.5013,-0.5013
34.50,40.8478,-0.0545,0.5000,179.8465,-0.0308,-347.8817,-705.4762, 209,322.8082,27.7825,0.0832,-0.4937,-0.4937
36.50,40.7269,-0.0641,0.5000,187.3602,-0.0102,-346.0884,-680.2334, 186,328.7879,30.7463,0.0843,-0.4811,-0.4811
38.50,40.5862,-0.0741,0.5000,194.0466,-0.0034,-344.5075,-656.5007, 166,333.9225,33.7051,0.0857,-0.4674,-0.4674
40.50,40.4257,-0.0839,0.5000,199.9854,-0.0016,-343.5635,-641.4788, 154,337.0115,35.6720,0.0868,-0.4579,-0.4579
42.50,40.2459,-0.0934,0.5000,205.2525,-0.0006,-342.4830,-623.3267, 141,340.6525,38.1549,0.0883,-0.4458,-0.4458
44.50,40.0475,-0.1025,0.5000,209.9179,-0.0002,-341.3309,-602.6173, 127,344.7775,41.1432,0.0903,-0.4311,-0.4311
46.50,39.8317,-0.1111,0.5000,214.0449,-0.0001,-340.3294,-583.2389, 114,348.7092,44.1072,0.0926,-0.4164,-0.4164
48.50,39.5993,-0.1192,0.5000,217.6905,-0.0000,-339.4582,-565.1329, 103,352.5385,47.0426,0.0952,-0.4018,-0.4018
50.50,39.3514,-0.1268,0.5000,220.9051,-0.0000,-339.0656,-556.5405,  98,354.4358,48.4984,0.0966,-0.3947,-0.3947
52.50,39.0889,-0.1338,0.5000,223.7338,-0.0000,-338.3557,-540.2485,  88,358.2263,51.3841,0.0996,-0.3805,-0.3805
54.50,38.8129,-0.1405,0.5000,226.2164,-0.0000,-337.7335,-525.1132,  80,362.0416,54.2328,0.1029,-0.3666,-0.3666
56.50,38.5242,-0.1466,0.5000,228.3883,-0.0000,-337.4507,-517.9685,  76,363.9671,55.6425,0.1046,-0.3598,-0.3598
58.50,38.2237,-0.1523,0.5000,230.2808,-0.0000,-336.9338,-504.5064,  69,367.8655,58.4310,0.1083,-0.3465,-0.3465
60.50,37.9123,-0.1577,0.5000,231.9217,-0.0000,-336.5826,-495.1186,  64,370.8379,60.4949,0.1113,-0.3367,-0.3367
