Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,39.5000,40.4453,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
751,39.5000,40.4453,-88.0058,1.9100,-23.7803,-75.1607,-0.0850
752,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
753,39.5000,40.4453,-88.0058,1.9100,-23.7803,-75.1607,-0.0850
754,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
755,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
756,39.5000,40.4453,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
757,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
758,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
759,39.5000,40.4454,-88.0058,1.9101,-23.7802,-75.1607,-0.0850
760,39.5000,40.4455,-88.0058,1.9101,-23.7802,-75.1607,-0.0850
761,39.5000,40.4453,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
762,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
763,39.5000,40.4453,-88.0058,1.9100,-23.7803,-75.1607,-0.0850
764,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
765,39.5000,40.4452,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
766,39.5000,40.4453,-88.0058,1.9100,-23.7803,-75.1607,-0.0850
767,39.5000,40.4453,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
768,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
769,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
770,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
771,39.5000,40.4452,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
772,39.5000,40.4453,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
773,39.5000,40.4456,-88.0058,1.9101,-23.7801,-75.1607,-0.0850
774,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
775,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
776,39.5000,40.4451,-88.0058,1.9098,-23.7804,-75.1607,-0.0850
777,39.5000,40.4455,-88.0058,1.9101,-23.7801,-75.1607,-0.0850
778,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
779,39.5000,40.4453,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
780,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
781,39.5000,40.4453,-88.0058,1.9100,-23.7803,-75.1607,-0.0850
782,39.5000,40.4456,-88.0058,1.9102,-23.7801,-75.1607,-0.0850
783,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
784,39.5000,40.4454,-88.0058,1.9101,-23.7802,-75.1607,-0.0850
785,39.5000,40.4453,-88.0058,1.9100,-23.7803,-75.1607,-0.0850
786,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
787,39.5000,40.4453,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
788,39.5000,40.4452,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
789,39.5000,40.4455,-88.0058,1.9101,-23.7802,-75.1607,-0.0850
790,39.5000,40.4454,-88.0058,1.9100,-23.7802,-75.1607,-0.0850
791,39.5000,40.4453,-88.0058,1.9099,-23.7803,-75.1607,-0.0850
792,39.5000,40.4454,-88.0058,1.9101,-23.7802,-75.1607,-0.0850
793,39.5000,40.4455,-88.0058,1.9101,-23.7802,-75.1607,-0.0850
