Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
1,-90.0991,0.0000,0.5000,59.0332,-0.0002,-0.0376,-0.0000,0.1261,0.0001,-0.0010,153.4739
3,-90.0990,0.0000,0.5000,59.0390,-0.0002,-0.0376,0.0000,0.1261,0.0001,-0.0010,153.4857
5,-90.0990,0.0000,0.5000,59.0447,-0.0002,-0.0376,-0.0000,0.1261,0.0001,-0.0010,153.4917
7,-90.0989,0.0000,0.5000,59.0505,-0.0002,-0.0376,-0.0000,0.1261,0.0001,-0.0010,153.5035
9,-90.0989,0.0000,0.5000,59.0563,-0.0002,-0.0376,-0.0000,0.1261,0.0001,-0.0010,153.5154
11,-64.0881,52.0213,0.5000,59.0599,-281.5725,-3.1934,-0.0000,7.9404,0.0050,0.0016,1079.4035
13,24.3108,-1.3367,0.5000,59.6798,-2.3038,-76.2040,-5731.1755,5737.3081,0.3037,0.3665,0.0048
15,21.2269,-1.4381,0.5000,67.1165,-0.0000,-77.6372,-6617.9849,6569.0229,1.7546,0.8303,0.0085
17,19.0814,-0.8602,0.5000,89.3771,-0.0000,-79.9028,-6384.8395,5417.7670,3.7723,1.2852,0.0125
19,18.0360,-0.3205,0.5000,126.0610,-0.0000,-80.6834,-6012.2971,4372.4186,5.6382,1.7163,0.0148
21,17.9829,0.1256,0.5000,168.1219,-0.0000,-79.9506,-5547.7595,3539.2070,7.5130,2.2110,0.0149
23,18.5508,0.3519,0.5000,208.3587,-0.0000,-78.2801,-5114.4269,3016.7605,9.0310,2.7025,0.0133
25,19.3416,0.4058,0.5000,244.1278,-0.0000,-76.5693,-4767.3791,2695.5636,10.1226,3.1507,0.0117
27,20.1212,0.3738,0.5000,274.9832,0.0000,-74.5241,-4388.1596,2396.4455,11.1755,3.7276,0.0100
29,20.7945,0.3129,0.5000,301.2328,-0.0000,-73.0793,-4126.8335,2203.7825,11.8014,4.1995,0.0089
31,21.3410,0.2501,0.5000,323.3962,-0.0000,-71.3908,-3819.9418,1978.1260,12.4162,4.8601,0.0079
33,21.7707,0.1949,0.5000,342.0155,-0.0000,-70.5972,-3673.8467,1868.2815,12.6588,5.2260,0.0076
35,22.1020,0.1493,0.5000,357.5905,0.0000,-69.5503,-3478.7723,1717.7655,12.9291,5.7786,0.0071
37,22.3534,0.1125,0.5000,370.5608,-0.0000,-68.6438,-3307.7512,1581.8179,13.1139,6.3344,0.0068
39,22.5402,0.0827,0.5000,381.3047,0.0000,-67.8477,-3156.3343,1458.4827,13.2367,6.8923,0.0066
41,22.6747,0.0585,0.5000,390.1444,0.0000,-67.1386,-3020.9734,1346.2341,13.3152,7.4515,0.0064
43,22.7663,0.0386,0.5000,397.3532,0.0000,-66.4989,-2898.9674,1243.8669,13.3627,8.0111,0.0063
45,22.8223,0.0220,0.5000,403.1626,0.0000,-65.9150,-2788.1495,1150.3284,13.3890,8.5704,0.0062
47,22.8484,0.0080,0.5000,407.7687,0.0000,-65.3765,-2686.8178,1064.6837,13.4019,9.1288,0.0062
49,22.8490,-0.0041,0.5000,411.3380,0.0000,-64.8756,-2593.6083,986.1334,13.4070,9.6857,0.0062
51,22.8276,-0.0145,0.5000,414.0121,0.0000,-64.4061,-2507.4368,913.9742,13.4087,10.2407,0.0063
53,22.7868,-0.0237,0.5000,415.9119,0.0000,-63.9632,-2427.4170,847.5943,13.4101,10.7934,0.0063
55,22.7291,-0.0318,0.5000,417.1406,0.0000,-63.5429,-2352.8334,786.4562,13.4136,11.3435,0.0064
57,22.6562,-0.0391,0.5000,417.7867,0.0000,-63.1423,-2283.0884,730.0873,13.4209,11.8906,0.0065
59,22.5697,-0.0457,0.5000,417.9266,0.0000,-62.7587,-2217.6913,678.0690,13.4332,12.4343,0.0066
61,22.4709,-0.0516,0.5000,417.6259,0.0000,-62.3901,-2156.2223,630.0298,13.4513,12.9745,0.0067
63,22.3611,-0.0569,0.5000,416.9415,0.0000,-62.0347,-2098.3314,585.6368,13.4757,13.5109,0.0069
