Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
0.50,-88.3420,0.0000,0.5000,59.8059,-0.0005,-0.0796,-0.0000,0.1369,0.0001,-0.0008,164.4161
2.50,-88.3419,0.0000,0.5000,59.8098,-0.0005,-0.0796,0.0000,0.1369,0.0001,-0.0008,164.4187
4.50,-88.3419,0.0000,0.5000,59.8136,-0.0005,-0.0796,0.0000,0.1369,0.0001,-0.0008,164.4288
6.50,-88.3419,0.0000,0.5000,59.8175,-0.0005,-0.0796,-0.0000,0.1369,0.0001,-0.0008,164.4389
8.50,-88.3418,0.0000,0.5000,59.8214,-0.0005,-0.0796,-0.0000,0.1369,0.0001,-0.0008,164.4490
10.50,-62.3601,51.9632,0.5000,59.8225,-502.0247,-6.3065,-0.0000,8.5556,0.0047,0.0013,1171.1544
12.50,-62.3500,0.0074,0.5000,59.8053,-1157.9167,-8.9165,-0.0000,24.5568,0.0049,0.0020,1170.7601
14.50,-62.4360,-0.0827,0.5000,59.7881,-1047.7920,-8.6640,-0.0000,27.7429,0.0058,0.0027,1175.0937
16.50,-62.8287,-0.2821,0.5000,59.7711,-828.7827,-7.9493,-0.0000,27.3204,0.0067,0.0033,1192.2455
18.50,-63.7972,-0.6195,0.5000,59.7547,-501.3073,-6.5490,-0.0000,25.1064,0.0075,0.0035,1231.4346
20.50,-65.4982,-0.9799,0.5000,59.7393,-211.4644,-4.7222,0.0000,21.3212,0.0079,0.0035,1292.7946
22.50,-67.7732,-1.2131,0.5000,59.7256,-65.5981,-3.0915,0.0000,16.8398,0.0080,0.0030,1359.7561
24.50,-70.3476,-1.3194,0.5000,59.7139,-16.5676,-1.9272,0.0000,12.5896,0.0076,0.0024,1412.4361
26.50,-73.0334,-1.3495,0.5000,59.7044,-3.8351,-1.1930,0.0000,9.1136,0.0070,0.0016,1433.9660
28.50,-75.7080,-1.3232,0.5000,59.6972,-0.7306,-0.7072,0.0000,6.1766,0.0061,0.0007,1408.2415
30.50,-78.2610,-1.2416,0.5000,59.6921,-0.1597,-0.4435,0.0000,4.1765,0.0051,-0.0002,1328.2291
32.50,-80.5838,-1.1072,0.5000,59.6892,-0.0393,-0.2900,0.0000,2.7723,0.0041,-0.0009,1195.5587
34.50,-82.5854,-0.9334,0.5000,59.6882,-0.0126,-0.2058,0.0000,1.8765,0.0032,-0.0014,1037.0244
36.50,-84.2149,-0.7431,0.5000,59.6887,-0.0047,-0.1520,0.0000,1.2336,0.0024,-0.0018,850.8948
38.50,-85.4707,-0.5611,0.5000,59.6904,-0.0022,-0.1203,0.0000,0.8242,0.0018,-0.0021,674.7363
40.50,-86.3926,-0.4048,0.5000,59.6932,-0.0013,-0.1025,0.0000,0.5750,0.0013,-0.0023,531.4564
42.50,-87.0431,-0.2818,0.5000,59.6966,-0.0010,-0.0919,0.0000,0.4230,0.0010,-0.0023,424.5263
44.50,-87.4884,-0.1909,0.5000,59.7005,-0.0007,-0.0843,0.0000,0.3169,0.0008,-0.0023,338.4875
46.50,-87.7865,-0.1269,0.5000,59.7047,-0.0006,-0.0799,0.0000,0.2490,0.0006,-0.0023,277.4464
48.50,-87.9830,-0.0833,0.5000,59.7092,-0.0006,-0.0771,0.0000,0.2068,0.0005,-0.0022,236.7719
50.50,-88.1113,-0.0541,0.5000,59.7138,-0.0006,-0.0757,0.0000,0.1835,0.0005,-0.0021,213.3825
52.50,-88.1944,-0.0350,0.5000,59.7186,-0.0005,-0.0745,0.0000,0.1660,0.0004,-0.0020,195.2456
54.50,-88.2479,-0.0225,0.5000,59.7234,-0.0005,-0.0739,0.0000,0.1550,0.0004,-0.0019,183.6990
56.50,-88.2823,-0.0145,0.5000,59.7283,-0.0005,-0.0735,-0.0000,0.1490,0.0004,-0.0019,177.2474
58.50,-88.3044,-0.0092,0.5000,59.7332,-0.0005,-0.0733,0.0000,0.1445,0.0003,-0.0018,172.5106
60.50,-88.3185,-0.0059,0.5000,59.7382,-0.0005,-0.0731,0.0000,0.1410,0.0003,-0.0017,168.6767
62.50,-88.3274,-0.0038,0.5000,59.7432,-0.0005,-0.0731,-0.0000,0.1394,0.0003,-0.0016,166.9294
64.50,-88.3332,-0.0024,0.5000,59.7482,-0.0005,-0.0731,-0.0000,0.1389,0.0003,-0.0016,166.3326
66.50,-88.3368,-0.0015,0.5000,59.7532,-0.0005,-0.0731,0.0000,0.1381,0.0003,-0.0015,165.4948
68.50,-88.3391,-0.0010,0.5000,59.7582,-0.0005,-0.0732,-0.0000,0.1376,0.0003,-0.0015,164.9878
