Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-88.2816,0.0000,0.5000,58.9745,-0.0005,-0.0633,-0.0000,   0,0.0003,-0.0008,186.8376,0.1869,0.1869
2.50,-88.2816,0.0000,0.5000,58.9786,-0.0005,-0.0633,0.0000,   0,0.0003,-0.0008,186.8478,0.1870,0.1870
4.50,-88.2815,0.0000,0.5000,58.9828,-0.0005,-0.0633,0.0000,   0,0.0003,-0.0008,186.8580,0.1870,0.1870
6.50,-88.2815,0.0000,0.5000,58.9870,-0.0005,-0.0633,-0.0000,   0,0.0003,-0.0008,186.8682,0.1870,0.1870
8.50,-88.2815,0.0000,0.5000,58.9912,-0.0005,-0.0633,0.0000,   0,0.0003,-0.0008,186.8783,0.1870,0.1870
10.50,-62.2902,51.9824,0.5000,58.9928,-494.6169,-5.0213,-0.0000,  10,0.0096,0.0013,1166.7342,1.1714,1.1714
12.50,-62.2356,0.0379,0.5000,58.9771,-1163.2362,-7.1725,-0.0000,  29,0.0102,0.0021,1164.2712,1.1858,1.1858
14.50,-62.2061,-0.0033,0.5000,58.9614,-1116.3940,-7.1345,-0.0000,  32,0.0118,0.0028,1163.5635,1.1882,1.1882
16.50,-62.3214,-0.1006,0.5000,58.9457,-985.0680,-6.8592,-0.0000,  32,0.0141,0.0035,1170.3167,1.1955,1.1955
18.50,-62.7620,-0.3092,0.5000,58.9303,-779.6921,-6.2857,-0.0000,  31,0.0159,0.0040,1188.0103,1.2127,1.2127
20.50,-63.7826,-0.6423,0.5000,58.9154,-428.7192,-4.9880,-0.0000,  28,0.0177,0.0042,1234.8580,1.2577,1.2577
22.50,-65.5036,-0.9811,0.5000,58.9016,-196.1414,-3.7089,-0.0000,  24,0.0184,0.0040,1290.3522,1.3106,1.3106
24.50,-67.7572,-1.1968,0.5000,58.8894,-61.7029,-2.4390,-0.0000,  19,0.0184,0.0035,1357.1612,1.3737,1.3737
26.50,-70.2898,-1.2969,0.5000,58.8791,-16.3352,-1.5434,-0.0000,  14,0.0176,0.0027,1409.5733,1.4224,1.4224
28.50,-72.9297,-1.3267,0.5000,58.8708,-3.7406,-0.9508,-0.0000,  10,0.0161,0.0018,1433.7617,1.4432,1.4432
30.50,-75.5622,-1.3035,0.5000,58.8646,-0.7831,-0.5796,-0.0000,   7,0.0140,0.0009,1414.0652,1.4207,1.4207
32.50,-78.0827,-1.2275,0.5000,58.8605,-0.1682,-0.3608,-0.0000,   5,0.0117,-0.0001,1339.9701,1.3445,1.3445
34.50,-80.3862,-1.1004,0.5000,58.8583,-0.0408,-0.2345,-0.0000,   3,0.0094,-0.0009,1212.5135,1.2155,1.2155
36.50,-82.3838,-0.9340,0.5000,58.8579,-0.0138,-0.1687,-0.0000,   2,0.0075,-0.0015,1067.8186,1.0699,1.0699
38.50,-84.0223,-0.7497,0.5000,58.8590,-0.0050,-0.1238,-0.0000,   1,0.0057,-0.0019,886.6886,0.8881,0.8881
40.50,-85.2959,-0.5710,0.5000,58.8613,-0.0024,-0.0976,-0.0000,   1,0.0042,-0.0023,712.8176,0.7137,0.7137
42.50,-86.2393,-0.4157,0.5000,58.8644,-0.0014,-0.0821,-0.0000,   1,0.0031,-0.0024,564.0257,0.5646,0.5646
44.50,-86.9108,-0.2919,0.5000,58.8683,-0.0010,-0.0727,-0.0000,   1,0.0024,-0.0025,452.3683,0.4528,0.4528
46.50,-87.3743,-0.1994,0.5000,58.8726,-0.0008,-0.0672,-0.0000,   0,0.0019,-0.0025,369.4863,0.3698,0.3698
48.50,-87.6871,-0.1336,0.5000,58.8772,-0.0006,-0.0635,-0.0000,   0,0.0015,-0.0024,306.0437,0.3063,0.3063
50.50,-87.8949,-0.0883,0.5000,58.8821,-0.0006,-0.0612,0.0000,   0,0.0013,-0.0024,266.9203,0.2671,0.2671
52.50,-88.0314,-0.0578,0.5000,58.8872,-0.0005,-0.0597,0.0000,   0,0.0011,-0.0023,235.8159,0.2360,0.2360
54.50,-88.1204,-0.0376,0.5000,58.8923,-0.0005,-0.0589,0.0000,   0,0.0010,-0.0022,220.5035,0.2207,0.2207
56.50,-88.1781,-0.0244,0.5000,58.8976,-0.0005,-0.0582,-0.0000,   0,0.0009,-0.0021,207.1253,0.2073,0.2073
58.50,-88.2155,-0.0157,0.5000,58.9028,-0.0005,-0.0582,-0.0000,   0,0.0009,-0.0020,200.6487,0.2008,0.2008
60.50,-88.2396,-0.0101,0.5000,58.9082,-0.0005,-0.0582,-0.0000,   0,0.0009,-0.0019,195.0512,0.1952,0.1952
62.50,-88.2550,-0.0065,0.5000,58.9135,-0.0005,-0.0575,0.0000,   0,0.0008,-0.0018,192.3641,0.1925,0.1925
64.50,-88.2650,-0.0042,0.5000,58.9189,-0.0005,-0.0572,-0.0000,   0,0.0008,-0.0017,190.0569,0.1902,0.1902
66.50,-88.2714,-0.0027,0.5000,58.9243,-0.0005,-0.0577,0.0000,   0,0.0008,-0.0017,188.9179,0.1890,0.1890
68.50,-88.2754,-0.0017,0.5000,58.9297,-0.0005,-0.0583,0.0000,   0,0.0008,-0.0016,188.1412,0.1883,0.1883
70.50,-88.2780,-0.0011,0.5000,58.9351,-0.0005,-0.0577,0.0000,   0,0.0008,-0.0015,187.6024,0.1877,0.1877
72.50,-88.2796,-0.0007,0.5000,58.9405,-0.0005,-0.0578,-0.0000,   0,0.0008,-0.0015,187.1436,0.1873,0.1873
74.50,-88.2806,-0.0004,0.5000,58.9459,-0.0005,-0.0578,-0.0000,   0,0.0008,-0.0014,187.0189,0.1871,0.1871
76.50,-88.2812,-0.0003,0.5000,58.9514,-0.0005,-0.0579,-0.0000,   0,0.0007,-0.0014,186.8652,0.1870,0.1870
78.50,-88.2816,-0.0001,0.5000,58.9568,-0.0005,-0.0579,-0.0000,   0,0.0007,-0.0013,186.8245,0.1869,0.1869
80.50,-88.2818,-0.0001,0.5000,58.9622,-0.0005,-0.0580,-0.0000,   0,0.0007,-0.0013,186.7818,0.1869,0.1869
82.50,-88.2819,-0.0000,0.5000,58.9676,-0.0005,-0.0580,-0.0000,   0,0.0007,-0.0012,186.7732,0.1869,0.1869
84.50,-88.2819,-0.0000,0.5000,58.9730,-0.0005,-0.0581,0.0000,   0,0.0007,-0.0012,186.7703,0.1869,0.1869
86.50,-88.2819,0.0000,0.5000,58.9784,-0.0005,-0.0582,-0.0000,   0,0.0007,-0.0012,186.7756,0.1869,0.1869
88.50,-88.2819,0.0000,0.5000,58.9838,-0.0005,-0.0582,-0.0000,   0,0.0007,-0.0012,186.7819,0.1869,0.1869
90.50,-88.2818,0.0000,0.5000,58.9892,-0.0005,-0.0583,0.0000,   0,0.0007,-0.0011,186.7987,0.1869,0.1869
92.50,-88.2818,0.0000,0.5000,58.9946,-0.0005,-0.0583,-0.0000,   0,0.0007,-0.0011,186.8084,0.1869,0.1869
94.50,-88.2817,0.0000,0.5000,59.0000,-0.0005,-0.0584,-0.0000,   0,0.0007,-0.0011,186.8232,0.1869,0.1869
96.50,-88.2816,0.0000,0.5000,59.0053,-0.0005,-0.0584,0.0000,   0,0.0007,-0.0010,186.8387,0.1870,0.1870
98.50,-88.2816,0.0000,0.5000,59.0107,-0.0005,-0.0585,0.0000,   0,0.0006,-0.0010,186.8547,0.1870,0.1870
100.50,-88.2815,0.0000,0.5000,59.0160,-0.0005,-0.0585,-0.0000,   0,0.0006,-0.0010,186.8707,0.1870,0.1870
102.50,-88.2814,0.0000,0.5000,59.0213,-0.0005,-0.0586,0.0000,   0,0.0006,-0.0010,186.8865,0.1870,0.1870
104.50,-88.2814,0.0000,0.5000,59.0266,-0.0005,-0.0586,0.0000,   0,0.0006,-0.0010,186.9023,0.1870,0.1870
106.50,-88.2813,0.0000,0.5000,59.0319,-0.0005,-0.0587,-0.0000,   0,0.0006,-0.0010,186.9179,0.1870,0.1870
108.50,-88.2812,0.0000,0.5000,59.0372,-0.0005,-0.0587,0.0000,   0,0.0006,-0.0009,186.9334,0.1871,0.1871
110.50,-88.2811,0.0000,0.5000,59.0425,-0.0005,-0.0588,0.0000,   0,0.0006,-0.0009,186.9487,0.1871,0.1871
112.50,-88.2811,0.0000,0.5000,59.0478,-0.0005,-0.0588,-0.0000,   0,0.0006,-0.0009,186.9638,0.1871,0.1871
114.50,-88.2810,0.0000,0.5000,59.0530,-0.0005,-0.0589,-0.0000,   0,0.0006,-0.0009,186.9788,0.1871,0.1871
116.50,-88.2809,0.0000,0.5000,59.0583,-0.0005,-0.0589,0.0000,   0,0.0006,-0.0009,186.9935,0.1871,0.1871
118.50,-88.2809,0.0000,0.5000,59.0635,-0.0005,-0.0590,0.0000,   0,0.0006,-0.0009,187.0081,0.1871,0.1871
120.50,-88.2808,0.0000,0.5000,59.0687,-0.0005,-0.0590,-0.0000,   0,0.0006,-0.0009,187.0226,0.1871,0.1871
122.50,-88.2807,0.0000,0.5000,59.0739,-0.0005,-0.0590,-0.0000,   0,0.0006,-0.0009,187.0369,0.1872,0.1872
124.50,-88.2807,0.0000,0.5000,59.0791,-0.0005,-0.0591,-0.0000,   0,0.0006,-0.0009,187.0510,0.1872,0.1872
126.50,-88.2806,0.0000,0.5000,59.0843,-0.0005,-0.0591,0.0000,   0,0.0006,-0.0009,187.0651,0.1872,0.1872
128.50,-88.2806,0.0000,0.5000,59.0894,-0.0005,-0.0592,-0.0000,   0,0.0005,-0.0008,187.0789,0.1872,0.1872
130.50,-88.2805,0.0000,0.5000,59.0946,-0.0005,-0.0592,-0.0000,   0,0.0005,-0.0008,187.0927,0.1872,0.1872
132.50,-88.2804,0.0000,0.5000,59.0997,-0.0005,-0.0593,0.0000,   0,0.0005,-0.0008,187.1064,0.1872,0.1872
134.50,-88.2804,0.0000,0.5000,59.1048,-0.0005,-0.0593,0.0000,   0,0.0005,-0.0008,187.1199,0.1872,0.1872
136.50,-88.2803,0.0000,0.5000,59.1099,-0.0005,-0.0594,-0.0000,   0,0.0005,-0.0008,187.1333,0.1873,0.1873
138.50,-88.2803,0.0000,0.5000,59.1150,-0.0005,-0.0594,-0.0000,   0,0.0005,-0.0008,187.1467,0.1873,0.1873
140.50,-88.2802,0.0000,0.5000,59.1200,-0.0005,-0.0594,-0.0000,   0,0.0005,-0.0008,187.1599,0.1873,0.1873
142.50,-88.2801,0.0000,0.5000,59.1251,-0.0005,-0.0595,0.0000,   0,0.0005,-0.0008,187.1730,0.1873,0.1873
144.50,-88.2801,0.0000,0.5000,59.1301,-0.0005,-0.0595,0.0000,   0,0.0005,-0.0008,187.1861,0.1873,0.1873
146.50,-88.2800,0.0000,0.5000,59.1351,-0.0005,-0.0596,-0.0000,   0,0.0005,-0.0008,187.1991,0.1873,0.1873
