Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0,-89.1480,0.0000,0.5000,66.6107,-0.0005,-0.0953,-0.0000,0.1970,0.0006,-0.0007,164.4301,0.1645,0.1645
2,-89.1480,0.0000,0.5000,66.6144,-0.0005,-0.0953,-0.0000,0.1970,0.0006,-0.0007,164.4386,0.1645,0.1645
4,-89.1479,0.0000,0.5000,66.6180,-0.0005,-0.0953,0.0000,0.1970,0.0006,-0.0007,164.4471,0.1645,0.1645
6,-89.1479,0.0000,0.5000,66.6216,-0.0005,-0.0953,0.0000,0.1970,0.0006,-0.0007,164.4556,0.1646,0.1646
8,-89.1479,0.0000,0.5000,66.6252,-0.0005,-0.0953,0.0000,0.1970,0.0006,-0.0007,164.4640,0.1646,0.1646
10,-63.1178,52.0600,0.5000,66.6264,-648.9117,-8.1963,-0.0000,11.7319,0.0215,0.0012,1066.0168,1.0696,1.0696
12,27.1413,-5.7642,0.5000,67.4165,-0.3988,-152.9002,-5372.1351,9483.6950,1.6002,0.3117,0.0034,3.9606,3.9606
14,18.6342,-3.0667,0.5000,77.9156,-0.0000,-177.1524,-7225.2251,8731.7975,7.0800,0.5929,0.0162,1.3371,1.3371
16,14.9984,-1.2685,0.5000,112.4611,-0.0000,-187.1820,-7021.4360,6515.2484,13.6777,0.8518,0.0305,-0.6788,-0.6788
18,13.8695,-0.1623,0.5000,169.0329,-0.0000,-189.0728,-6515.0217,4913.9207,20.1046,1.1146,0.0367,-1.7689,-1.7689
20,14.4895,0.5155,0.5000,229.5719,-0.0000,-184.9910,-5955.4472,3924.2614,26.5057,1.4091,0.0324,-2.1882,-2.1882
22,15.7866,0.6865,0.5000,284.6156,-0.0000,-179.0957,-5484.7247,3441.1846,31.9213,1.7061,0.0257,-2.1890,-2.1890
24,17.1176,0.6370,0.5000,332.0536,-0.0000,-172.9731,-5044.1808,3118.2366,36.7357,2.0360,0.0201,-2.0601,-2.0601
26,18.2461,0.5178,0.5000,372.0611,-0.0000,-168.2333,-4698.1847,2898.8887,40.2272,2.3423,0.0167,-1.9249,-1.9249
28,19.1310,0.3994,0.5000,405.4213,-0.0000,-163.5674,-4340.9341,2671.3595,43.5069,2.7203,0.0141,-1.7869,-1.7869
30,19.8060,0.3035,0.5000,433.0285,-0.0000,-159.7809,-4035.4261,2460.8471,46.0040,3.1124,0.0123,-1.6852,-1.6852
32,20.3190,0.2310,0.5000,455.7288,-0.0000,-157.4085,-3837.1322,2312.9428,47.4471,3.4113,0.0115,-1.6307,-1.6307
34,20.7114,0.1773,0.5000,474.2712,-0.0000,-154.7007,-3606.0304,2128.6126,48.9251,3.8156,0.0106,-1.5794,-1.5794
36,21.0139,0.1370,0.5000,489.2997,-0.0000,-152.9272,-3453.2615,2000.0264,49.7673,4.1225,0.0102,-1.5523,-1.5523
38,21.2483,0.1063,0.5000,501.3598,-0.0000,-150.5200,-3246.4006,1818.3749,50.7210,4.5990,0.0096,-1.5232,-1.5232
40,21.4300,0.0823,0.5000,510.9110,-0.0000,-149.0769,-3123.7859,1707.2458,51.1804,4.9198,0.0094,-1.5095,-1.5095
42,21.5700,0.0631,0.5000,518.3387,-0.0000,-147.7345,-3011.3473,1603.5230,51.5325,5.2430,0.0092,-1.4988,-1.4988
44,21.6760,0.0474,0.5000,523.9662,-0.0000,-145.8717,-2858.7765,1460.6991,51.9092,5.7317,0.0090,-1.4863,-1.4863
46,21.7539,0.0342,0.5000,528.0651,-0.0000,-144.7121,-2766.1908,1373.2588,52.0861,6.0597,0.0089,-1.4795,-1.4795
48,21.8078,0.0228,0.5000,530.8638,-0.0000,-143.6072,-2679.8740,1291.4934,52.2208,6.3892,0.0088,-1.4734,-1.4734
50,21.8409,0.0129,0.5000,532.5547,0.0000,-142.0375,-2560.6214,1178.5609,52.3684,6.8860,0.0088,-1.4648,-1.4648
52,21.8556,0.0041,0.5000,533.3006,-0.0000,-141.0419,-2487.0925,1109.1942,52.4436,7.2186,0.0087,-1.4593,-1.4593
54,21.8538,-0.0038,0.5000,533.2396,0.0000,-140.0823,-2417.7868,1044.1655,52.5084,7.5521,0.0087,-1.4536,-1.4536
56,21.8369,-0.0111,0.5000,532.4888,0.0000,-138.7037,-2320.8943,954.0925,52.5979,8.0536,0.0088,-1.4448,-1.4448
58,21.8061,-0.0179,0.5000,531.1482,-0.0000,-137.8214,-2260.5311,898.6260,52.6585,8.3886,0.0088,-1.4387,-1.4387
60,21.7624,-0.0242,0.5000,529.3033,0.0000,-136.6748,-2183.9604,829.1628,52.7480,8.8406,0.0089,-1.4299,-1.4299
62,21.7066,-0.0301,0.5000,527.0272,-0.0000,-135.9768,-2138.3819,788.3684,52.8113,9.1250,0.0090,-1.4240,-1.4240
64,21.6396,-0.0356,0.5000,524.3828,0.0000,-134.6308,-2052.6637,712.9497,52.9591,9.6937,0.0092,-1.4117,-1.4117
66,21.5618,-0.0408,0.5000,521.4244,0.0000,-133.9811,-2012.3116,678.1066,53.0453,9.9778,0.0093,-1.4052,-1.4052
68,21.4741,-0.0457,0.5000,518.1986,-0.0000,-133.3461,-1973.5051,645.0390,53.1406,10.2616,0.0094,-1.3984,-1.3984
70,21.3768,-0.0503,0.5000,514.7459,-0.0000,-132.4990,-1922.7217,602.4697,53.2864,10.6496,0.0095,-1.3888,-1.3888
72,21.2707,-0.0547,0.5000,511.1015,0.0000,-131.6763,-1874.4830,562.8319,53.4507,11.0367,0.0097,-1.3788,-1.3788
74,21.1561,-0.0588,0.5000,507.2956,-0.0000,-130.8764,-1828.6147,525.9220,53.6340,11.4228,0.0099,-1.3685,-1.3685
76,21.0336,-0.0627,0.5000,503.3549,-0.0000,-130.0979,-1784.9554,491.5460,53.8364,11.8077,0.0102,-1.3579,-1.3579
78,20.9037,-0.0663,0.5000,499.3024,0.0000,-129.3392,-1743.3677,459.5317,54.0581,12.1912,0.0104,-1.3469,-1.3469
80,20.7668,-0.0697,0.5000,495.1582,0.0000,-128.5990,-1703.7167,429.7141,54.2987,12.5732,0.0107,-1.3357,-1.3357
82,20.6233,-0.0729,0.5000,490.9399,-0.0000,-127.8760,-1665.8838,401.9416,54.5580,12.9535,0.0109,-1.3243,-1.3243
84,20.4738,-0.0759,0.5000,486.6629,-0.0000,-127.1688,-1629.7615,376.0734,54.8355,13.3321,0.0112,-1.3127,-1.3127
86,20.3186,-0.0786,0.5000,482.3406,0.0000,-126.4762,-1595.2503,351.9786,55.1306,13.7088,0.0115,-1.3009,-1.3009
