Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,39.5000,22.2467,-89.7682,-11.3578,-33.7607,-78.5667,0.1420
751,39.5000,22.2463,-89.7692,-11.3583,-33.7614,-78.5677,0.1420
752,39.5000,22.2459,-89.7702,-11.3589,-33.7622,-78.5686,0.1420
753,39.5000,22.2455,-89.7713,-11.3595,-33.7629,-78.5696,0.1420
754,39.5000,22.2451,-89.7723,-11.3601,-33.7636,-78.5706,0.1420
755,39.5000,22.2447,-89.7733,-11.3607,-33.7643,-78.5715,0.1420
756,39.5000,22.2443,-89.7744,-11.3613,-33.7650,-78.5725,0.1420
757,39.5000,22.2439,-89.7754,-11.3619,-33.7657,-78.5735,0.1420
758,39.5000,22.2435,-89.7764,-11.3625,-33.7664,-78.5744,0.1420
759,39.5000,22.2431,-89.7774,-11.3630,-33.7672,-78.5754,0.1420
760,39.5000,22.2427,-89.7785,-11.3636,-33.7679,-78.5763,0.1420
761,39.5000,22.2423,-89.7795,-11.3642,-33.7686,-78.5773,0.1420
762,39.5000,22.2419,-89.7805,-11.3648,-33.7693,-78.5783,0.1420
763,39.5000,22.2415,-89.7816,-11.3654,-33.7700,-78.5792,0.1420
764,39.5000,22.2411,-89.7826,-11.3660,-33.7707,-78.5802,0.1420
765,39.5000,22.2407,-89.7836,-11.3666,-33.7714,-78.5812,0.1420
766,39.5000,22.2403,-89.7846,-11.3672,-33.7721,-78.5821,0.1420
767,39.5000,22.2400,-89.7857,-11.3677,-33.7729,-78.5831,0.1420
768,39.5000,22.2395,-89.7867,-11.3683,-33.7736,-78.5841,0.1420
769,39.5000,22.2392,-89.7877,-11.3689,-33.7743,-78.5850,0.1420
770,39.5000,22.2388,-89.7887,-11.3695,-33.7750,-78.5860,0.1420
771,39.5000,22.2384,-89.7898,-11.3701,-33.7757,-78.5870,0.1420
772,39.5000,22.2380,-89.7908,-11.3707,-33.7764,-78.5879,0.1420
773,39.5000,22.2375,-89.7918,-11.3713,-33.7771,-78.5889,0.1419
774,39.5000,22.2372,-89.7929,-11.3718,-33.7778,-78.5899,0.1420
775,39.5000,22.2368,-89.7939,-11.3724,-33.7786,-78.5908,0.1419
776,39.5000,22.2364,-89.7949,-11.3730,-33.7793,-78.5918,0.1419
777,39.5000,22.2360,-89.7959,-11.3736,-33.7800,-78.5927,0.1419
778,39.5000,22.2356,-89.7970,-11.3742,-33.7807,-78.5937,0.1419
