Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,0.0000,-68.1697,-88.6263,-88.6263,-88.6263,-88.6263,-88.6263
751,0.0000,-68.1378,-88.6269,-88.6269,-88.6269,-88.6269,-88.6269
752,0.0000,-68.0780,-88.6273,-88.6273,-88.6273,-88.6273,-88.6273
753,0.0000,-68.0451,-88.6276,-88.6276,-88.6276,-88.6276,-88.6276
754,0.0000,-67.9574,-88.6277,-88.6277,-88.6277,-88.6277,-88.6277
755,0.0000,-67.9132,-88.6276,-88.6276,-88.6276,-88.6276,-88.6276
756,0.0000,-67.8579,-88.6275,-88.6275,-88.6275,-88.6275,-88.6275
757,0.0000,-67.7813,-88.6272,-88.6272,-88.6272,-88.6272,-88.6272
758,0.0000,-67.6726,-88.6268,-88.6268,-88.6268,-88.6268,-88.6268
759,0.0000,-67.6181,-88.6264,-88.6264,-88.6264,-88.6264,-88.6264
760,0.0000,-67.5376,-88.6259,-88.6259,-88.6259,-88.6259,-88.6259
761,0.0000,-67.4385,-88.6252,-88.6252,-88.6252,-88.6252,-88.6252
762,0.0000,-67.3675,-88.6246,-88.6246,-88.6246,-88.6246,-88.6246
763,0.0000,-67.2727,-88.6238,-88.6238,-88.6238,-88.6238,-88.6238
764,0.0000,-67.1693,-88.6231,-88.6231,-88.6231,-88.6231,-88.6231
765,0.0000,-66.9907,-88.6222,-88.6222,-88.6222,-88.6222,-88.6222
766,0.0000,-66.9370,-88.6214,-88.6214,-88.6214,-88.6214,-88.6214
767,0.0000,-66.8150,-88.6205,-88.6205,-88.6205,-88.6205,-88.6205
768,0.0000,-66.7084,-88.6195,-88.6195,-88.6195,-88.6195,-88.6195
769,0.0000,-66.6045,-88.6185,-88.6185,-88.6185,-88.6185,-88.6185
770,0.0000,-66.4741,-88.6175,-88.6175,-88.6175,-88.6175,-88.6175
771,0.0000,-66.5094,-88.6165,-88.6165,-88.6165,-88.6165,-88.6165
772,0.0000,-66.1753,-88.6154,-88.6154,-88.6154,-88.6154,-88.6154
773,0.0000,-66.0205,-88.6144,-88.6144,-88.6144,-88.6144,-88.6144
774,0.0000,-65.8749,-88.6133,-88.6133,-88.6133,-88.6133,-88.6133
775,0.0000,-65.7237,-88.6122,-88.6122,-88.6122,-88.6122,-88.6122
776,0.0000,-65.5401,-88.6110,-88.6110,-88.6110,-88.6110,-88.6110
777,0.0000,-65.3551,-88.6099,-88.6099,-88.6099,-88.6099,-88.6099
778,0.0000,-65.1572,-88.6087,-88.6087,-88.6087,-88.6087,-88.6087
779,0.0000,-64.9530,-88.6076,-88.6076,-88.6076,-88.6076,-88.6076
780,0.0000,-64.7235,-88.6064,-88.6064,-88.6064,-88.6064,-88.6064
781,0.0000,-64.5069,-88.6052,-88.6052,-88.6052,-88.6052,-88.6052
782,0.0000,-64.2787,-88.6040,-88.6040,-88.6040,-88.6040,-88.6040
783,0.0000,-64.0044,-88.6028,-88.6028,-88.6028,-88.6028,-88.6028
784,0.0000,-63.7335,-88.6015,-88.6015,-88.6015,-88.6015,-88.6015
785,0.0000,-63.3148,-88.6003,-88.6003,-88.6003,-88.6003,-88.6003
786,0.0000,-63.0522,-88.5991,-88.5991,-88.5991,-88.5991,-88.5991
787,0.0000,-62.6000,-88.5979,-88.5979,-88.5979,-88.5979,-88.5979
788,39.5000,27.3946,-88.5966,-7.4028,-30.6010,-76.9975,0.5866
789,20.5000,15.4084,3.8679,11.9462,9.6381,5.0220,3.8679
790,20.5000,13.7957,1.1033,9.9880,7.4495,2.3725,1.1033
791,39.5000,28.7429,-88.4841,-6.4252,-29.8706,-76.7614,0.4068
792,32.0000,6.4355,-0.0083,4.5024,3.2136,0.6361,0.4979
793,20.5000,15.3456,3.9292,11.9207,9.6374,5.0709,3.9292
794,39.5000,29.2645,-88.5037,-6.0660,-29.6196,-76.7269,0.4162
795,39.5000,5.7904,-3.6500,2.9583,1.0702,-2.7060,1.0828
796,0.0000,-68.8388,-88.3437,-88.3437,-88.3437,-88.3437,-88.3437
797,39.5000,28.2394,-88.4793,-6.7762,-30.1199,-76.8074,0.3850
798,20.5000,17.1878,5.6737,13.7336,11.4308,6.8251,5.6737
799,20.5000,14.6150,3.0095,11.1333,8.8122,4.1700,3.0095
800,39.5000,28.2674,-88.4800,-6.7568,-30.1063,-76.8052,0.3790
801,20.5000,16.6455,6.1092,13.4846,11.3774,7.1629,6.1092
802,0.0000,8.0458,8.0458,8.0458,8.0458,8.0458,8.0458
803,39.5000,28.1610,-88.4875,-6.8335,-30.1632,-76.8226,0.3791
804,20.5000,16.6055,6.1058,13.4556,11.3556,7.1557,6.1058
805,24.5000,25.4468,-26.0156,10.0081,-0.2844,-20.8694,0.5968
806,39.5000,28.1306,-88.5002,-6.8586,-30.1848,-76.8371,0.3948
807,20.5000,16.8996,4.4254,13.1573,10.6625,5.6728,4.4254
808,0.0000,-63.2232,-88.5030,-88.5030,-88.5030,-88.5030,-88.5030
809,39.5000,27.6744,-88.4696,-7.1688,-30.3976,-76.8552,0.3710
810,20.5000,15.2690,4.7854,12.1239,10.0272,5.8337,4.7854
811,0.0000,7.1248,7.1248,7.1248,7.1248,7.1248,7.1248
812,39.5000,27.7157,-88.4894,-7.1458,-30.3868,-76.8689,0.3835
813,20.5000,15.9441,5.8020,12.9015,10.8731,6.8162,5.8020
814,0.0000,-63.1658,-88.4343,-88.4343,-88.4343,-88.4343,-88.4343
815,39.5000,27.4890,-88.4770,-7.3008,-30.4940,-76.8804,0.3734
816,20.5000,14.9298,4.3827,11.7657,9.6563,5.4374,4.3827
817,0.0000,-22.9387,-22.9387,-22.9387,-22.9387,-22.9387,-22.9387
818,39.5000,27.3199,-88.4857,-7.4218,-30.5829,-76.9052,0.3762
819,20.5000,15.2498,4.9626,12.1636,10.1062,5.9913,4.9626
820,0.0000,-64.7461,-88.4372,-88.4372,-88.4372,-88.4372,-88.4372
821,39.5000,27.2033,-88.4801,-7.5017,-30.6384,-76.9117,0.3774
822,20.5000,14.5848,3.9717,11.4009,9.2783,5.0330,3.9717
823,0.0000,-64.8353,-88.4514,-88.4514,-88.4514,-88.4514,-88.4514
824,39.5000,27.0297,-88.4808,-7.6235,-30.7255,-76.9297,0.3771
825,20.5000,14.4171,3.7645,11.2214,9.0908,4.8298,3.7645
826,0.0000,-65.5195,-88.4428,-88.4428,-88.4428,-88.4428,-88.4428
827,0.0000,-61.9479,-88.4836,-88.4836,-88.4836,-88.4836,-88.4836
