Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-87.5117,0.0000,0.5000,68.3896,-0.0008,-0.0791,0.0000,   0,0.0004,-0.0004,174.7368,0.1748,0.1748
2.50,-87.5117,0.0000,0.5000,68.3909,-0.0008,-0.0792,0.0000,   0,0.0004,-0.0004,174.7400,0.1748,0.1748
4.50,-87.5117,0.0000,0.5000,68.3922,-0.0008,-0.0792,-0.0000,   0,0.0004,-0.0004,174.7432,0.1748,0.1748
6.50,-87.5117,0.0000,0.5000,68.3935,-0.0008,-0.0792,-0.0000,   0,0.0004,-0.0004,174.7463,0.1748,0.1748
8.50,-87.5117,0.0000,0.5000,68.3948,-0.0008,-0.0792,-0.0000,   0,0.0004,-0.0004,174.7495,0.1748,0.1748
10.50,-61.3213,52.3807,0.5000,68.3938,-732.9943,-6.5654,-0.0000,   5,0.0086,0.0008,747.9243,0.7462,0.7462
12.50,23.2109,0.0423,0.5000,68.7207,-1.5950,-111.4772,-4308.1450,2632,0.3776,0.1270,0.0061,-1.7874,-1.7874
14.50,22.8662,-0.2361,0.5000,70.8516,0.0000,-106.8777,-4521.3200,3110,2.1941,0.2940,0.0065,-1.5160,-1.5160
16.50,22.5154,-0.1205,0.5000,76.3148,-0.0000,-104.9020,-4235.8054,2701,4.7896,0.4581,0.0069,-1.6340,-1.6340
18.50,22.4399,0.0027,0.5000,85.1418,0.0000,-103.4154,-3919.2996,2223,7.4754,0.6315,0.0070,-1.7918,-1.7918
20.50,22.5217,0.0567,0.5000,96.3411,0.0000,-102.0881,-3640.8293,1844,9.7272,0.8060,0.0069,-1.8882,-1.8882
22.50,22.6552,0.0693,0.5000,108.6990,0.0000,-100.7559,-3377.9203,1530,11.6590,1.0025,0.0068,-1.9358,-1.9358
24.50,22.7869,0.0621,0.5000,121.2318,-0.0000,-99.4177,-3128.3042,1269,13.2186,1.2296,0.0066,-1.9439,-1.9439
26.50,22.8908,0.0450,0.5000,133.3087,-0.0000,-98.4213,-2948.7391,1102,14.1284,1.4262,0.0065,-1.9299,-1.9299
28.50,22.9542,0.0233,0.5000,144.5933,-0.0000,-97.5179,-2787.8366, 963,14.7733,1.6337,0.0064,-1.9055,-1.9055
30.50,22.9722,0.0004,0.5000,154.9435,0.0000,-96.9174,-2680.5379, 877,15.1109,1.7927,0.0064,-1.8840,-1.8840
32.50,22.9452,-0.0216,0.5000,164.3311,0.0000,-96.1412,-2539.6853, 768,15.4452,2.0328,0.0064,-1.8504,-1.8504
34.50,22.8765,-0.0417,0.5000,172.7885,-0.0000,-95.6959,-2457.0323, 707,15.5882,2.1934,0.0065,-1.8284,-1.8284
36.50,22.7709,-0.0592,0.5000,180.3772,-0.0000,-95.1166,-2346.8823, 627,15.7275,2.4349,0.0067,-1.7966,-1.7966
38.50,22.6334,-0.0741,0.5000,187.1704,0.0000,-94.7790,-2281.2203, 581,15.7888,2.5960,0.0068,-1.7765,-1.7765
40.50,22.4693,-0.0866,0.5000,193.2430,-0.0000,-94.3286,-2192.3664, 520,15.8555,2.8374,0.0070,-1.7478,-1.7478
42.50,22.2830,-0.0968,0.5000,198.6667,-0.0000,-93.9135,-2110.1236, 465,15.9120,3.0881,0.0073,-1.7199,-1.7199
