Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,32.0000,23.1551,-87.5512,-10.0567,-32.1980,-76.4805,-0.1321
751,32.0000,23.1553,-87.5508,-10.0566,-32.1978,-76.4802,-0.1321
752,32.0000,23.1554,-87.5505,-10.0564,-32.1975,-76.4799,-0.1321
753,32.0000,23.1555,-87.5502,-10.0562,-32.1973,-76.4796,-0.1321
754,32.0000,23.1556,-87.5498,-10.0560,-32.1971,-76.4793,-0.1321
755,32.0000,23.1558,-87.5495,-10.0558,-32.1969,-76.4790,-0.1321
756,32.0000,23.1559,-87.5492,-10.0556,-32.1966,-76.4787,-0.1321
757,32.0000,23.1560,-87.5488,-10.0554,-32.1964,-76.4784,-0.1321
758,32.0000,23.1562,-87.5485,-10.0552,-32.1962,-76.4781,-0.1322
759,32.0000,23.1563,-87.5482,-10.0551,-32.1960,-76.4777,-0.1321
760,32.0000,23.1564,-87.5479,-10.0549,-32.1957,-76.4774,-0.1322
761,32.0000,23.1565,-87.5475,-10.0547,-32.1955,-76.4771,-0.1322
762,32.0000,23.1567,-87.5472,-10.0545,-32.1953,-76.4768,-0.1321
763,32.0000,23.1568,-87.5469,-10.0543,-32.1950,-76.4765,-0.1322
764,32.0000,23.1569,-87.5465,-10.0541,-32.1948,-76.4762,-0.1322
765,32.0000,23.1570,-87.5462,-10.0539,-32.1946,-76.4759,-0.1322
766,32.0000,23.1572,-87.5459,-10.0537,-32.1944,-76.4756,-0.1322
767,32.0000,23.1573,-87.5456,-10.0536,-32.1941,-76.4753,-0.1322
768,32.0000,23.1574,-87.5452,-10.0534,-32.1939,-76.4750,-0.1322
769,32.0000,23.1575,-87.5449,-10.0532,-32.1937,-76.4747,-0.1322
770,32.0000,23.1577,-87.5446,-10.0530,-32.1935,-76.4743,-0.1322
771,32.0000,23.1578,-87.5442,-10.0528,-32.1932,-76.4740,-0.1322
772,32.0000,23.1579,-87.5439,-10.0526,-32.1930,-76.4737,-0.1322
773,32.0000,23.1581,-87.5436,-10.0524,-32.1928,-76.4734,-0.1322
774,32.0000,23.1582,-87.5433,-10.0523,-32.1925,-76.4731,-0.1322
775,32.0000,23.1583,-87.5429,-10.0521,-32.1923,-76.4728,-0.1322
776,32.0000,23.1584,-87.5426,-10.0519,-32.1921,-76.4725,-0.1322
777,32.0000,23.1586,-87.5423,-10.0517,-32.1919,-76.4722,-0.1322
778,32.0000,23.1587,-87.5419,-10.0515,-32.1916,-76.4719,-0.1322
779,32.0000,23.1588,-87.5416,-10.0513,-32.1914,-76.4716,-0.1322
780,32.0000,23.1589,-87.5413,-10.0511,-32.1912,-76.4713,-0.1322
781,32.0000,23.1591,-87.5410,-10.0509,-32.1909,-76.4710,-0.1322
782,32.0000,23.1592,-87.5406,-10.0508,-32.1907,-76.4706,-0.1322
783,32.0000,23.1593,-87.5403,-10.0506,-32.1905,-76.4703,-0.1322
784,32.0000,23.1594,-87.5400,-10.0504,-32.1903,-76.4700,-0.1322
785,32.0000,23.1596,-87.5396,-10.0502,-32.1900,-76.4697,-0.1322
786,32.0000,23.1597,-87.5393,-10.0500,-32.1898,-76.4694,-0.1322
787,32.0000,23.1598,-87.5390,-10.0498,-32.1896,-76.4691,-0.1322
788,32.0000,23.1600,-87.5386,-10.0496,-32.1893,-76.4688,-0.1322
789,32.0000,23.1601,-87.5383,-10.0494,-32.1891,-76.4685,-0.1322
790,32.0000,23.1602,-87.5380,-10.0493,-32.1889,-76.4682,-0.1322
791,32.0000,23.1603,-87.5377,-10.0491,-32.1887,-76.4679,-0.1322
792,32.0000,23.1604,-87.5373,-10.0489,-32.1884,-76.4676,-0.1322
793,32.0000,23.1606,-87.5370,-10.0487,-32.1882,-76.4672,-0.1322
794,32.0000,23.1607,-87.5367,-10.0485,-32.1880,-76.4669,-0.1322
795,32.0000,23.1608,-87.5363,-10.0483,-32.1878,-76.4666,-0.1322
796,32.0000,23.1610,-87.5360,-10.0481,-32.1875,-76.4663,-0.1322
797,32.0000,23.1611,-87.5357,-10.0479,-32.1873,-76.4660,-0.1322
798,32.0000,23.1612,-87.5354,-10.0478,-32.1871,-76.4657,-0.1322
799,32.0000,23.1613,-87.5350,-10.0476,-32.1868,-76.4654,-0.1322
800,32.0000,23.1615,-87.5347,-10.0474,-32.1866,-76.4651,-0.1322
801,32.0000,23.1616,-87.5344,-10.0472,-32.1864,-76.4648,-0.1322
802,32.0000,23.1617,-87.5340,-10.0470,-32.1862,-76.4645,-0.1322
803,32.0000,23.1618,-87.5337,-10.0468,-32.1859,-76.4642,-0.1322
804,32.0000,23.1620,-87.5334,-10.0466,-32.1857,-76.4639,-0.1322
805,32.0000,23.1621,-87.5331,-10.0465,-32.1855,-76.4635,-0.1322
806,32.0000,23.1622,-87.5327,-10.0463,-32.1853,-76.4632,-0.1322
807,32.0000,23.1623,-87.5324,-10.0461,-32.1850,-76.4629,-0.1322
808,32.0000,23.1625,-87.5321,-10.0459,-32.1848,-76.4626,-0.1322
809,32.0000,23.1626,-87.5317,-10.0457,-32.1846,-76.4623,-0.1322
810,32.0000,23.1627,-87.5314,-10.0455,-32.1843,-76.4620,-0.1322
811,32.0000,23.1629,-87.5311,-10.0453,-32.1841,-76.4617,-0.1322
812,32.0000,23.1630,-87.5308,-10.0451,-32.1839,-76.4614,-0.1322
813,32.0000,23.1631,-87.5304,-10.0450,-32.1837,-76.4611,-0.1322
814,32.0000,23.1632,-87.5301,-10.0448,-32.1834,-76.4608,-0.1322
815,32.0000,23.1634,-87.5298,-10.0446,-32.1832,-76.4605,-0.1322
816,32.0000,23.1635,-87.5294,-10.0444,-32.1830,-76.4602,-0.1322
