Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0,-90.2354,0.0000,0.5000,58.7461,-0.0002,-0.0166,0.0000,0.1490,0.0002,-0.0009,173.8767,0.1740,0.1740
2,-90.2353,0.0000,0.5000,58.7514,-0.0002,-0.0166,-0.0000,0.1490,0.0002,-0.0009,173.8876,0.1740,0.1740
4,-90.2353,0.0000,0.5000,58.7567,-0.0002,-0.0166,-0.0000,0.1490,0.0002,-0.0009,173.8985,0.1740,0.1740
6,-90.2352,0.0000,0.5000,58.7620,-0.0002,-0.0166,-0.0000,0.1490,0.0002,-0.0009,173.9094,0.1740,0.1740
8,-90.2352,0.0000,0.5000,58.7674,-0.0002,-0.0166,-0.0000,0.1490,0.0002,-0.0009,173.9203,0.1741,0.1741
10,-64.2126,52.0450,0.5000,58.7705,-312.4850,-1.5122,-0.0000,8.4830,0.0066,0.0015,1050.5866,1.0576,1.0576
12,23.5886,-1.6288,0.5000,59.3137,-2.6968,-35.2086,-5465.2345,5801.5555,0.3932,0.3380,0.0052,0.3018,0.3018
14,20.2657,-1.4396,0.5000,65.6605,0.0000,-35.9184,-6425.9084,6607.7571,2.2082,0.7506,0.0094,0.1489,0.1489
16,18.3787,-0.6778,0.5000,84.3881,0.0000,-36.7223,-6138.1489,5421.6238,4.9812,1.1880,0.0134,-0.7471,-0.7471
18,17.6832,-0.1732,0.5000,115.3302,-0.0000,-36.7839,-5709.0180,4383.9778,7.5820,1.6087,0.0150,-1.3526,-1.3526
20,17.7852,0.1640,0.5000,151.6541,0.0000,-36.3071,-5251.2577,3598.4363,10.0677,2.0707,0.0145,-1.6770,-1.6770
