Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,39.5000,21.5046,-89.7218,-11.8633,-34.1086,-78.5992,-0.0384
751,39.5000,21.5046,-89.7218,-11.8633,-34.1086,-78.5992,-0.0384
752,39.5000,21.5046,-89.7217,-11.8633,-34.1086,-78.5991,-0.0384
753,39.5000,21.5046,-89.7217,-11.8633,-34.1085,-78.5991,-0.0384
754,39.5000,21.5046,-89.7217,-11.8633,-34.1085,-78.5990,-0.0384
755,39.5000,21.5046,-89.7216,-11.8633,-34.1085,-78.5990,-0.0384
756,39.5000,21.5046,-89.7216,-11.8632,-34.1085,-78.5989,-0.0384
757,39.5000,21.5046,-89.7215,-11.8632,-34.1084,-78.5989,-0.0384
758,39.5000,21.5046,-89.7215,-11.8632,-34.1084,-78.5989,-0.0384
759,39.5000,21.5046,-89.7214,-11.8632,-34.1084,-78.5988,-0.0384
760,39.5000,21.5046,-89.7214,-11.8632,-34.1084,-78.5988,-0.0384
761,39.5000,21.5046,-89.7213,-11.8631,-34.1083,-78.5987,-0.0384
762,39.5000,21.5046,-89.7213,-11.8631,-34.1083,-78.5987,-0.0384
763,39.5000,21.5046,-89.7212,-11.8631,-34.1083,-78.5987,-0.0384
764,39.5000,21.5046,-89.7212,-11.8631,-34.1083,-78.5986,-0.0384
765,39.5000,21.5047,-89.7212,-11.8631,-34.1082,-78.5986,-0.0384
766,39.5000,21.5046,-89.7211,-11.8631,-34.1082,-78.5985,-0.0384
767,39.5000,21.5047,-89.7211,-11.8630,-34.1082,-78.5985,-0.0384
768,39.5000,21.5047,-89.7210,-11.8630,-34.1082,-78.5984,-0.0384
769,39.5000,21.5047,-89.7210,-11.8630,-34.1082,-78.5984,-0.0384
770,39.5000,21.5047,-89.7209,-11.8630,-34.1081,-78.5984,-0.0384
771,39.5000,21.5047,-89.7209,-11.8630,-34.1081,-78.5983,-0.0384
772,39.5000,21.5047,-89.7208,-11.8630,-34.1081,-78.5983,-0.0384
773,39.5000,21.5047,-89.7208,-11.8629,-34.1080,-78.5982,-0.0384
774,39.5000,21.5047,-89.7207,-11.8629,-34.1080,-78.5982,-0.0384
775,39.5000,21.5047,-89.7207,-11.8629,-34.1080,-78.5982,-0.0384
776,39.5000,21.5047,-89.7206,-11.8629,-34.1080,-78.5981,-0.0384
777,39.5000,21.5047,-89.7206,-11.8629,-34.1079,-78.5981,-0.0384
778,39.5000,21.5047,-89.7206,-11.8629,-34.1079,-78.5980,-0.0384
779,39.5000,21.5047,-89.7205,-11.8629,-34.1079,-78.5980,-0.0384
