Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
1,-89.5610,0.0000,0.5000,67.0052,-0.0003,-0.0511,0.0000,0.1800,0.0007,-0.0006,182.7228
3,-89.5610,0.0000,0.5000,67.0083,-0.0003,-0.0511,0.0000,0.1800,0.0007,-0.0006,182.7300
5,-89.5610,0.0000,0.5000,67.0113,-0.0003,-0.0511,-0.0000,0.1800,0.0007,-0.0006,182.7355
7,-89.5609,0.0000,0.5000,67.0144,-0.0003,-0.0511,0.0000,0.1800,0.0007,-0.0006,182.7427
9,-89.5609,0.0000,0.5000,67.0175,-0.0003,-0.0511,-0.0000,0.1800,0.0007,-0.0006,182.7500
11,-63.5307,52.0602,0.5000,67.0182,-464.8605,-4.4005,-0.0000,9.5910,0.0228,0.0011,1066.2214
13,26.3798,-3.7323,0.5000,67.7768,-0.8798,-90.2200,-5201.5306,7418.7972,1.5957,0.2636,0.0035
15,20.1831,-2.4444,0.5000,77.9330,-0.0000,-99.2710,-6565.6068,7540.3828,7.8042,0.5386,0.0108
17,16.9721,-1.2028,0.5000,110.8949,-0.0000,-104.5538,-6427.7187,5818.3379,16.0639,0.8067,0.0195
19,15.7123,-0.3011,0.5000,164.8766,-0.0000,-105.9774,-6005.6899,4467.7343,24.1848,1.0795,0.0242
21,15.9353,0.3063,0.5000,223.0761,-0.0000,-104.4376,-5530.8395,3639.6156,31.5237,1.3598,0.0229
23,16.8801,0.5334,0.5000,276.2263,-0.0000,-101.5903,-5081.7442,3137.3500,37.9404,1.6569,0.0191
25,17.9757,0.5388,0.5000,322.1312,-0.0000,-98.4898,-4669.3374,2798.9756,43.3818,1.9794,0.0156
27,18.9591,0.4585,0.5000,360.9014,-0.0000,-95.7760,-4317.4369,2550.4496,47.5709,2.3093,0.0131
29,19.7560,0.3629,0.5000,393.2733,-0.0000,-93.9230,-4072.4153,2381.4680,50.1901,2.5804,0.0116
31,20.3738,0.2785,0.5000,420.1015,-0.0000,-91.7840,-3780.3156,2172.6975,52.9437,2.9634,0.0103
33,20.8437,0.2109,0.5000,442.1978,-0.0000,-90.3102,-3572.2727,2015.2335,54.6304,3.2875,0.0095
35,21.1981,0.1586,0.5000,460.2814,-0.0000,-89.0470,-3389.7171,1869.9966,55.9028,3.6160,0.0090
37,21.4632,0.1182,0.5000,474.9709,-0.0000,-87.6091,-3178.2545,1693.6951,57.1163,4.0599,0.0085
39,21.6590,0.0867,0.5000,486.7907,-0.0000,-86.6702,-3039.0441,1573.4765,57.7570,4.3966,0.0082
41,21.8003,0.0617,0.5000,496.1823,-0.0000,-85.7862,-2908.0036,1457.8970,58.2462,4.7513,0.0080
43,21.8978,0.0415,0.5000,503.5165,-0.0000,-84.9811,-2789.3478,1351.7321,58.5989,5.1086,0.0079
45,21.9597,0.0249,0.5000,509.1044,-0.0000,-84.2391,-2681.1506,1254.1396,58.8535,5.4681,0.0078
47,21.9918,0.0110,0.5000,513.2077,-0.0000,-83.5488,-2581.8808,1164.3207,59.0401,5.8293,0.0078
49,21.9987,-0.0009,0.5000,516.0462,-0.0000,-82.9013,-2490.3056,1081.5603,59.1818,6.1921,0.0078
51,21.9839,-0.0112,0.5000,517.8059,-0.0000,-82.2899,-2405.4307,1005.2117,59.2970,6.5560,0.0078
53,21.9501,-0.0202,0.5000,518.6437,-0.0000,-81.7094,-2326.4402,934.6998,59.3995,6.9207,0.0079
55,21.8994,-0.0283,0.5000,518.6931,-0.0000,-81.1557,-2252.6653,869.5125,59.4998,7.2862,0.0079
57,21.8336,-0.0356,0.5000,518.0672,-0.0000,-80.6257,-2183.5468,809.1937,59.6059,7.6520,0.0080
59,21.7542,-0.0422,0.5000,516.8631,-0.0000,-80.1168,-2118.6177,753.3362,59.7238,8.0179,0.0082
61,21.6621,-0.0482,0.5000,515.1633,-0.0000,-79.6267,-2057.4806,701.5755,59.8579,8.3837,0.0083
63,21.5586,-0.0538,0.5000,513.0390,0.0000,-79.1536,-1999.7971,653.5840,60.0113,8.7493,0.0084
65,21.4445,-0.0590,0.5000,510.5513,-0.0000,-78.7161,-1947.6379,610.9773,60.1780,9.0981,0.0086
67,21.3206,-0.0637,0.5000,507.7527,0.0000,-78.2915,-1898.1407,571.3082,60.3655,9.4463,0.0088
69,21.1876,-0.0681,0.5000,504.6889,-0.0000,-77.4770,-1806.3707,499.9408,60.8060,10.1402,0.0092
71,21.0462,-0.0722,0.5000,501.3994,0.0000,-77.0852,-1763.7652,467.8701,61.0594,10.4857,0.0095
73,20.8969,-0.0760,0.5000,497.9183,0.0000,-76.7026,-1723.1548,437.9808,61.3348,10.8300,0.0097
75,20.7404,-0.0795,0.5000,494.2755,-0.0000,-76.3284,-1684.4129,410.1200,61.6319,11.1730,0.0100
77,20.5772,-0.0828,0.5000,490.4969,0.0000,-75.9618,-1647.4225,384.1468,61.9502,11.5146,0.0103
79,20.4079,-0.0858,0.5000,486.6050,0.0000,-75.6023,-1612.0771,359.9307,62.2890,11.8548,0.0106
81,20.2328,-0.0885,0.5000,482.6198,-0.0000,-75.2492,-1578.2815,337.3502,62.6476,12.1934,0.0109
83,20.0526,-0.0911,0.5000,478.5585,-0.0000,-74.9018,-1545.9484,316.2923,63.0254,12.5304,0.0112
85,19.8675,-0.0934,0.5000,474.4363,0.0000,-74.5596,-1514.9955,296.6522,63.4216,12.8656,0.0116
87,19.6782,-0.0955,0.5000,470.2665,0.0000,-74.2220,-1485.3456,278.3326,63.8351,13.1992,0.0120
89,19.4849,-0.0973,0.5000,466.0608,-0.0000,-73.8886,-1456.9293,261.2429,64.2653,13.5309,0.0124
91,19.2880,-0.0990,0.5000,461.8293,-0.0000,-73.5588,-1429.6844,245.2986,64.7112,13.8607,0.0128
93,19.0880,-0.1005,0.5000,457.5813,0.0000,-73.2322,-1403.5517,230.4211,65.1720,14.1887,0.0133
95,18.8852,-0.1019,0.5000,453.3245,0.0000,-72.9084,-1378.4731,216.5372,65.6467,14.5147,0.0137
