Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
2,-88.8595,0.0000,0.0050,71.1417,-0.0006,-0.3748,0.0000,0.1379,0.0040,-0.0003,163.1851
4,-88.8595,0.0000,0.0050,71.1427,-0.0006,-0.3748,-0.0000,0.1379,0.0040,-0.0003,163.1869
6,-88.8595,0.0000,0.0050,71.1438,-0.0006,-0.3748,-0.0000,0.1379,0.0040,-0.0003,163.1900
8,-88.8595,0.0000,0.0050,71.1448,-0.0006,-0.3748,-0.0000,0.1379,0.0040,-0.0003,163.1930
10,-88.8595,0.0000,0.0050,71.1458,-0.0006,-0.3748,-0.0000,0.1379,0.0040,-0.0003,163.1961
12,32.7768,-3.8642,0.0050,71.3140,-16.4072,-520.7231,-3043.1059,4850.4966,4.1778,0.1128,0.0010
14,25.4397,-2.7846,0.0050,73.0436,-0.0000,-597.8577,-4793.8710,5989.2757,32.4612,0.2830,0.0039
16,21.7929,-1.0419,0.0050,78.6793,-0.0000,-630.0249,-4985.3285,4709.9361,73.0870,0.4235,0.0075
18,20.6291,-0.2458,0.0050,88.9684,-0.0000,-635.4356,-4709.6381,3623.9332,114.8295,0.5669,0.0093
20,20.4818,0.0460,0.0050,102.8522,-0.0000,-630.0397,-4367.5684,2887.1142,152.2503,0.7196,0.0096
22,20.6830,0.1355,0.0050,118.6114,-0.0000,-621.3445,-4051.7659,2387.1080,182.8753,0.8805,0.0092
24,20.9749,0.1491,0.0050,134.7418,-0.0000,-612.1754,-3776.3449,2032.1854,206.4322,1.0480,0.0087
26,21.2605,0.1338,0.0050,150.2778,-0.0000,-599.9286,-3444.0969,1669.5133,229.9190,1.2991,0.0081
28,21.5030,0.1079,0.0050,164.7247,-0.0000,-594.9851,-3315.8863,1543.0228,237.3275,1.4154,0.0079
30,21.6903,0.0795,0.0050,177.8896,-0.0000,-587.0749,-3114.2469,1354.7624,246.9926,1.6272,0.0076
32,21.8219,0.0524,0.0050,189.7472,-0.0000,-580.6833,-2952.8569,1211.1455,252.9798,1.8287,0.0075
34,21.9019,0.0281,0.0050,200.3560,-0.0000,-576.8855,-2857.1835,1128.2082,255.8278,1.9647,0.0074
36,21.9364,0.0070,0.0050,209.8109,-0.0000,-571.7743,-2728.5519,1018.7466,258.9072,2.1710,0.0073
38,21.9320,-0.0109,0.0050,218.2189,-0.0000,-567.2443,-2614.8489,923.6501,261.0119,2.3797,0.0074
40,21.8945,-0.0261,0.0050,225.6865,-0.0000,-563.1761,-2513.4170,840.0419,262.5120,2.5904,0.0074
42,21.8293,-0.0388,0.0050,232.3137,-0.0000,-559.3581,-2419.3913,763.6274,263.6958,2.8096,0.0075
44,21.7407,-0.0495,0.0050,238.1919,-0.0000,-557.5667,-2375.8640,728.6421,264.2113,2.9198,0.0076
46,21.6323,-0.0586,0.0050,243.4030,-0.0000,-554.1748,-2294.8451,664.2742,265.1778,3.1412,0.0078
48,21.5071,-0.0664,0.0050,248.0197,-0.0000,-550.9901,-2220.8667,606.4996,266.1396,3.3639,0.0080
50,21.3675,-0.0730,0.0050,252.1062,-0.0000,-546.8268,-2127.9854,535.5620,267.5945,3.6749,0.0083
52,21.2154,-0.0788,0.0050,255.7193,-0.0000,-544.2837,-2073.7269,495.0929,268.6429,3.8747,0.0086
54,21.0527,-0.0838,0.0050,258.9086,-0.0000,-541.8134,-2023.0133,457.9971,269.8040,4.0750,0.0088
56,20.8805,-0.0882,0.0050,261.7183,-0.0000,-539.4015,-1975.4974,423.9285,271.0886,4.2757,0.0091
58,20.7001,-0.0921,0.0050,264.1870,-0.0000,-537.0362,-1930.9009,392.6514,272.4949,4.4767,0.0095
60,20.5125,-0.0954,0.0050,266.3491,-0.0000,-534.7077,-1888.9692,363.8795,274.0279,4.6779,0.0098
62,20.3186,-0.0984,0.0050,268.2347,-0.0000,-532.4075,-1849.4906,337.3913,275.6853,4.8792,0.0101
64,20.1192,-0.1010,0.0050,269.8709,-0.0000,-530.1285,-1812.2743,312.9960,277.4626,5.0806,0.0105
66,19.9150,-0.1032,0.0050,271.2816,-0.0000,-527.8649,-1777.1537,290.5196,279.3545,5.2819,0.0109
68,19.7066,-0.1051,0.0050,272.4880,-0.0000,-525.6117,-1743.9779,269.8002,281.3554,5.4831,0.0113
70,19.4946,-0.1068,0.0050,273.5093,-0.0000,-523.3645,-1712.6035,250.6910,283.4593,5.6841,0.0118
72,19.2795,-0.1082,0.0050,274.3624,-0.0000,-521.1199,-1682.8961,233.0609,285.6592,5.8850,0.0123
74,19.0618,-0.1094,0.0050,275.0628,-0.0000,-518.8752,-1654.7349,216.7912,287.9487,6.0856,0.0128
76,18.8418,-0.1105,0.0050,275.6242,-0.0000,-516.6281,-1628.0078,201.7725,290.3214,6.2859,0.0133
78,18.6200,-0.1114,0.0050,276.0590,-0.0000,-514.3770,-1602.5993,187.9037,292.7711,6.4858,0.0138
80,18.3965,-0.1121,0.0050,276.3786,-0.0000,-512.1212,-1578.3935,175.0922,295.2919,6.6854,0.0144
82,18.1716,-0.1127,0.0050,276.5929,-0.0000,-509.8605,-1555.2898,163.2532,297.8790,6.8845,0.0150
84,17.9455,-0.1133,0.0050,276.7113,-0.0000,-507.5948,-1533.2045,152.3093,300.5278,7.0831,0.0156
86,17.7184,-0.1138,0.0050,276.7422,-0.0000,-505.3240,-1512.0462,142.1891,303.2336,7.2812,0.0163
88,17.4902,-0.1143,0.0050,276.6930,-0.0000,-503.0494,-1491.7041,132.8268,305.9927,7.4787,0.0169
90,17.2610,-0.1148,0.0050,276.5709,-0.0000,-500.7731,-1472.0924,124.1613,308.8035,7.6756,0.0177
92,17.0309,-0.1153,0.0050,276.3820,-0.0000,-498.4958,-1453.1472,116.1376,311.6630,7.8718,0.0184
94,16.7996,-0.1159,0.0050,276.1321,-0.0000,-496.2194,-1434.8078,108.7042,314.5697,8.0673,0.0192
96,16.5673,-0.1165,0.0050,275.8266,-0.0000,-493.9459,-1416.9665,101.8147,317.5225,8.2620,0.0200
98,16.3337,-0.1171,0.0050,275.4701,-0.0000,-491.6777,-1399.5784,95.4255,320.5212,8.4558,0.0209
100,16.0987,-0.1179,0.0050,275.0671,-0.0000,-489.4169,-1382.5785,89.4971,323.5661,8.6487,0.0218
102,15.8621,-0.1187,0.0050,274.6216,-0.0000,-487.1653,-1365.9457,83.9929,326.6572,8.8407,0.0227
104,15.6239,-0.1196,0.0050,274.1373,-0.0000,-485.5303,-1353.9942,80.2276,328.9402,8.9800,0.0235
106,15.3838,-0.1206,0.0050,273.6175,-0.0000,-483.9026,-1342.1798,76.6573,331.2491,9.1187,0.0242
108,15.1416,-0.1216,0.0050,273.0653,-0.0000,-482.2827,-1330.4803,73.2696,333.5844,9.2567,0.0250
110,14.8972,-0.1228,0.0050,272.4835,-0.0000,-479.0685,-1307.4145,66.9855,338.3352,9.5310,0.0266
112,14.6504,-0.1240,0.0050,271.8747,-0.0000,-477.4758,-1296.0038,64.0527,340.7525,9.6670,0.0275
114,14.4011,-0.1253,0.0050,271.2410,-0.0000,-474.9188,-1277.6738,59.5072,344.7266,9.8858,0.0290
116,14.1492,-0.1265,0.0050,270.5848,-0.0000,-472.9816,-1263.7593,56.1222,347.8164,10.0516,0.0302
118,13.8950,-0.1277,0.0050,269.9080,-0.0000,-471.3534,-1252.0322,53.3064,350.4674,10.1911,0.0313
120,13.6383,-0.1290,0.0050,269.2122,-0.0000,-469.3684,-1237.6819,49.9591,353.7669,10.3611,0.0327
