Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0,-89.0284,0.0000,0.0050,68.4787,-0.0003,-0.0656,-0.0000,0.1208,0.0003,-0.0004,187.8808,0.1879,0.1879
2,-89.0284,0.0000,0.0050,68.4800,-0.0003,-0.0656,-0.0000,0.1209,0.0003,-0.0004,187.8838,0.1879,0.1879
4,-89.0284,0.0000,0.0050,68.4812,-0.0003,-0.0656,-0.0000,0.1209,0.0003,-0.0004,187.8869,0.1879,0.1879
6,-89.0284,0.0000,0.0050,68.4825,-0.0003,-0.0656,-0.0000,0.1209,0.0003,-0.0004,187.8900,0.1879,0.1879
8,-89.0283,0.0000,0.0050,68.4838,-0.0003,-0.0656,-0.0000,0.1209,0.0003,-0.0004,187.8930,0.1879,0.1879
10,-88.7633,52.9817,0.0050,68.4851,-0.0004,-0.0683,-0.0000,0.1527,0.0004,-0.0003,232.4609,0.2325,0.2325
12,23.9872,-0.1667,0.0050,68.6208,-105.1531,-119.5982,-3602.1102,2117.3441,0.1626,0.0830,0.0040,-1.6041,-1.6041
14,23.2072,-0.4642,0.0050,70.0888,-0.0000,-115.9518,-4533.2106,3250.0691,1.5727,0.2448,0.0046,-1.3973,-1.3973
16,22.4645,-0.2531,0.0050,74.5686,-0.0000,-114.2810,-4332.1521,2902.3526,4.0762,0.4060,0.0052,-1.5396,-1.5396
18,22.1728,-0.0581,0.0050,82.5285,-0.0000,-113.0245,-4029.3828,2385.8537,6.8070,0.5722,0.0055,-1.7492,-1.7492
20,22.1603,0.0309,0.0050,93.1742,-0.0000,-111.6760,-3735.1546,1953.2983,9.2631,0.7460,0.0055,-1.8835,-1.8835
22,22.2553,0.0571,0.0050,105.3038,-0.0000,-110.3344,-3473.8721,1624.0860,11.2519,0.9267,0.0054,-1.9479,-1.9479
24,22.3697,0.0541,0.0050,117.8535,-0.0000,-109.0857,-3247.8414,1375.7634,12.7589,1.1127,0.0053,-1.9673,-1.9673
26,22.4632,0.0379,0.0050,130.0995,-0.0000,-107.7037,-3008.3400,1143.9756,14.0724,1.3515,0.0052,-1.9566,-1.9566
28,22.5178,0.0162,0.0050,141.6342,-0.0000,-106.9397,-2877.7564,1029.0311,14.6476,1.5055,0.0052,-1.9395,-1.9395
30,22.5270,-0.0070,0.0050,152.2699,-0.0000,-106.0532,-2725.2609,903.2635,15.1865,1.7127,0.0052,-1.9111,-1.9111
32,22.4905,-0.0292,0.0050,161.9515,-0.0000,-105.3034,-2593.3510,800.6615,15.5396,1.9214,0.0052,-1.8805,-1.8805
34,22.4116,-0.0493,0.0050,170.6966,-0.0000,-104.7508,-2493.1972,725.9894,15.7434,2.1023,0.0053,-1.8541,-1.8541
36,22.2952,-0.0667,0.0050,178.5596,-0.0000,-104.2712,-2403.5436,661.2243,15.8857,2.2835,0.0054,-1.8284,-1.8284
38,22.1465,-0.0814,0.0050,185.6101,-0.0000,-103.6601,-2285.2163,578.4653,16.0297,2.5556,0.0056,-1.7918,-1.7918
40,21.9710,-0.0937,0.0050,191.9217,-0.0000,-103.3080,-2215.2075,530.9208,16.1009,2.7369,0.0058,-1.7688,-1.7688
42,21.7733,-0.1037,0.0050,197.5668,-0.0000,-102.9887,-2151.0939,488.3249,16.1637,2.9179,0.0060,-1.7467,-1.7467
44,21.5575,-0.1118,0.0050,202.6127,-0.0000,-102.6941,-2092.0528,449.9479,16.2248,3.0985,0.0062,-1.7255,-1.7255
46,21.3272,-0.1182,0.0050,207.1210,-0.0000,-102.2555,-2006.1342,395.6835,16.3298,3.3880,0.0066,-1.6930,-1.6930
48,21.0854,-0.1234,0.0050,211.1474,-0.0000,-102.0465,-1966.7590,371.5086,16.3883,3.5323,0.0068,-1.6774,-1.6774
50,20.8345,-0.1273,0.0050,214.7414,-0.0000,-101.8414,-1929.4796,349.0442,16.4519,3.6761,0.0070,-1.6621,-1.6621
52,20.5767,-0.1303,0.0050,217.9471,-0.0000,-101.4359,-1860.5113,308.6963,16.5957,3.9627,0.0075,-1.6327,-1.6327
54,20.3136,-0.1325,0.0050,220.8039,-0.0000,-101.2327,-1828.5397,290.5511,16.6762,4.1053,0.0078,-1.6184,-1.6184
56,20.0469,-0.1341,0.0050,223.3465,-0.0000,-101.0276,-1798.0827,273.6159,16.7624,4.2476,0.0081,-1.6045,-1.6045
58,19.7778,-0.1350,0.0050,225.6058,-0.0000,-100.6081,-1741.3176,243.0124,16.9509,4.5308,0.0087,-1.5774,-1.5774
60,19.5074,-0.1354,0.0050,227.6092,-0.0000,-100.3923,-1714.8467,229.1829,17.0529,4.6718,0.0090,-1.5643,-1.5643
62,19.2366,-0.1353,0.0050,229.3813,-0.0000,-99.9454,-1665.3788,204.1231,17.2705,4.9524,0.0097,-1.5390,-1.5390
64,18.9664,-0.1348,0.0050,230.9437,-0.0000,-99.7135,-1642.2542,192.7727,17.3854,5.0922,0.0100,-1.5267,-1.5267
66,18.6974,-0.1340,0.0050,232.3160,-0.0000,-99.4755,-1620.1332,182.1364,17.5041,5.2315,0.0104,-1.5147,-1.5147
