Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,30.8558,22.7135,-89.0641,-10.8198,-33.1753,-77.8863,-0.1186
751,30.8558,22.7134,-89.0636,-10.8197,-33.1751,-77.8859,-0.1186
752,30.8557,22.7134,-89.0631,-10.8195,-33.1748,-77.8855,-0.1186
753,30.8557,22.7134,-89.0627,-10.8194,-33.1746,-77.8851,-0.1186
754,30.8556,22.7134,-89.0622,-10.8193,-33.1744,-77.8846,-0.1186
755,30.8556,22.7135,-89.0617,-10.8191,-33.1741,-77.8842,-0.1186
756,30.8555,22.7134,-89.0613,-10.8190,-33.1739,-77.8838,-0.1186
757,30.8555,22.7134,-89.0608,-10.8188,-33.1737,-77.8834,-0.1187
758,30.8555,22.7134,-89.0604,-10.8187,-33.1735,-77.8830,-0.1187
759,30.8554,22.7134,-89.0599,-10.8186,-33.1732,-77.8826,-0.1187
760,30.8554,22.7135,-89.0594,-10.8184,-33.1730,-77.8822,-0.1187
761,30.8553,22.7134,-89.0590,-10.8183,-33.1728,-77.8817,-0.1187
762,30.8553,22.7134,-89.0585,-10.8182,-33.1725,-77.8813,-0.1187
763,30.8552,22.7134,-89.0581,-10.8180,-33.1723,-77.8809,-0.1187
764,30.8602,22.7134,-89.0576,-10.8179,-33.1721,-77.8805,-0.1187
765,30.8601,22.7134,-89.0572,-10.8178,-33.1719,-77.8801,-0.1187
766,30.8601,22.7134,-89.0567,-10.8176,-33.1716,-77.8797,-0.1187
767,30.8600,22.7134,-89.0562,-10.8175,-33.1714,-77.8793,-0.1188
768,30.8600,22.7134,-89.0558,-10.8173,-33.1712,-77.8789,-0.1188
769,30.8600,22.7134,-89.0553,-10.8172,-33.1709,-77.8784,-0.1188
770,30.8599,22.7134,-89.0549,-10.8171,-33.1707,-77.8780,-0.1188
771,30.8599,22.7134,-89.0544,-10.8169,-33.1705,-77.8776,-0.1188
772,30.8598,22.7134,-89.0539,-10.8168,-33.1703,-77.8772,-0.1188
773,30.8598,22.7134,-89.0535,-10.8166,-33.1700,-77.8768,-0.1188
774,30.8597,22.7134,-89.0530,-10.8165,-33.1698,-77.8764,-0.1188
775,30.8597,22.7134,-89.0526,-10.8164,-33.1696,-77.8760,-0.1188
776,30.8596,22.7134,-89.0521,-10.8162,-33.1694,-77.8756,-0.1188
777,30.8596,22.7134,-89.0517,-10.8161,-33.1691,-77.8751,-0.1188
778,30.8596,22.7134,-89.0512,-10.8160,-33.1689,-77.8747,-0.1188
779,30.8595,22.7134,-89.0507,-10.8158,-33.1687,-77.8743,-0.1189
780,30.8595,22.7134,-89.0503,-10.8157,-33.1684,-77.8739,-0.1189
781,30.8594,22.7134,-89.0498,-10.8156,-33.1682,-77.8735,-0.1189
782,30.8594,22.7134,-89.0494,-10.8154,-33.1680,-77.8731,-0.1189
783,30.8593,22.7134,-89.0489,-10.8153,-33.1678,-77.8727,-0.1189
784,30.8593,22.7134,-89.0485,-10.8152,-33.1675,-77.8723,-0.1189
785,30.8592,22.7134,-89.0480,-10.8150,-33.1673,-77.8719,-0.1189
786,30.8642,22.7134,-89.0475,-10.8149,-33.1671,-77.8715,-0.1189
787,30.8642,22.7134,-89.0471,-10.8147,-33.1668,-77.8710,-0.1189
788,30.8641,22.7134,-89.0466,-10.8146,-33.1666,-77.8706,-0.1189
789,30.8641,22.7134,-89.0462,-10.8145,-33.1664,-77.8702,-0.1190
790,30.8640,22.7134,-89.0457,-10.8143,-33.1662,-77.8698,-0.1190
791,30.8640,22.7134,-89.0453,-10.8142,-33.1659,-77.8694,-0.1190
792,30.8639,22.7134,-89.0448,-10.8141,-33.1657,-77.8690,-0.1190
793,30.8639,22.7134,-89.0444,-10.8139,-33.1655,-77.8686,-0.1190
794,30.8638,22.7134,-89.0439,-10.8138,-33.1653,-77.8682,-0.1190
795,30.8638,22.7134,-89.0434,-10.8137,-33.1650,-77.8678,-0.1190
796,30.8638,22.7134,-89.0430,-10.8135,-33.1648,-77.8674,-0.1190
797,30.8637,22.7134,-89.0425,-10.8134,-33.1646,-77.8670,-0.1190
798,30.8637,22.7134,-89.0421,-10.8133,-33.1644,-77.8665,-0.1190
799,30.8636,22.7134,-89.0416,-10.8131,-33.1641,-77.8661,-0.1191
800,30.8636,22.7134,-89.0412,-10.8130,-33.1639,-77.8657,-0.1191
801,30.8635,22.7134,-89.0407,-10.8129,-33.1637,-77.8653,-0.1191
802,30.8635,22.7134,-89.0403,-10.8127,-33.1634,-77.8649,-0.1191
803,30.8634,22.7133,-89.0398,-10.8126,-33.1632,-77.8645,-0.1191
804,30.8634,22.7134,-89.0394,-10.8124,-33.1630,-77.8641,-0.1191
805,30.8684,22.7134,-89.0389,-10.8123,-33.1628,-77.8637,-0.1191
806,30.8683,22.7134,-89.0385,-10.8122,-33.1626,-77.8633,-0.1191
807,30.8683,22.7134,-89.0380,-10.8121,-33.1623,-77.8629,-0.1191
808,30.8682,22.7133,-89.0375,-10.8119,-33.1621,-77.8625,-0.1191
809,30.8682,22.7134,-89.0371,-10.8118,-33.1619,-77.8621,-0.1191
810,30.8681,22.7134,-89.0366,-10.8116,-33.1616,-77.8616,-0.1192
811,30.8681,22.7133,-89.0362,-10.8115,-33.1614,-77.8612,-0.1192
812,30.8680,22.7134,-89.0357,-10.8114,-33.1612,-77.8608,-0.1192
813,30.8680,22.7133,-89.0353,-10.8112,-33.1610,-77.8604,-0.1192
814,30.8679,22.7133,-89.0348,-10.8111,-33.1607,-77.8600,-0.1192
815,30.8679,22.7133,-89.0344,-10.8110,-33.1605,-77.8596,-0.1192
816,30.8679,22.7133,-89.0339,-10.8108,-33.1603,-77.8592,-0.1192
817,30.8678,22.7133,-89.0335,-10.8107,-33.1601,-77.8588,-0.1192
818,30.8678,22.7133,-89.0330,-10.8106,-33.1598,-77.8584,-0.1192
819,30.8677,22.7133,-89.0326,-10.8104,-33.1596,-77.8580,-0.1192
820,30.8677,22.7133,-89.0321,-10.8103,-33.1594,-77.8576,-0.1192
821,30.8676,22.7133,-89.0317,-10.8102,-33.1592,-77.8572,-0.1193
822,30.8676,22.7133,-89.0312,-10.8100,-33.1589,-77.8568,-0.1193
823,30.8675,22.7133,-89.0308,-10.8099,-33.1587,-77.8564,-0.1193
824,30.8725,22.7133,-89.0303,-10.8098,-33.1585,-77.8560,-0.1193
825,30.8675,22.7133,-89.0299,-10.8097,-33.1583,-77.8555,-0.1193
826,30.8724,22.7133,-89.0294,-10.8095,-33.1580,-77.8551,-0.1193
827,30.8724,22.7133,-89.0290,-10.8094,-33.1578,-77.8547,-0.1193
828,30.8723,22.7133,-89.0285,-10.8092,-33.1576,-77.8543,-0.1193
829,30.8723,22.7133,-89.0281,-10.8091,-33.1574,-77.8539,-0.1193
830,30.8722,22.7133,-89.0276,-10.8090,-33.1572,-77.8535,-0.1193
831,30.8722,22.7133,-89.0272,-10.8088,-33.1569,-77.8531,-0.1194
832,30.8721,22.7133,-89.0267,-10.8087,-33.1567,-77.8527,-0.1194
833,30.8721,22.7133,-89.0263,-10.8086,-33.1565,-77.8523,-0.1194
834,30.8721,22.7133,-89.0258,-10.8084,-33.1563,-77.8519,-0.1194
835,30.8720,22.7133,-89.0254,-10.8083,-33.1560,-77.8515,-0.1194
836,30.8720,22.7133,-89.0249,-10.8082,-33.1558,-77.8511,-0.1194
837,30.8719,22.7133,-89.0245,-10.8080,-33.1556,-77.8507,-0.1194
838,30.8719,22.7133,-89.0240,-10.8079,-33.1554,-77.8503,-0.1194
839,30.8718,22.7133,-89.0236,-10.8078,-33.1551,-77.8499,-0.1194
840,30.8718,22.7133,-89.0231,-10.8076,-33.1549,-77.8495,-0.1194
841,30.8717,22.7133,-89.0227,-10.8075,-33.1547,-77.8491,-0.1194
842,30.8717,22.7133,-89.0222,-10.8074,-33.1545,-77.8487,-0.1195
843,30.8717,22.7133,-89.0218,-10.8072,-33.1542,-77.8483,-0.1195
844,30.8716,22.7133,-89.0213,-10.8071,-33.1540,-77.8479,-0.1195
845,30.8716,22.7133,-89.0209,-10.8070,-33.1538,-77.8475,-0.1195
846,30.8715,22.7133,-89.0204,-10.8068,-33.1536,-77.8471,-0.1195
847,30.8765,22.7133,-89.0200,-10.8067,-33.1534,-77.8467,-0.1195
848,30.8764,22.7133,-89.0195,-10.8066,-33.1531,-77.8463,-0.1195
849,30.8764,22.7132,-89.0191,-10.8065,-33.1529,-77.8459,-0.1195
850,30.8763,22.7132,-89.0186,-10.8063,-33.1527,-77.8454,-0.1195
851,30.8763,22.7132,-89.0182,-10.8062,-33.1525,-77.8450,-0.1195
852,30.8762,22.7132,-89.0177,-10.8060,-33.1522,-77.8446,-0.1195
853,30.8762,22.7132,-89.0173,-10.8059,-33.1520,-77.8442,-0.1196
854,30.8762,22.7132,-89.0168,-10.8058,-33.1518,-77.8438,-0.1196
855,30.8761,22.7132,-89.0164,-10.8057,-33.1516,-77.8434,-0.1196
856,30.8761,22.7132,-89.0160,-10.8055,-33.1514,-77.8430,-0.1196
857,30.8760,22.7132,-89.0155,-10.8054,-33.1511,-77.8426,-0.1196
858,30.8760,22.7132,-89.0151,-10.8053,-33.1509,-77.8422,-0.1196
859,30.8759,22.7132,-89.0146,-10.8051,-33.1507,-77.8418,-0.1196
860,30.8759,22.7132,-89.0142,-10.8050,-33.1505,-77.8414,-0.1196
861,30.8758,22.7132,-89.0137,-10.8049,-33.1502,-77.8410,-0.1196
862,30.8758,22.7132,-89.0133,-10.8047,-33.1500,-77.8406,-0.1196
863,30.8758,22.7132,-89.0128,-10.8046,-33.1498,-77.8402,-0.1196
864,30.8757,22.7132,-89.0124,-10.8045,-33.1496,-77.8398,-0.1197
865,30.8757,22.7132,-89.0119,-10.8043,-33.1494,-77.8394,-0.1197
866,30.8756,22.7132,-89.0115,-10.8042,-33.1491,-77.8390,-0.1197
867,30.8806,22.7132,-89.0110,-10.8041,-33.1489,-77.8386,-0.1197
868,30.8805,22.7132,-89.0106,-10.8039,-33.1487,-77.8382,-0.1197
869,30.8805,22.7132,-89.0102,-10.8038,-33.1485,-77.8378,-0.1197
870,30.8804,22.7132,-89.0097,-10.8037,-33.1483,-77.8374,-0.1197
871,30.8804,22.7132,-89.0093,-10.8035,-33.1480,-77.8370,-0.1197
872,30.8804,22.7132,-89.0088,-10.8034,-33.1478,-77.8366,-0.1197
873,30.8803,22.7132,-89.0084,-10.8033,-33.1476,-77.8362,-0.1197
874,30.8803,22.7132,-89.0079,-10.8032,-33.1474,-77.8358,-0.1197
875,30.8802,22.7132,-89.0075,-10.8030,-33.1472,-77.8354,-0.1198
876,30.8802,22.7132,-89.0070,-10.8029,-33.1469,-77.8350,-0.1198
877,30.8801,22.7132,-89.0066,-10.8028,-33.1467,-77.8346,-0.1198
878,30.8801,22.7132,-89.0062,-10.8026,-33.1465,-77.8342,-0.1198
879,30.8800,22.7132,-89.0057,-10.8025,-33.1463,-77.8338,-0.1198
880,30.8800,22.7132,-89.0053,-10.8024,-33.1461,-77.8334,-0.1198
881,30.8800,22.7131,-89.0048,-10.8022,-33.1458,-77.8330,-0.1198
882,30.8799,22.7132,-89.0044,-10.8021,-33.1456,-77.8326,-0.1198
883,30.8799,22.7132,-89.0039,-10.8020,-33.1454,-77.8322,-0.1198
884,30.8798,22.7131,-89.0035,-10.8019,-33.1452,-77.8318,-0.1198
885,30.8798,22.7131,-89.0031,-10.8017,-33.1450,-77.8314,-0.1198
886,30.8797,22.7131,-89.0026,-10.8016,-33.1447,-77.8310,-0.1199
887,30.8797,22.7131,-89.0022,-10.8015,-33.1445,-77.8306,-0.1199
888,30.8796,22.7131,-89.0017,-10.8013,-33.1443,-77.8302,-0.1199
889,30.8796,22.7131,-89.0013,-10.8012,-33.1441,-77.8298,-0.1199
890,30.8846,22.7131,-89.0008,-10.8011,-33.1439,-77.8294,-0.1199
891,30.8845,22.7131,-89.0004,-10.8009,-33.1436,-77.8290,-0.1199
892,30.8845,22.7131,-89.0000,-10.8008,-33.1434,-77.8287,-0.1199
893,30.8844,22.7131,-88.9995,-10.8007,-33.1432,-77.8283,-0.1199
894,30.8844,22.7131,-88.9991,-10.8005,-33.1430,-77.8279,-0.1199
895,30.8843,22.7131,-88.9986,-10.8004,-33.1428,-77.8275,-0.1199
