Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
751,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8173
752,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
753,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
754,39.5000,41.3119,-87.9928,2.5205,-23.3404,-75.0623,0.8175
755,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
756,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
757,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8173
758,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
759,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
760,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8176
761,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
762,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
763,39.5000,41.3120,-87.9928,2.5205,-23.3404,-75.0623,0.8175
764,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
765,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
766,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8173
767,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
768,39.5000,41.1466,-87.9945,2.4042,-23.4240,-75.0804,0.2803
769,39.5000,41.3120,-87.9928,2.5205,-23.3404,-75.0623,0.8175
770,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
771,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
772,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8173
773,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
774,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
775,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8174
776,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
777,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
778,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8175
779,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
780,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
781,39.5000,41.3120,-87.9928,2.5205,-23.3404,-75.0623,0.8174
782,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
783,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
784,39.5000,41.3120,-87.9928,2.5205,-23.3404,-75.0623,0.8175
785,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
786,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
787,39.5000,41.3119,-87.9928,2.5205,-23.3404,-75.0623,0.8175
788,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
789,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
790,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8173
791,39.5000,41.2884,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
792,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2804
793,39.5000,41.3120,-87.9928,2.5205,-23.3404,-75.0623,0.8176
794,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
795,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
796,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8173
797,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
798,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2804
799,39.5000,41.3120,-87.9928,2.5205,-23.3404,-75.0623,0.8174
800,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
801,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
802,39.5000,41.3120,-87.9928,2.5206,-23.3404,-75.0623,0.8174
803,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
804,39.5000,41.1465,-87.9945,2.4042,-23.4240,-75.0804,0.2803
805,39.5000,41.3119,-87.9928,2.5205,-23.3404,-75.0623,0.8177
806,39.5000,41.2885,-87.9931,2.5040,-23.3523,-75.0650,-0.0293
