Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
0.50,-88.0165,-0.0000,0.5000,74.1015,-1.9175,-0.3196,-0.0002,-0.0006,-0.0055,-0.0040,-9.6406
1.50,-88.0165,-0.0000,0.5000,74.1009,-1.9175,-0.3197,-0.0002,-0.0006,-0.0055,-0.0040,-9.6409
2.50,-88.0165,-0.0000,0.5000,74.1002,-1.9175,-0.3197,-0.0002,-0.0006,-0.0055,-0.0040,-9.6409
3.50,-88.0165,-0.0000,0.5000,74.0996,-1.9175,-0.3197,-0.0002,-0.0006,-0.0055,-0.0040,-9.6411
4.50,-88.0165,-0.0000,0.5000,74.0990,-1.9175,-0.3197,-0.0002,-0.0006,-0.0055,-0.0040,-9.6412
5.50,-88.0165,-0.0000,0.5000,74.0984,-1.9175,-0.3197,-0.0002,-0.0006,-0.0055,-0.0040,-9.6414
6.50,-88.0165,-0.0000,0.5000,74.0978,-1.9175,-0.3197,-0.0002,-0.0006,-0.0054,-0.0040,-9.6416
7.50,-88.0165,-0.0000,0.5000,74.0972,-1.9175,-0.3197,-0.0002,-0.0006,-0.0054,-0.0040,-9.6417
8.50,-88.0165,-0.0000,0.5000,74.0967,-1.9175,-0.3197,-0.0002,-0.0006,-0.0054,-0.0040,-9.6418
9.50,-88.0165,-0.0000,0.5000,74.0961,-1.9175,-0.3197,-0.0002,-0.0006,-0.0054,-0.0040,-9.6420
10.50,-48.4054,79.2219,0.5000,74.0950,-1217.9440,-50.6334,-0.0829,1.7116,6.2440,0.0127,305.4231
11.50,17.3969,118.1636,0.5000,74.0925,-104207.1321,-615.4259,-851.9549,60.1090,13.2241,0.1859,0.8000
12.50,31.4611,7.0162,0.5000,74.1824,-3903.5081,-491.3216,-2224.7718,526.5064,20.0844,1.1522,0.2040
13.50,35.4634,3.2582,0.5000,74.8073,-1600.9356,-438.7552,-1992.4457,763.3923,38.5518,2.3664,0.1398
14.50,37.4357,1.6526,0.5000,76.4638,-737.5126,-410.6809,-1727.7182,845.7699,59.3054,3.7647,0.1157
15.50,38.5062,0.9210,0.5000,79.4126,-376.6443,-395.0300,-1517.3887,840.2341,77.7815,5.2685,0.1043
16.50,39.1408,0.5590,0.5000,83.7017,-205.1020,-385.1357,-1349.9456,791.7153,93.2494,6.8861,0.0980
17.50,39.5487,0.3671,0.5000,89.2360,-119.5977,-378.5471,-1222.6229,728.7689,105.1688,8.5230,0.0943
18.50,39.8321,0.2606,0.5000,95.8248,-67.3439,-373.0362,-1111.8211,654.7031,115.5983,10.4392,0.0915
19.50,40.0456,0.2006,0.5000,103.2242,-41.8790,-369.2607,-1039.3132,594.9943,122.4851,12.1228,0.0897
20.50,40.2196,0.1668,0.5000,111.1773,-27.1223,-366.2193,-986.2669,544.5058,127.5654,13.7155,0.0884
21.50,40.3717,0.1480,0.5000,119.4453,-16.6988,-363.1362,-939.0188,493.9478,132.0863,15.5338,0.0871
