Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-88.0167,-0.0000,0.5000,73.4907,-1.9477,-0.3189,-0.0002,  -0,-0.0067,-0.0041,-10.4610,-0.0108,0.0000
1.50,-88.0167,-0.0000,0.5000,73.4897,-1.9477,-0.3189,-0.0002,  -0,-0.0067,-0.0041,-10.4614,-0.0108,0.0000
2.50,-88.0167,-0.0000,0.5000,73.4887,-1.9477,-0.3189,-0.0002,  -0,-0.0067,-0.0041,-10.4617,-0.0108,0.0000
3.50,-88.0167,-0.0000,0.5000,73.4878,-1.9477,-0.3189,-0.0002,  -0,-0.0067,-0.0041,-10.4621,-0.0108,0.0000
4.50,-88.0167,-0.0000,0.5000,73.4868,-1.9477,-0.3190,-0.0002,  -0,-0.0067,-0.0041,-10.4625,-0.0108,0.0000
5.50,-88.0167,-0.0000,0.5000,73.4858,-1.9477,-0.3190,-0.0002,  -0,-0.0067,-0.0041,-10.4628,-0.0108,0.0000
6.50,-88.0167,-0.0000,0.5000,73.4849,-1.9477,-0.3190,-0.0002,  -0,-0.0067,-0.0041,-10.4632,-0.0108,0.0000
7.50,-88.0167,-0.0000,0.5000,73.4840,-1.9477,-0.3190,-0.0002,  -0,-0.0067,-0.0041,-10.4635,-0.0108,0.0000
8.50,-88.0167,-0.0000,0.5000,73.4831,-1.9477,-0.3190,-0.0002,  -0,-0.0067,-0.0041,-10.4638,-0.0108,0.0000
9.50,-88.0167,-0.0000,0.5000,73.4821,-1.9477,-0.3190,-0.0002,  -0,-0.0067,-0.0041,-10.4642,-0.0108,0.0000
10.50,-48.4052,79.2231,0.5000,73.4807,-1236.9305,-50.5136,-0.0828,   2,7.0547,0.0129,305.3972,0.2636,0.2636
11.50,18.5067,120.1111,0.5000,73.4779,-91491.5409,-604.5717,-872.8651,  66,14.9578,0.1972,0.6997,-1.3961,-1.3961
12.50,31.8109,6.9620,0.5000,73.5653,-3976.3335,-487.9437,-2187.4839, 526,20.4536,1.1660,0.1994,-2.1275,-2.1275
