Kmax,Ku,n,halfmax,Vhalf,slope
712100,0.0001795,0.9343,24420000,-14.66,0.02916
26750000,0.0001483,0.8436,4.13e+08,-67.5,0.06477
801300,0.0001706,1.016,24850000,-72.57,0.03225
9883000,0.0001371,0.9805,378600000,-40.66,0.0261
148700,0.000177,0.8687,2588000,-67.27,0.05746
992400,0.0001756,0.9373,26600000,-58.6,0.03731
2685000,0.0001722,0.8579,54070000,-57.53,0.04966
1221000,0.0001545,1.04,49470000,-59.47,0.02468
3697000,0.0001789,1.08,167100000,-69.13,0.02212
2056000,0.0001671,0.9752,67490000,-63.43,0.03046
6560000,0.0001536,0.9467,199300000,-60.26,0.03292
42.39,0.0001876,1.018,1538,-33.81,0.02756
5852000,0.0001803,0.9725,1.75e+08,-66.82,0.03344
1748000,0.000176,0.9926,56520000,-61.76,0.03093
2416000,0.0001624,0.8639,46620000,-54.74,0.05182
1607000,0.0001763,0.9854,5.1e+07,-63.5,0.03151
11130000,0.0001686,0.9304,2.69e+08,-21.83,0.04138
3934000,0.0001885,0.9097,79350000,-68.98,0.04958
2871000,0.000175,0.9614,72540000,-68.03,0.03958
5644000,0.0001609,0.9619,1.32e+08,-71.83,0.04276
