Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-88.0147,-0.0000,0.5000,74.9889,-2.2052,-0.3210,-0.0002,  -0,-0.0034,-0.0038,-8.3850,-0.0087,0.0000
1.50,-88.0147,-0.0000,0.5000,74.9888,-2.2052,-0.3210,-0.0002,  -0,-0.0034,-0.0038,-8.3849,-0.0087,0.0000
2.50,-88.0147,-0.0000,0.5000,74.9886,-2.2052,-0.3210,-0.0002,  -0,-0.0034,-0.0038,-8.3848,-0.0087,0.0000
3.50,-88.0147,-0.0000,0.5000,74.9885,-2.2052,-0.3210,-0.0002,  -0,-0.0034,-0.0038,-8.3846,-0.0087,0.0000
4.50,-88.0147,-0.0000,0.5000,74.9884,-2.2052,-0.3210,-0.0002,  -0,-0.0034,-0.0038,-8.3845,-0.0087,0.0000
5.50,-88.0147,-0.0000,0.5000,74.9883,-2.2052,-0.3210,-0.0002,  -0,-0.0033,-0.0038,-8.3843,-0.0087,0.0000
6.50,-88.0147,-0.0000,0.5000,74.9882,-2.2052,-0.3210,-0.0002,  -0,-0.0033,-0.0038,-8.3842,-0.0087,0.0000
7.50,-88.0147,-0.0000,0.5000,74.9881,-2.2052,-0.3211,-0.0002,  -0,-0.0033,-0.0038,-8.3841,-0.0087,0.0000
8.50,-88.0147,-0.0000,0.5000,74.9880,-2.2052,-0.3211,-0.0002,  -0,-0.0033,-0.0037,-8.3839,-0.0087,0.0000
9.50,-88.0147,-0.0000,0.5000,74.9879,-2.2052,-0.3211,-0.0002,  -0,-0.0033,-0.0037,-8.3837,-0.0087,0.0000
10.50,-48.3912,79.2469,0.5000,74.9873,-1402.4646,-50.9049,-0.0834,   2,4.4047,0.0119,305.0966,0.2602,0.2602
11.50,25.1513,130.8355,0.5000,74.9861,-35577.5817,-560.2235,-954.6657, 107,9.9537,0.2337,0.3737,-1.3969,-1.3969
12.50,34.6864,6.5581,0.5000,75.0871,-3875.1861,-462.4347,-1919.8475, 611,21.6790,1.2697,0.1496,-1.7483,-1.7483
