Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
0.50,-88.0165,-0.0000,0.5000,73.5446,-1.9483,-0.3190,-0.0002,-0.0007,-0.0066,-0.0041,-10.4715
1.50,-88.0165,-0.0000,0.5000,73.5436,-1.9483,-0.3190,-0.0002,-0.0007,-0.0066,-0.0041,-10.4722
2.50,-88.0165,-0.0000,0.5000,73.5427,-1.9483,-0.3190,-0.0002,-0.0007,-0.0066,-0.0041,-10.4722
3.50,-88.0165,-0.0000,0.5000,73.5418,-1.9483,-0.3190,-0.0002,-0.0007,-0.0066,-0.0041,-10.4723
4.50,-88.0165,-0.0000,0.5000,73.5409,-1.9483,-0.3190,-0.0002,-0.0007,-0.0066,-0.0041,-10.4727
5.50,-88.0165,-0.0000,0.5000,73.5400,-1.9483,-0.3190,-0.0002,-0.0007,-0.0066,-0.0041,-10.4730
6.50,-88.0165,-0.0000,0.5000,73.5391,-1.9483,-0.3190,-0.0002,-0.0007,-0.0065,-0.0041,-10.4733
7.50,-88.0165,-0.0000,0.5000,73.5382,-1.9483,-0.3190,-0.0002,-0.0007,-0.0065,-0.0041,-10.4736
8.50,-88.0165,-0.0000,0.5000,73.5373,-1.9483,-0.3191,-0.0002,-0.0007,-0.0065,-0.0041,-10.4739
9.50,-88.0165,-0.0000,0.5000,73.5364,-1.9483,-0.3191,-0.0002,-0.0007,-0.0065,-0.0041,-10.4742
10.50,-48.4051,79.2227,0.5000,73.5350,-1237.3309,-50.5259,-0.0828,1.7070,6.9125,0.0128,305.3935
11.50,18.5255,120.1420,0.5000,73.5323,-93263.6113,-605.3702,-868.6490,64.8267,14.5324,0.1951,0.7086
12.50,31.8166,6.9618,0.5000,73.6201,-3991.2514,-488.2193,-2187.7708,525.1314,19.2226,1.1565,0.1997
13.50,35.7548,3.1961,0.5000,74.2201,-1598.8784,-435.0532,-1960.9461,768.0376,35.1430,2.4201,0.1360
14.50,37.6788,1.6091,0.5000,75.8012,-736.9012,-407.4595,-1707.5236,848.1936,53.2125,3.8407,0.1131
15.50,38.7183,0.8937,0.5000,78.6089,-367.5988,-391.5593,-1498.1831,839.7515,70.2270,5.4280,0.1020
16.50,39.3341,0.5427,0.5000,82.6875,-202.3595,-382.0294,-1339.4037,789.9414,84.0030,7.0499,0.0962
17.50,39.7313,0.3579,0.5000,87.9465,-120.4556,-375.7487,-1220.0874,728.5213,94.6651,8.6495,0.0927
18.50,40.0089,0.2558,0.5000,94.2065,-71.4611,-370.6999,-1119.8527,660.7043,103.8493,10.4090,0.0902
19.50,40.2194,0.1980,0.5000,101.2399,-43.0241,-366.6238,-1041.5957,596.3174,111.2658,12.2249,0.0883
20.50,40.3916,0.1652,0.5000,108.8067,-26.6044,-363.2657,-982.8526,540.2725,117.0575,14.0106,0.0869
21.50,40.5421,0.1464,0.5000,116.6836,-15.6533,-359.9359,-931.8452,485.5107,122.2781,16.0287,0.0855
22.50,40.6799,0.1354,0.5000,124.6802,-9.6648,-357.1420,-894.8091,442.2000,126.1540,17.8918,0.0844
23.50,40.8096,0.1280,0.5000,132.6451,-6.4652,-354.9368,-868.8428,410.4191,128.8670,19.4597,0.0835
24.50,40.9332,0.1222,0.5000,140.4652,-3.9874,-352.4063,-841.8878,376.8239,131.6116,21.3571,0.0825
25.50,41.0512,0.1166,0.5000,148.0599,-2.2184,-349.4873,-813.5762,341.8393,134.3186,23.6736,0.0813
26.50,41.1632,0.1105,0.5000,155.3751,-1.3220,-347.0368,-791.3617,315.3472,136.2441,25.7286,0.0804
27.50,41.2688,0.1039,0.5000,162.3773,-0.9355,-345.4631,-777.5834,299.5796,137.3275,27.1060,0.0798
28.50,41.3672,0.0965,0.5000,169.0481,-0.4834,-342.5962,-753.0631,273.0612,139.0174,29.7441,0.0788
29.50,41.4578,0.0885,0.5000,175.3801,-0.3530,-341.2943,-742.0577,261.8531,139.6714,31.0031,0.0784
30.50,41.5400,0.0801,0.5000,181.3736,-0.1881,-338.8066,-721.0697,241.6855,140.7362,33.5300,0.0776
31.50,41.6136,0.0713,0.5000,187.0347,-0.1001,-336.4713,-701.2425,224.0406,141.5258,36.0662,0.0769
32.50,41.6782,0.0624,0.5000,192.3727,-0.0730,-335.3599,-691.7159,216.0173,141.8329,37.3369,0.0766
33.50,41.7337,0.0533,0.5000,197.3993,-0.0388,-333.2459,-673.3605,201.3268,142.2977,39.8818,0.0761
34.50,41.7803,0.0443,0.5000,202.1278,-0.0283,-332.2418,-664.5100,194.5788,142.4646,41.1553,0.0759
35.50,41.8179,0.0354,0.5000,206.5720,-0.0165,-330.6046,-649.8617,183.8473,142.6631,43.3317,0.0756
36.50,41.8467,0.0266,0.5000,210.7461,-0.0115,-329.5711,-640.4568,177.2232,142.7416,44.7754,0.0755
37.50,41.8669,0.0181,0.5000,214.6641,-0.0065,-327.9993,-625.8903,167.3374,142.7917,47.0855,0.0753
38.50,41.8788,0.0099,0.5000,218.3399,-0.0041,-326.8369,-614.8911,160.1488,142.7749,48.8917,0.0752
39.50,41.8827,0.0019,0.5000,221.7869,-0.0026,-325.7312,-604.2307,153.3887,142.7162,50.6950,0.0752
40.50,41.8788,-0.0058,0.5000,225.0177,-0.0015,-324.4242,-591.3604,145.4765,142.5930,52.9438,0.0752
41.50,41.8674,-0.0132,0.5000,228.0448,-0.0010,-323.5045,-582.1166,139.9490,142.4712,54.6092,0.0753
42.50,41.8489,-0.0203,0.5000,230.8796,-0.0006,-322.4459,-571.2698,133.6161,142.2949,56.6191,0.0755
43.50,41.8236,-0.0270,0.5000,233.5332,-0.0004,-321.4655,-561.0152,127.7708,142.0972,58.5764,0.0757
44.50,41.7917,-0.0335,0.5000,236.0159,-0.0002,-319.9109,-544.3183,118.5247,141.7156,61.8880,0.0761
45.50,41.7535,-0.0397,0.5000,238.3375,-0.0001,-319.1830,-536.3064,114.1998,141.5084,63.5344,0.0764
46.50,41.7094,-0.0456,0.5000,240.5072,-0.0001,-318.4855,-528.5090,110.0555,141.2930,65.1741,0.0767
47.50,41.6596,-0.0512,0.5000,242.5337,-0.0000,-317.8167,-520.9193,106.0809,141.0711,66.8067,0.0770
48.50,41.6044,-0.0566,0.5000,244.4250,-0.0000,-317.1748,-513.5309,102.2660,140.8443,68.4319,0.0774
49.50,41.5440,-0.0617,0.5000,246.1888,-0.0000,-316.5584,-506.3379,98.6017,140.6138,70.0493,0.0778
50.50,41.4786,-0.0665,0.5000,247.8323,-0.0000,-315.3956,-492.5157,91.6928,140.1467,73.2598,0.0787
51.50,41.4086,-0.0712,0.5000,249.3621,-0.0000,-314.8466,-485.8764,88.4340,139.9120,74.8524,0.0791
52.50,41.3340,-0.0756,0.5000,250.7845,-0.0000,-314.3173,-479.4120,85.2972,139.6778,76.4363,0.0797
53.50,41.2553,-0.0798,0.5000,252.1055,-0.0000,-313.8066,-473.1183,82.2766,139.4446,78.0112,0.0802
54.50,41.1724,-0.0838,0.5000,253.3306,-0.0000,-312.9475,-462.4213,77.2166,139.0379,80.7666,0.0812
55.50,41.0857,-0.0877,0.5000,254.4650,-0.0000,-312.1366,-452.2230,72.4757,138.6393,83.4926,0.0823
56.50,40.9952,-0.0913,0.5000,255.5137,-0.0000,-312.1366,-452.2230,72.4757,138.6393,83.4926,0.0823
57.50,40.9013,-0.0948,0.5000,256.4811,-0.0000,-311.3686,-442.5066,68.0327,138.2508,86.1885,0.0835
58.50,40.8041,-0.0981,0.5000,257.3718,-0.0000,-310.6384,-433.2557,63.8648,137.8741,88.8535,0.0848
59.50,40.7036,-0.1012,0.5000,258.1896,-0.0000,-310.6384,-433.2557,63.8648,137.8741,88.8535,0.0848
60.50,40.6001,-0.1042,0.5000,258.9385,-0.0000,-309.9415,-424.4575,59.9546,137.5102,91.4871,0.0861
61.50,40.4938,-0.1070,0.5000,259.6221,-0.0000,-309.2736,-416.0999,56.2859,137.1597,94.0890,0.0875
62.50,40.3847,-0.1097,0.5000,260.2438,-0.0000,-309.2736,-416.0999,56.2859,137.1597,94.0890,0.0875
63.50,40.2731,-0.1123,0.5000,260.8068,-0.0000,-308.6308,-408.1716,52.8431,136.8229,96.6588,0.0890
