Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
751,39.5000,42.1760,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
752,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
753,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
754,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
755,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
756,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
757,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
758,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
759,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
760,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
761,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
762,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
763,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
764,39.5000,42.1764,-88.0180,3.1181,-22.9208,-74.9986,-0.0418
765,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
766,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
767,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
768,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
769,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
770,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
771,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
772,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
773,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
774,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
775,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
776,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
777,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
778,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
779,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
780,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
781,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
782,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
783,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
784,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
785,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
786,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
787,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
788,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
789,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
790,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
791,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
792,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
793,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
794,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
795,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
796,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
797,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
798,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
799,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
800,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
801,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
802,39.5000,42.1761,-88.0180,3.1179,-22.9209,-74.9986,-0.0418
803,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
804,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
805,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
806,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
807,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
808,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
809,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
810,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
811,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
812,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
813,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
814,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
815,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
816,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
817,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
818,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
819,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
820,39.5000,42.1761,-88.0180,3.1179,-22.9209,-74.9986,-0.0418
821,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
822,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
823,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
824,39.5000,42.1761,-88.0180,3.1179,-22.9209,-74.9986,-0.0418
825,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
826,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
827,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
828,39.5000,42.1761,-88.0180,3.1178,-22.9210,-74.9986,-0.0418
829,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
830,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
831,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
832,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
833,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
834,39.5000,42.1761,-88.0180,3.1179,-22.9209,-74.9986,-0.0418
835,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
836,39.5000,42.1761,-88.0180,3.1179,-22.9210,-74.9986,-0.0418
