ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
5.359e+09,1.227,13400000,1.99,154100,1.2,19580,1.062,2391,0.9799,66140,0.5579,906.8,0.8347
3.132e+09,0.926,5278000,1.921,3903000,0.8745,20150,1.185,2759,0.8848,31150,0.6844,675.2,1.085
735200000,0.5074,24740,1.036,1714000,1.213,18100,1.655,2506,0.9626,27160,0.6379,727.4,1.085
267100,0.5224,10080000,1.445,3013000,1.595,13680,1.88,2201,0.9305,42780,0.5792,926.4,0.9579
32560,1.494,377100,1.314,6348000,1.228,14880,1.526,2598,0.8945,33190,0.5789,956.8,0.965
90670,1.057,8103000,1.408,1288000,0.8753,21900,1.076,2087,0.9681,27210,0.6887,962.6,0.8263
89160,1.672,11490000,1.736,108400000,1.504,19710,1.033,2560,0.8544,28530,0.7103,956.6,1.092
19100000,1.311,5831000,1.951,50500,1.929,13750,1.758,2480,0.832,23840,0.9464,829.2,1.262
2.885e+09,1.511,234200000,1.282,7.775e+09,1.221,25770,0.8268,2951,0.9169,24730,0.8481,931.5,1.129
47890,1.814,1486000,1.023,926600,0.6995,18450,1.286,1796,1.168,45950,0.5521,800.5,1.04
