Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA)
0.50,-88.0147,-0.0000,0.5000,74.9457,-2.1791,-0.3209,-0.0002,-0.0005,-0.0038,-0.0038,-8.4862
1.50,-88.0147,-0.0000,0.5000,74.9455,-2.1791,-0.3210,-0.0002,-0.0005,-0.0038,-0.0038,-8.4860
2.50,-88.0147,-0.0000,0.5000,74.9454,-2.1791,-0.3210,-0.0002,-0.0005,-0.0038,-0.0038,-8.4860
3.50,-88.0147,-0.0000,0.5000,74.9452,-2.1791,-0.3210,-0.0002,-0.0005,-0.0038,-0.0038,-8.4859
4.50,-88.0147,-0.0000,0.5000,74.9451,-2.1791,-0.3210,-0.0002,-0.0005,-0.0038,-0.0038,-8.4858
5.50,-88.0147,-0.0000,0.5000,74.9450,-2.1791,-0.3210,-0.0002,-0.0005,-0.0037,-0.0038,-8.4856
6.50,-88.0147,-0.0000,0.5000,74.9449,-2.1791,-0.3210,-0.0002,-0.0005,-0.0037,-0.0038,-8.4855
7.50,-88.0147,-0.0000,0.5000,74.9447,-2.1791,-0.3210,-0.0002,-0.0005,-0.0037,-0.0038,-8.4854
8.50,-88.0148,-0.0000,0.5000,74.9446,-2.1791,-0.3210,-0.0002,-0.0005,-0.0037,-0.0038,-8.4852
9.50,-88.0148,-0.0000,0.5000,74.9445,-2.1791,-0.3210,-0.0002,-0.0005,-0.0037,-0.0038,-8.4851
10.50,-48.3925,79.2443,0.5000,74.9439,-1385.5055,-50.8852,-0.0834,1.7233,4.8749,0.0119,305.1282
11.50,24.6685,130.1416,0.5000,74.9425,-42052.4703,-565.0774,-934.9895,100.2861,10.8731,0.2257,0.3984
12.50,34.4150,6.5975,0.5000,75.0429,-3896.6391,-465.1970,-1945.1674,602.0308,21.4572,1.2517,0.1539
13.50,37.9053,2.7544,0.5000,75.6599,-1529.3021,-418.1070,-1740.0516,841.1595,44.2003,2.5682,0.1100
14.50,39.4495,1.2514,0.5000,77.2354,-700.2085,-394.9954,-1533.1602,907.6117,67.6015,4.0201,0.0950
15.50,40.1898,0.6123,0.5000,80.0012,-342.0210,-382.0336,-1357.0951,883.3618,89.3430,5.6727,0.0882
16.50,40.5676,0.3176,0.5000,83.9980,-200.0370,-375.5247,-1238.8176,828.6967,104.4275,7.1260,0.0854
17.50,40.7713,0.1740,0.5000,89.1371,-111.3470,-370.3764,-1126.9163,750.4973,118.8692,8.9099,0.0837
18.50,40.8887,0.1028,0.5000,95.2454,-68.1444,-367.0725,-1049.4350,681.0880,129.0653,10.5303,0.0828
19.50,40.9644,0.0688,0.5000,102.1039,-42.3251,-364.4091,-988.6274,616.7308,137.3449,12.1773,0.0822
20.50,41.0217,0.0546,0.5000,109.4822,-26.2552,-362.0611,-940.1604,558.0471,144.2570,13.8770,0.0818
21.50,41.0730,0.0507,0.5000,117.1657,-16.3846,-359.9272,-902.1206,506.7475,149.9510,15.5851,0.0814
22.50,41.1241,0.0516,0.5000,124.9709,-9.7396,-357.6950,-868.5083,457.6174,155.1817,17.4907,0.0809
23.50,41.1775,0.0540,0.5000,132.7513,-5.7253,-355.4949,-840.4618,414.6691,159.6179,19.4518,0.0805
24.50,41.2332,0.0562,0.5000,140.3966,-3.5230,-353.5356,-818.5673,380.9043,163.0302,21.2526,0.0800
25.50,41.2904,0.0574,0.5000,147.8279,-2.1656,-351.6172,-799.0417,351.5005,165.9487,23.0634,0.0796
26.50,41.3476,0.0571,0.5000,154.9919,-1.3441,-349.7833,-781.5334,326.3069,168.4042,24.8428,0.0791
27.50,41.4035,0.0553,0.5000,161.8551,-0.7159,-347.4385,-760.1241,297.5625,171.1403,27.1996,0.0786
28.50,41.4565,0.0522,0.5000,168.3986,-0.5221,-346.3003,-749.9475,284.7997,172.3266,28.3820,0.0783
29.50,41.5055,0.0479,0.5000,174.6147,-0.2773,-344.0999,-730.4237,261.9582,174.3901,30.7535,0.0779
30.50,41.5495,0.0426,0.5000,180.5029,-0.2021,-343.0401,-721.0195,251.7008,175.2858,31.9420,0.0776
31.50,41.5877,0.0367,0.5000,186.0683,-0.1073,-341.0040,-702.8233,233.1351,176.8453,34.3231,0.0773
32.50,41.6196,0.0302,0.5000,191.3196,-0.0781,-340.0286,-694.0073,224.7019,177.5226,35.5152,0.0771
33.50,41.6447,0.0233,0.5000,196.2678,-0.0479,-338.5823,-680.7741,212.6655,178.4493,37.3523,0.0770
34.50,41.6627,0.0163,0.5000,200.9257,-0.0295,-337.2161,-668.0589,201.7417,179.2440,39.1726,0.0768
35.50,41.6736,0.0091,0.5000,205.3063,-0.0185,-335.9570,-656.1231,192.0006,179.9107,40.9322,0.0767
36.50,41.6774,0.0020,0.5000,209.4234,-0.0105,-334.5229,-642.2361,181.2255,180.5967,43.0439,0.0767
37.50,41.6740,-0.0051,0.5000,213.2904,-0.0064,-333.3394,-630.5124,172.5467,181.1065,44.8829,0.0768
38.50,41.6636,-0.0121,0.5000,216.9208,-0.0039,-332.2157,-619.1381,164.4548,181.5449,46.7186,0.0768
39.50,41.6464,-0.0189,0.5000,220.3273,-0.0024,-331.1491,-608.1026,156.8829,181.9213,48.5503,0.0770
40.50,41.6224,-0.0256,0.5000,223.5225,-0.0015,-330.1368,-597.3957,149.7748,182.2438,50.3772,0.0772
41.50,41.5920,-0.0320,0.5000,226.5183,-0.0007,-328.7004,-581.7831,139.7885,182.6454,53.1332,0.0776
42.50,41.5553,-0.0382,0.5000,229.3258,-0.0005,-328.0233,-574.2402,135.1117,182.8126,54.5057,0.0778
43.50,41.5126,-0.0442,0.5000,231.9558,-0.0003,-327.3718,-566.8673,130.6259,182.9605,55.8742,0.0781
44.50,41.4641,-0.0499,0.5000,234.4184,-0.0002,-326.7448,-559.6603,126.3183,183.0912,57.2384,0.0783
45.50,41.4100,-0.0554,0.5000,236.7231,-0.0001,-325.5599,-545.7286,118.1944,183.3083,59.9528,0.0790
46.50,41.3506,-0.0607,0.5000,238.8789,-0.0001,-324.9996,-538.9964,114.3594,183.3978,61.3027,0.0794
47.50,41.2861,-0.0658,0.5000,240.8942,-0.0001,-324.4593,-532.4153,110.6644,183.4765,62.6473,0.0797
48.50,41.2166,-0.0706,0.5000,242.7769,-0.0000,-323.3019,-518.0162,102.7567,183.6215,65.6800,0.0807
49.50,41.1425,-0.0753,0.5000,244.5344,-0.0000,-322.5069,-507.8917,97.3345,183.7040,67.8911,0.0815
50.50,41.0639,-0.0797,0.5000,246.1738,-0.0000,-322.5069,-507.8917,97.3345,183.7040,67.8911,0.0815
51.50,40.9810,-0.0839,0.5000,247.7015,-0.0000,-321.7547,-498.1457,92.2180,183.7704,70.0854,0.0824
52.50,40.8940,-0.0880,0.5000,249.1238,-0.0000,-321.0418,-488.7655,87.3820,183.8247,72.2621,0.0833
53.50,40.8031,-0.0918,0.5000,250.4464,-0.0000,-320.3644,-479.7404,82.8106,183.8691,74.4207,0.0842
54.50,40.7085,-0.0955,0.5000,251.6748,-0.0000,-319.7192,-471.0602,78.4862,183.9062,76.5607,0.0853
55.50,40.6104,-0.0990,0.5000,252.8141,-0.0000,-319.7192,-471.0602,78.4862,183.9062,76.5607,0.0853
56.50,40.5088,-0.1024,0.5000,253.8690,-0.0000,-319.1032,-462.7155,74.3928,183.9381,78.6816,0.0864
57.50,40.4040,-0.1056,0.5000,254.8441,-0.0000,-318.5136,-454.6982,70.5161,183.9663,80.7830,0.0875
58.50,40.2961,-0.1086,0.5000,255.7435,-0.0000,-317.6613,-443.1173,65.0095,184.0053,83.9405,0.0894
59.50,40.1853,-0.1115,0.5000,256.5714,-0.0000,-317.6613,-443.1173,65.0095,184.0053,83.9405,0.0894
60.50,40.0717,-0.1143,0.5000,257.3315,-0.0000,-316.8550,-432.2525,59.9363,184.0424,87.0514,0.0914
61.50,39.9555,-0.1169,0.5000,258.0272,-0.0000,-316.8550,-432.2525,59.9363,184.0424,87.0514,0.0914
62.50,39.8367,-0.1194,0.5000,258.6620,-0.0000,-316.0869,-422.0833,55.2594,184.0806,90.1150,0.0935
63.50,39.7156,-0.1217,0.5000,259.2390,-0.0000,-316.0869,-422.0833,55.2594,184.0806,90.1150,0.0935
64.50,39.5922,-0.1240,0.5000,259.7611,-0.0000,-315.3494,-412.5922,50.9509,184.1208,93.1309,0.0957
65.50,39.4666,-0.1261,0.5000,260.2312,-0.0000,-315.3494,-412.5922,50.9509,184.1208,93.1309,0.0957
66.50,39.3391,-0.1280,0.5000,260.6518,-0.0000,-314.6361,-403.7612,46.9794,184.1645,96.0989,0.0981
67.50,39.2096,-0.1299,0.5000,261.0256,-0.0000,-314.6361,-403.7612,46.9794,184.1645,96.0989,0.0981
68.50,39.0784,-0.1317,0.5000,261.3549,-0.0000,-313.9407,-395.5759,43.3184,184.2120,99.0190,0.1005
