Pace,T_Peak,Vmpeak,Vmvalley,Vm_repol30,Vm_repol50,Vm_repol90,dVmdt_repol_max
750,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
751,38.5000,41.9403,-88.0160,2.9534,-23.0378,-75.0203,-0.1019
752,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
753,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
754,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
755,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
756,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
757,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
758,38.5000,41.9403,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
759,38.5000,41.9403,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
760,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
761,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
762,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
763,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
764,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
765,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
766,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
767,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
768,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
769,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
770,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
771,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
772,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
773,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
774,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
775,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
776,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
777,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
778,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
779,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
780,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
781,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
782,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
783,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
784,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
785,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
786,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
787,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
788,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
789,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
790,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
791,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
792,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
793,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
794,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
795,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
796,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
797,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
798,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
799,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
800,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
801,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
802,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
803,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
804,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
805,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
806,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
807,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
808,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
809,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
810,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
811,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
812,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
813,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
814,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
815,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
816,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
817,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
818,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
819,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
820,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
821,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
822,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
823,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
824,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
825,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
826,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
827,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
828,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
829,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
830,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
831,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
832,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
833,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
834,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
835,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
836,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
837,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
838,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
839,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
840,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
841,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
842,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
843,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
844,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
845,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
846,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
847,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
848,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
849,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
850,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
851,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
852,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
853,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
854,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
855,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
856,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
857,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
858,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
859,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
860,38.5000,41.9405,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
861,38.5000,41.9405,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
862,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
863,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
864,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
865,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
866,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
867,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
868,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
869,38.5000,41.9405,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
870,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
871,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
872,38.5000,41.9405,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
873,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
874,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
875,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
876,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
877,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
878,38.5000,41.9405,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
879,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
880,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
881,38.5000,41.9405,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
882,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
883,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
884,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
885,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
886,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
887,38.5000,41.9404,-88.0160,2.9535,-23.0378,-75.0203,-0.1019
888,38.5000,41.9405,-88.0160,2.9535,-23.0377,-75.0203,-0.1019
