Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-87.9981,-0.0000,0.5000,75.4969,-1.7266,-0.3088,-0.0002,  -0,-0.0147,-0.0056,-15.2306,-0.0156,0.0000
1.50,-87.9981,-0.0000,0.5000,75.4904,-1.7266,-0.3088,-0.0002,  -0,-0.0147,-0.0056,-15.2343,-0.0156,0.0000
2.50,-87.9981,-0.0000,0.5000,75.4838,-1.7266,-0.3088,-0.0002,  -0,-0.0147,-0.0056,-15.2380,-0.0156,0.0000
3.50,-87.9982,-0.0000,0.5000,75.4773,-1.7266,-0.3089,-0.0002,  -0,-0.0147,-0.0056,-15.2417,-0.0156,0.0000
4.50,-87.9982,-0.0000,0.5000,75.4709,-1.7265,-0.3089,-0.0002,  -0,-0.0147,-0.0056,-15.2454,-0.0156,0.0000
5.50,-87.9982,-0.0000,0.5000,75.4645,-1.7265,-0.3089,-0.0002,  -0,-0.0147,-0.0056,-15.2491,-0.0156,0.0000
6.50,-87.9982,-0.0000,0.5000,75.4581,-1.7265,-0.3090,-0.0002,  -0,-0.0147,-0.0056,-15.2527,-0.0156,0.0000
7.50,-87.9982,-0.0000,0.5000,75.4517,-1.7265,-0.3090,-0.0002,  -0,-0.0146,-0.0056,-15.2563,-0.0156,0.0000
8.50,-87.9982,-0.0000,0.5000,75.4454,-1.7265,-0.3090,-0.0002,  -0,-0.0146,-0.0056,-15.2599,-0.0156,0.0000
9.50,-87.9982,-0.0000,0.5000,75.4391,-1.7265,-0.3091,-0.0002,  -0,-0.0146,-0.0056,-15.2635,-0.0156,0.0000
10.50,-48.3980,79.2005,0.5000,75.4323,-1093.0817,-48.8132,-0.0815,   2,10.6137,0.0176,304.9621,0.2684,0.2684
11.50,7.3776,99.8920,0.5000,75.4239,-154854.9201,-645.7419,-664.6052,  36,20.5289,0.2010,1.9558,-1.2518,-1.2518
12.50,28.6775,7.3126,0.5000,75.5178,-4013.3647,-493.9582,-2472.7111, 435,22.1293,1.3583,0.2703,-2.5082,-2.5082
13.50,33.1714,3.7644,0.5000,76.3168,-1704.2560,-433.6889,-2240.5945, 666,33.0375,2.8636,0.1752,-1.9722,-1.9722
14.50,35.5862,2.0666,0.5000,78.5627,-779.9715,-400.3513,-1887.3872, 759,48.2772,4.7051,0.1375,-1.4756,-1.4756
15.50,36.9840,1.2209,0.5000,82.6686,-414.4279,-383.2018,-1622.0040, 763,61.6064,6.5562,0.1210,-1.1736,-1.1736
16.50,37.8494,0.7690,0.5000,88.7475,-221.8807,-371.3798,-1394.6943, 723,74.1099,8.7349,0.1108,-0.9601,-0.9601
17.50,38.4176,0.5128,0.5000,96.6859,-133.7129,-364.2614,-1241.4630, 671,83.0830,10.7530,0.1053,-0.8410,-0.8410
18.50,38.8133,0.3633,0.5000,106.1890,-78.6386,-358.4209,-1114.7020, 608,91.0306,13.0734,0.1012,-0.7607,-0.7607
19.50,39.1087,0.2768,0.5000,116.8504,-47.1541,-353.8556,-1024.4965, 548,97.2273,15.4555,0.0983,-0.7177,-0.7177
20.50,39.3472,0.2281,0.5000,128.2377,-30.0189,-350.3860,-966.5477, 498,101.6056,17.6388,0.0962,-0.6994,-0.6994
21.50,39.5544,0.2017,0.5000,139.9612,-17.3178,-346.6027,-915.8156, 444,105.7590,20.3621,0.0940,-0.6920,-0.6920
22.50,39.7448,0.1873,0.5000,151.7086,-11.4956,-343.9890,-887.5366, 409,108.1529,22.4201,0.0925,-0.6921,-0.6921
23.50,39.9254,0.1787,0.5000,163.2508,-6.6563,-340.6880,-857.5554, 368,110.5948,25.1897,0.0907,-0.6948,-0.6948
24.50,40.0991,0.1722,0.5000,174.4317,-4.4156,-338.3172,-838.6249, 341,111.9682,27.2840,0.0894,-0.6969,-0.6969
25.50,40.2667,0.1660,0.5000,185.1522,-2.6617,-335.5054,-817.7805, 312,113.2249,29.8794,0.0879,-0.6983,-0.6983
26.50,40.4276,0.1591,0.5000,195.3550,-1.6101,-332.8303,-798.7597, 287,114.0868,32.4680,0.0864,-0.6981,-0.6981
27.50,40.5808,0.1512,0.5000,205.0127,-1.0065,-330.4355,-781.9399, 266,114.6147,34.8954,0.0852,-0.6963,-0.6963
28.50,40.7253,0.1422,0.5000,214.1177,-0.6286,-328.1390,-765.7348, 248,114.9280,37.3348,0.0840,-0.6931,-0.6931
29.50,40.8602,0.1324,0.5000,222.6762,-0.3618,-325.5791,-747.3817, 230,115.0772,40.2026,0.0828,-0.6877,-0.6877
30.50,40.9847,0.1218,0.5000,230.7028,-0.2248,-323.4878,-732.0498, 216,115.0566,42.6798,0.0818,-0.6819,-0.6819
31.50,41.0983,0.1109,0.5000,238.2175,-0.1395,-321.5001,-717.1245, 203,114.9280,45.1636,0.0810,-0.6754,-0.6754
